# r[nm],d[nm],daligned[nm],UC(d)[kJ/mol],UK(d)[kJ/mol],UCl(d)[kJ/mol],UC2A(d)[kJ/mol],UC4A(d)[kJ/mol],UCPlus(d)[kJ/mol],UCMinus(d)[kJ/mol],UCMoreLJ(d)[kJ/mol],UCLessLJ(d)[kJ/mol]
-1.6372000,-1.6372000,-1.6541773,35923.1716525,21587.3161478,167047.1468178,1337.0421192,116569.3593865,35923.1716525,35923.1716525,42347.6286597,26782.9920144
-1.6322000,-1.6322000,-1.6491773,35715.4052436,21462.0857968,166085.5926996,1329.7420161,115898.2137347,35715.4052436,35715.4052436,42102.7055551,26628.0890419
-1.6272000,-1.6272000,-1.6441773,35121.9370935,21103.6970357,163347.2337434,1306.7877062,113986.6209240,35121.9370935,35121.9370935,41403.1022716,26185.6210750
-1.6222000,-1.6222000,-1.6391773,34169.2950275,20528.1778845,158954.3744443,1269.1029709,110919.9625326,34169.2950275,34169.2950275,40280.0908391,25475.3662820
-1.6172000,-1.6172000,-1.6341773,32890.8404141,19755.7268275,153060.3184785,1218.1834334,106805.2776876,32890.8404141,32890.8404141,38772.9989333,24522.1976689
-1.6122000,-1.6122000,-1.6291773,31331.2328265,18813.3760330,145870.3697214,1155.9571485,101785.9101650,31331.2328265,31331.2328265,36934.4729921,23359.4117666
-1.6072000,-1.6072000,-1.6241773,29543.2976416,17733.0942894,137627.4449782,1084.6300794,96031.4627351,29543.2976416,29543.2976416,34826.7856194,22026.3932279
-1.6022000,-1.6022000,-1.6191773,27584.6330918,16549.7322531,128596.4887164,1006.5598720,89726.9150681,27584.6330918,27584.6330918,32517.8358466,20566.0851710
-1.5972000,-1.5972000,-1.6141773,25514.2576526,15298.9923513,119049.0703303,924.1423318,83061.8691826,25514.2576526,25514.2576526,30077.1969428,19022.4895945
-1.5922000,-1.5922000,-1.6091773,23389.5679992,14015.5870782,109249.4041319,839.6968510,76220.7884104,23389.5679992,23389.5679992,27572.5303357,17438.3993430
-1.5872000,-1.5872000,-1.6041773,21263.8160455,12731.7120030,99442.7493738,755.3646249,69374.8983152,21263.8160455,21263.8160455,25066.6114477,15853.5170795
-1.5822000,-1.5822000,-1.5991773,19184.2345695,11475.9119017,89846.7853399,673.0324684,62676.1650302,19184.2345695,19184.2345695,22615.1201105,14303.0578215
-1.5772000,-1.5772000,-1.5941773,17190.8588034,10272.3686422,80646.1798733,594.2858137,56253.5034610,17190.8588034,17190.8588034,20265.2514091,12816.8703617
-1.5722000,-1.5722000,-1.5891773,15316.0180773,9140.5950379,71990.2334756,520.3899979,50211.1330208,15316.0180773,15316.0180773,18055.1164123,11419.0582564
-1.5672000,-1.5672000,-1.5841773,13584.4152392,8095.4847319,63993.2223932,452.2962697,44628.8179063,13584.4152392,13584.4152392,16013.8357959,10128.0390382
-1.5622000,-1.5622000,-1.5791773,12013.6757933,7147.6465060,56736.8997248,390.6671369,39563.6141562,12013.6757933,12013.6757933,14162.1871882,8956.9536328
-1.5572000,-1.5572000,-1.5741773,10615.2331957,6303.9420377,50274.5421997,335.9150539,35052.6958897,10615.2331957,10615.2331957,12513.6487907,7914.3264036
-1.5522000,-1.5522000,-1.5691773,9395.4183223,5568.1471055,44635.9372003,288.2490226,31116.8379712,9395.4183223,9395.4183223,11075.6836859,7004.8774182
-1.5472000,-1.5472000,-1.5641773,8356.6349768,4941.6646624,39832.7678831,247.7247298,27764.1765443,8356.6349768,8356.6349768,9851.1255706,6230.3988639
-1.5422000,-1.5422000,-1.5591773,7498.5242563,4424.2309132,35863.9501476,214.2943711,24993.9358424,7498.5242563,7498.5242563,8839.5513562,5590.6231559
-1.5372000,-1.5372000,-1.5541773,6819.0439930,4014.5697244,32720.5823902,187.8522425,22799.8845390,6819.0439930,6819.0439930,8038.5536562,5084.0277294
-1.5322000,-1.5322000,-1.5491773,6315.4117498,3710.9641970,30390.2710250,168.2727165,21173.3561565,6315.4117498,6315.4117498,7444.8524257,4708.5381018
-1.5272000,-1.5272000,-1.5441773,5984.8786425,3511.7256186,28860.6809704,155.4391459,20105.7282532,5984.8786425,5984.8786425,7055.2071732,4462.1048063
-1.5222000,-1.5222000,-1.5391773,5825.3154740,3415.5486260,28122.2255533,149.2642229,19590.3006771,5825.3154740,5825.3154740,6867.1079187,4343.1403923
-1.5172000,-1.5172000,-1.5341773,5835.6021779,3421.7471613,28169.8540378,149.7027725,19623.5437152,5835.6021779,5835.6021779,6879.2342844,4350.8097793
-1.5122000,-1.5122000,-1.5291773,6015.8170211,3530.3690997,29003.9201404,156.7573247,20205.7045360,6015.8170211,6015.8170211,7091.6785344,4485.1713205
-1.5072000,-1.5072000,-1.5241773,6367.2245480,3742.1889448,30630.1266896,170.4765489,21340.7685479,6367.2245480,6367.2245480,7505.9313627,4747.1678134
-1.5022000,-1.5022000,-1.5191773,6892.0623025,4058.5786148,33058.5466105,190.9470018,23035.7757997,6892.0623025,6892.0623025,8124.6304728,5138.4674882
-1.4972000,-1.4972000,-1.5141773,7593.1275170,4481.2570217,36301.7258816,218.2791905,25299.4963600,7593.1275170,7593.1275170,8951.0733508,5661.1558584
-1.4922000,-1.4922000,-1.5091773,8473.1677682,5011.9208400,40371.8871864,252.5887361,28140.4777369,8473.1677682,8473.1677682,9988.4989469,6317.2814157
-1.4872000,-1.4872000,-1.5041773,9534.0854925,5651.7624157,45277.2801510,293.9713523,31564.4963643,9534.0854925,9534.0854925,11239.1499267,7108.2625465
-1.4822000,-1.4822000,-1.4991773,10775.9763131,6400.8868603,51017.7703242,342.4680548,35571.4774867,10775.9763131,10775.9763131,12703.1390148,8034.1705441
-1.4772000,-1.4772000,-1.4941773,12196.0359315,7257.6493342,57579.8269890,398.0185651,40151.9952031,12196.0359315,12196.0359315,14377.1603951,9092.9146268
-1.4722000,-1.4722000,-1.4891773,13787.3896398,8217.9452319,64931.1584549,460.4063882,45283.5262759,13787.3896398,13787.3896398,16253.1098953,10279.3692660
-1.4672000,-1.4672000,-1.4841773,15537.9210810,9274.4996611,73015.3469249,529.2031852,50926.7035400,15537.9210810,15537.9210810,18316.7042834,11584.5009527
-1.4622000,-1.4622000,-1.4791773,17429.2002279,10416.2167745,81746.9419639,603.7197763,57021.8894283,17429.2002279,17429.2002279,20546.2175285,12994.5689383
-1.4572000,-1.4572000,-1.4741773,19435.6309469,11627.6618903,91007.5649295,682.9689611,63486.4553016,19435.6309469,19435.6309469,22911.4759151,14490.4896895
-1.4522000,-1.4522000,-1.4691773,21523.9511990,12888.7570499,100643.6346499,765.6442727,70213.1927348,21523.9511990,21523.9511990,25373.2688607,16047.4642567
-1.4472000,-1.4472000,-1.4641773,23653.2187202,14174.7705581,110466.3233808,850.1189100,77070.2820403,23653.2187202,23653.2187202,27883.3320359,17634.9675977
