# r[nm],d[nm],daligned[nm],UC(d)[kJ/mol],UK(d)[kJ/mol],UCl(d)[kJ/mol],UC2A(d)[kJ/mol],UC4A(d)[kJ/mol],UCPlus(d)[kJ/mol],UCMinus(d)[kJ/mol],UCMoreLJ(d)[kJ/mol],UCLessLJ(d)[kJ/mol],UCMin(d)[kJ/mol],UKMin(d)[kJ/mol],UClMin(d)[kJ/mol],UC2AMin(d)[kJ/mol],UC4AMin(d)[kJ/mol],UCPlusMin(d)[kJ/mol],UCMinusMin(d)[kJ/mol],UCMoreLJMin(d)[kJ/mol],UCLessLJMin(d)[kJ/mol]
0.9750000,0.2250000,0.1951329,43.0801155,-20.2267629,124.7514215,-0.4777177,131.6910601,28.0122006,-15.8555967,48.7790763,34.6409956,29.6481870,-33.1943442,110.0157402,-4.0591835,117.0705629,13.4668953,-30.5844232,34.9504333,22.1045949
0.9800000,0.2300000,0.2001329,34.7793124,-29.3690380,74.1658774,-1.1581702,107.9600291,18.5963346,-26.9619859,39.2523666,28.1137915,22.2073497,-43.3557203,59.4300743,-4.1860869,93.6617469,4.3015893,-41.6860767,26.1788855,16.5569810
0.9850000,0.2350000,0.2051329,27.8430099,-37.8217431,33.6699730,-1.7122067,88.2823612,10.9024102,-35.5937201,31.3048639,22.6524740,16.2264505,-52.3017198,18.9342334,-4.2370396,74.5721652,-3.0380179,-50.3056728,19.1283695,12.0978431
0.9900000,0.2400000,0.2101329,22.0628731,-45.2119248,1.2450229,-2.1515376,71.9883997,4.6296130,-42.2670059,24.6903224,18.0930848,11.4283704,-59.2651074,-13.4905957,-4.2301721,59.0021658,-8.8976860,-56.9446038,13.4722064,8.5205715
0.9950000,0.2450000,0.2151329,17.2544324,-53.6152734,-24.6945104,-2.4865783,58.5624214,-0.4602423,-47.4379549,19.1954212,14.2912819,7.5890306,-67.6921772,-39.4295786,-4.2617936,46.2207768,-13.5568107,-61.9966586,8.9462437,5.6581013
1.0000000,0.2500000,0.2201329,13.2585940,-61.9326309,-45.4023306,-2.7285118,47.5187767,-4.5816513,-51.7253356,14.6358657,11.1243624,4.5270561,-76.5578606,-60.1337014,-4.2909173,35.3326051,-17.2414250,-65.7727475,5.3366694,3.3752061
1.0050000,0.2550000,0.2251329,9.9418285,-68.5725464,-61.8857468,-2.8897874,38.4164432,-8.0538204,-56.0802742,10.8564824,8.4889407,2.0954909,-83.2814739,-76.5952725,-4.3133526,26.6143633,-20.1346079,-69.2626153,2.4702459,1.5623207
1.0100000,0.2600000,0.2301329,7.1926777,-73.6171207,-74.9838502,-2.9834938,30.8851263,-11.9284250,-60.6329805,7.7285540,6.2968156,0.1751516,-88.3437697,-89.6054525,-4.3069519,19.6326522,-24.1058826,-74.8882232,0.2064755,0.1305866
1.0150000,0.2650000,0.2351329,4.9167010,-77.3814186,-85.4137552,-3.0223989,24.6272025,-17.0866006,-64.6699406,5.1445565,4.4718202,-1.3307093,-92.1131644,-99.7982598,-4.2553751,14.0438061,-31.1422144,-79.1905032,-1.5686918,-0.9921278
1.0200000,0.2700000,0.2401329,3.0325473,-80.1397924,-93.7480345,-3.0181757,19.4082373,-22.0831834,-68.3100145,3.0128162,2.9486878,-2.5006945,-94.8732667,-107.6843605,-4.1707292,9.5744892,-36.5780250,-82.3894083,-2.9479157,-1.8644256
1.0250000,0.2750000,0.2451329,1.4702788,-82.1099521,-100.3756584,-2.9809712,15.0456486,-26.1438853,-72.7925199,1.2541609,1.6732685,-3.3987151,-96.8433456,-113.6771184,-4.1372625,6.0066749,-40.7572323,-86.5325822,-4.0065372,-2.5339566
1.0300000,0.2800000,0.2501329,0.1714040,-83.4638283,-105.5448623,-2.9192752,11.3966997,-29.2910119,-77.7261100,-0.1990737,0.6027343,-4.1325957,-98.1936275,-118.8719865,-4.0811009,3.1659754,-43.9470695,-92.2356516,-4.8716642,-3.0811110
1.0350000,0.2850000,0.2551329,-0.9107700,-84.3401011,-109.4556485,-2.8399865,8.3467520,-31.6808670,-81.8506949,-1.4026998,-0.2952043,-4.6931440,-99.0567867,-123.2067623,-4.0237397,0.9125432,-46.3560064,-96.5190463,-5.5324603,-3.4990351
1.0400000,0.2900000,0.2601329,-1.8116360,-84.8539335,-112.4677470,-2.7485852,5.8000796,-33.4624805,-84.9320783,-2.4004537,-1.0442679,-5.1200435,-99.5366186,-126.2905845,-3.9666172,-0.8660471,-48.1472831,-99.6354523,-6.0357059,-3.8173156
1.0450000,0.2950000,0.2651329,-2.5570574,-85.1000717,-116.6787284,-2.6493424,3.6743730,-34.7592325,-87.0835259,-3.2248793,-1.6623036,-5.5512325,-99.7146152,-129.6885728,-3.8812709,-2.2603852,-49.4491800,-101.7905334,-6.5440082,-4.1387942
1.0500000,0.3000000,0.2701329,-3.1660991,-85.1485213,-124.2034331,-2.5455297,1.8984244,-35.6703104,-88.4560683,-3.8995189,-2.1638935,-5.8486438,-99.6549756,-137.3636662,-3.7759656,-3.4376266,-50.3628463,-103.1528709,-6.8946082,-4.3605331
1.0550000,0.3050000,0.2751329,-3.6538982,-85.0401010,-133.3559653,-2.4396229,0.4117466,-36.2750788,-89.1865701,-4.4418976,-2.5621971,-6.0386597,-99.4084374,-147.6999523,-3.6569874,-4.3934870,-50.9682922,-103.8615342,-7.1186064,-4.5022020
1.0600000,0.3100000,0.2801329,-4.0338564,-84.7912736,-141.7261255,-2.3335156,-0.8352188,-36.6373998,-89.3920965,-4.8663738,-2.8698414,-6.1427898,-99.0152204,-156.3915724,-3.5291179,-5.1205202,-51.3289971,-104.0318888,-7.2413590,-4.5798376
1.0650000,0.3150000,0.2851329,-4.3188081,-84.4073578,-148.3290213,-2.2287355,-1.8813389,-36.8092602,-89.1715143,-5.1861009,-3.0990878,-6.1785719,-98.5072975,-163.0464891,-3.3959901,-5.6620767,-51.4954662,-103.7600906,-7.2835403,-4.6065153
1.0700000,0.3200000,0.2901329,-4.5213303,-83.8947271,-153.2610770,-2.1266044,-2.7559922,-36.8333420,-88.6078333,-5.4139208,-3.2616359,-6.1706972,-97.9101518,-167.9886966,-3.2603579,-6.0689199,-51.5079867,-103.1265949,-7.2742573,-4.6006443
1.0750000,0.3250000,0.2951329,-4.6535756,-83.2661682,-156.7634220,-2.0282787,-3.4811934,-36.7443464,-87.7702581,-5.5624730,-3.3683430,-6.2665150,-97.2441428,-171.4916088,-3.2065657,-6.4672404,-51.3987720,-102.1989216,-7.3872110,-4.6720825
1.0800000,0.3300000,0.3001329,-4.7269569,-82.5404613,-159.0637545,-1.9346714,-4.0741009,-36.5694050,-86.7159417,-5.6439258,-3.4290046,-6.3311501,-96.5255720,-173.7867097,-3.1459091,-6.7415696,-51.1936355,-101.0338568,-7.4634054,-4.7202720
1.0850000,0.3350000,0.3051329,-4.7518736,-81.7395100,-160.3613205,-1.8463406,-4.5492060,-36.3284038,-85.4915973,-5.6696324,-3.4522438,-6.3374725,-95.7675156,-175.0704799,-3.0729105,-6.9669395,-50.9133024,-99.6792222,-7.4708585,-4.7249858
1.0900000,0.3400000,0.3101329,-4.7375493,-80.8853058,-160.8295071,-1.7634572,-4.9197611,-36.0349507,-84.1350736,-5.6498657,-3.4454994,-6.2975370,-94.9804804,-175.5099973,-2.9904106,-7.1025954,-50.5744400,-98.1753126,-7.4237810,-4.6952114
1.0950000,0.3450000,0.3151329,-4.6919848,-79.9976550,-160.6197674,-1.6858886,-5.1984256,-35.6980686,-82.6769010,-5.5936774,-3.4150855,-6.2211906,-94.1729182,-175.2475106,-2.9007998,-7.1651436,-50.1904713,-96.5560734,-7.3337808,-4.6382903
1.1000000,0.3500000,0.3201329,-4.6219964,-79.0928708,-159.8641947,-1.6133299,-5.3973715,-35.3241018,-81.1417422,-5.5088741,-3.3662892,-6.1164789,-93.3516340,-174.4042075,-2.8060873,-7.2700522,-49.7722179,-94.8500740,-7.2103426,-4.5602211
1.1050000,0.3550000,0.3251329,-4.5333077,-78.1833366,-158.6762775,-1.5454222,-5.5281344,-34.9182502,-79.5496647,-5.4020732,-3.3034855,-6.0706549,-92.5221088,-173.0833467,-2.7079573,-7.3647747,-49.3284104,-93.0813194,-7.1563236,-4.5260564
1.1100000,0.3600000,0.3301329,-4.4306630,-77.2777259,-157.1504152,-1.4818447,-5.6014081,-34.4854563,-77.9171822,-5.2788053,-3.2302503,-6.0017959,-91.6887564,-171.3728804,-2.6078157,-7.3925107,-48.8660946,-91.2699309,-7.0751499,-4.4747177
