# r[nm],d[nm],daligned[nm],UC(d)[kJ/mol],UK(d)[kJ/mol],UCl(d)[kJ/mol]
-0.1208526,-0.1208526,0.0862702,1827.9999770,1050.6313213,inf
-0.1158526,-0.1158526,0.0912702,1621.6862225,928.0783514,inf
-0.1108526,-0.1108526,0.0962702,1431.4309939,815.2061942,inf
-0.1058526,-0.1058526,0.1012702,1257.3857253,712.0962915,inf
-0.1008526,-0.1008526,0.1062702,1099.3664383,618.6280997,inf
-0.0958526,-0.0958526,0.1112702,956.9133250,534.5152461,inf
-0.0908526,-0.0908526,0.1162702,829.3499763,459.3410263,inf
-0.0858526,-0.0858526,0.1212702,715.8392477,392.5913246,inf
-0.0808526,-0.0808526,0.1262702,615.4331743,333.6836216,inf
-0.0758526,-0.0758526,0.1312702,527.1130317,281.9913992,inf
-0.0708526,-0.0708526,0.1362702,449.8099954,236.8645693,inf
-0.0658526,-0.0658526,0.1412702,382.3907085,197.6486926,inf
-0.0608526,-0.0608526,0.1462702,323.6331316,163.7066045,inf
-0.0558526,-0.0558526,0.1512702,272.3645167,134.4417624,1612.6187443
-0.0508526,-0.0508526,0.1562702,227.7583914,109.3148264,1385.7686588
-0.0458526,-0.0458526,0.1612702,189.2644321,87.8451878,1190.1439996
-0.0408526,-0.0408526,0.1662702,156.3234866,69.6008575,1021.9374843
-0.0358526,-0.0358526,0.1712702,128.3165106,54.1876119,877.6855439
-0.0308526,-0.0308526,0.1762702,104.6238159,41.2434746,754.2618458
-0.0258526,-0.0258526,0.1812702,84.6655310,30.4376008,648.8646932
-0.0208526,-0.0208526,0.1862702,67.9167971,21.4706358,559.0001574
-0.0158526,-0.0158526,0.1912702,53.9107536,14.0747334,482.4622628
-0.0108526,-0.0108526,0.1962702,42.2365654,8.0127104,417.3113345
-0.0058526,-0.0058526,0.2012702,32.5355264,3.0764320,361.8514720
-0.0008526,-0.0008526,0.2062702,24.4964817,-0.9153146,314.6079437
0.0041474,0.0041474,0.2112702,17.8511128,-4.1193107,274.3051115
0.0091474,0.0091474,0.2162702,12.3693238,-6.6712348,239.8453165
0.0141474,0.0141474,0.2212702,7.8545461,-8.6917089,210.2890088
0.0191474,0.0191474,0.2262702,4.1361764,-10.2961264,184.8362823
0.0241474,0.0241474,0.2312702,1.0485375,-11.6014049,162.8098861
0.0291474,0.0291474,0.2362702,-1.6099507,-12.7165685,143.6388415
0.0341474,0.0341474,0.2412702,-4.0810422,-13.7176351,126.5388545
0.0391474,0.0391474,0.2462702,-6.5226668,-14.6300612,105.6143707
0.0441474,0.0441474,0.2512702,-8.8933155,-15.4384352,84.1787015
0.0491474,0.0491474,0.2562702,-11.0504273,-16.1140510,66.0122323
0.0541474,0.0541474,0.2612702,-12.8904279,-16.6373233,50.0279315
0.0591474,0.0591474,0.2662702,-14.3797118,-17.0052405,35.5775871
0.0641474,0.0641474,0.2712702,-15.5321389,-17.2285982,23.0905710
0.0691474,0.0691474,0.2762702,-16.3848945,-17.3262244,12.7031225
0.0741474,0.0741474,0.2812702,-16.9832138,-17.3200007,4.1824703
0.0791474,0.0791474,0.2862702,-17.3722560,-17.2315956,-2.7726078
0.0841474,0.0841474,0.2912702,-17.5933526,-17.0806465,-8.4356009
0.0891474,0.0891474,0.2962702,-17.6826542,-16.8839122,-13.0361979
0.0941474,0.0941474,0.3012702,-17.6709753,-16.6550142,-16.7630400
0.0991474,0.0991474,0.3062702,-17.5841549,-16.4045300,-19.7700330
0.1041474,0.1041474,0.3112702,-17.4435520,-16.1403055,-22.1826277
0.1091474,0.1091474,0.3162702,-17.2664877,-15.8679094,-24.1032683
