# r[nm],d[nm],daligned[nm],UwaterUCD(d)[kj/mol],UMinwaterUCD(d)[kj/mol]
0.7719615,0.0219615,-0.0000000,121285.1526814,121285.1526814
0.7819615,0.0319615,0.0100000,85516.0464644,85516.0464644
0.7919615,0.0419615,0.0200000,59324.7929676,59324.7929676
0.8019615,0.0519615,0.0300000,40435.7743026,40435.7743026
0.8119615,0.0619615,0.0400000,26598.9262328,26598.9262328
0.8219615,0.0719615,0.0500000,16735.6508230,16735.6508230
0.8319615,0.0819615,0.0600000,10644.9861445,10644.9861445
0.8419615,0.0919615,0.0700000,6799.2703929,6799.2703929
0.8519615,0.1019615,0.0800000,4348.8534672,4348.8534672
0.8619615,0.1119615,0.0900000,2782.3766506,2782.3766506
0.8719615,0.1219615,0.1000000,1804.7303095,1779.7942218
0.8819615,0.1319615,0.1100000,1162.5702654,1137.6341777
0.8919615,0.1419615,0.1200000,750.8746731,725.9385859
0.9019615,0.1519615,0.1300000,486.6052071,461.6699236
0.9119615,0.1619615,0.1400000,316.6818925,291.8018012
0.9219615,0.1719615,0.1500000,206.9053433,182.4794865
0.9319615,0.1819615,0.1600000,135.5511355,112.0746809
0.9419615,0.1919615,0.1700000,89.1992912,66.1419539
0.9519615,0.2019615,0.1800000,59.0193328,36.2242916
0.9619615,0.2119615,0.1900000,38.0262873,17.2021141
0.9719615,0.2219615,0.2000000,-3.8001710,-26.6653960
0.9819615,0.2319615,0.2100000,-31.5397443,-54.5312785
0.9919615,0.2419615,0.2200000,-48.0722952,-71.0232303
1.0019615,0.2519615,0.2300000,-57.7209101,-80.6181918
1.0119615,0.2619615,0.2400000,-63.1210574,-85.9220357
1.0219615,0.2719615,0.2500000,-65.9172396,-88.4854575
1.0319615,0.2819615,0.2600000,-67.1728611,-89.2523903
1.0419615,0.2919615,0.2700000,-67.5376007,-88.8116924
1.0519615,0.3019615,0.2800000,-67.3145067,-89.0161251
1.0619615,0.3119615,0.2900000,-66.6064340,-88.6224809
1.0719615,0.3219615,0.3000000,-65.5461819,-87.5547593
1.0819615,0.3319615,0.3100000,-65.4383480,-86.4822656
1.0919615,0.3419615,0.3200000,-68.3040531,-91.4312456
1.1019615,0.3519615,0.3300000,-70.6283676,-94.0059972
1.1119615,0.3619615,0.3400000,-71.2138230,-94.6028821
1.1219615,0.3719615,0.3500000,-70.3341927,-93.6274474
1.1319615,0.3819615,0.3600000,-68.5065081,-91.4598316
1.1419615,0.3919615,0.3700000,-66.5414803,-88.4340642
1.1519615,0.4019615,0.3800000,-65.2951774,-85.9905315
1.1619615,0.4119615,0.3900000,-64.8050345,-85.1909857
1.1719615,0.4219615,0.4000000,-64.8226085,-84.5708789
1.1819615,0.4319615,0.4100000,-65.5090696,-88.1407249
1.1919615,0.4419615,0.4200000,-65.7000702,-88.6560921
1.2019615,0.4519615,0.4300000,-71.9893232,-96.1995169
1.2119615,0.4619615,0.4400000,-82.9367996,-106.9791279
1.2219615,0.4719615,0.4500000,-86.9753064,-110.3651358
1.2319615,0.4819615,0.4600000,-86.9551943,-109.5959094
1.2419615,0.4919615,0.4700000,-85.7263304,-106.8652232
1.2519615,0.5019615,0.4800000,-83.9205962,-105.0503000
1.2619615,0.5119615,0.4900000,-80.6128912,-101.9240652
1.2719615,0.5219615,0.5000000,-76.3918134,-97.6863623
1.2819615,0.5319615,0.5100000,-71.8887134,-93.0252348
1.2919615,0.5419615,0.5200000,-67.3702010,-88.3094997
1.3019615,0.5519615,0.5300000,-62.9589017,-83.7315703
1.3119615,0.5619615,0.5400000,-58.7604274,-79.3856765
1.3219615,0.5719615,0.5500000,-54.8433039,-75.3114323
1.3319615,0.5819615,0.5600000,-51.2316981,-71.5184037
1.3419615,0.5919615,0.5700000,-47.9197490,-68.0000740
1.3519615,0.6019615,0.5800000,-44.8869001,-64.7418022
1.3619615,0.6119615,0.5900000,-42.1076249,-61.7253410
1.3719615,0.6219615,0.6000000,-39.5563055,-58.9313692
1.3819615,0.6319615,0.6100000,-37.2092661,-56.3408706
1.3919615,0.6419615,0.6200000,-35.0454014,-53.9358461
1.4019615,0.6519615,0.6300000,-33.0461893,-51.6996397
1.4119615,0.6619615,0.6400000,-31.1954668,-49.6170466
1.4219615,0.6719615,0.6500000,-29.4791418,-47.6742997
1.4319615,0.6819615,0.6600000,-27.8849072,-45.8589937
1.4419615,0.6919615,0.6700000,-26.4019849,-44.1599797
1.4519615,0.7019615,0.6800000,-25.0209019,-42.5672483
1.4619615,0.7119615,0.6900000,-23.7332990,-41.0718147
1.4719615,0.7219615,0.7000000,-22.5317654,-39.6656087
1.4819615,0.7319615,0.7100000,-21.4096964,-38.3413740
1.4919615,0.7419615,0.7200000,-20.3611702,-37.0925770
1.5019615,0.7519615,0.7300000,-19.3808418,-35.9133258
1.5119615,0.7619615,0.7400000,-18.4638519,-34.7982977
1.5219615,0.7719615,0.7500000,-17.6057508,-33.7426756
1.5319615,0.7819615,0.7600000,-16.8024352,-32.7420925
1.5419615,0.7919615,0.7700000,-16.0500975,-31.7925814
1.5519615,0.8019615,0.7800000,-15.3451874,-30.8905328
1.5619615,0.8119615,0.7900000,-14.6843821,-30.0326563
1.5719615,0.8219615,0.8000000,-14.0645654,-29.2159471
1.5819615,0.8319615,0.8100000,-13.4828132,-28.4376567
1.5919615,0.8419615,0.8200000,-12.9363831,-27.6952667
1.6019615,0.8519615,0.8300000,-12.4227077,-26.9864661
1.6119615,0.8619615,0.8400000,-11.9393889,-26.3091306
1.6219615,0.8719615,0.8500000,-11.4841932,-25.6613047
1.6319615,0.8819615,0.8600000,-11.0550464,-25.0411858
1.6419615,0.8919615,0.8700000,-10.6500282,-24.4471099
1.6519615,0.9019615,0.8800000,-10.2673660,-23.8775387
1.6619615,0.9119615,0.8900000,-9.9054274,-23.3310483
1.6719615,0.9219615,0.9000000,-9.5627124,-22.8063193
1.6819615,0.9319615,0.9100000,-9.2378455,-22.3021271
1.6919615,0.9419615,0.9200000,-8.9295665,-21.8173344
1.7019615,0.9519615,0.9300000,-8.6367224,-21.3508831
1.7119615,0.9619615,0.9400000,-8.3582581,-20.9017883
1.7219615,0.9719615,0.9500000,-8.0932087,-20.4691320
1.7319615,0.9819615,0.9600000,-7.8406912,-20.0520574
1.7419615,0.9919615,0.9700000,-7.5998969,-19.6497645
1.7519615,1.0019615,0.9800000,-7.3700849,-19.2615055
1.7619615,1.0119615,0.9900000,-7.1505750,-18.8865802
1.7719615,1.0219615,1.0000000,-6.9407422,-18.5243332
1.7819615,1.0319615,1.0100000,-6.7400111,-18.1741499
1.7919615,1.0419615,1.0200000,-6.5478513,-17.8354536
1.8019615,1.0519615,1.0300000,-6.3637729,-17.5077028
1.8119615,1.0619615,1.0400000,-6.1873224,-17.1903885
1.8219615,1.0719615,1.0500000,-6.0180797,-16.8830319
1.8319615,1.0819615,1.0600000,-5.8556545,-16.5851824
1.8419615,1.0919615,1.0700000,-5.6996836,-16.2964155
1.8519615,1.1019615,1.0800000,-5.5498287,-16.0163308
1.8619615,1.1119615,1.0900000,-5.4057739,-15.7445507
1.8719615,1.1219615,1.1000000,-5.2672240,-15.4807187
1.8819615,1.1319615,1.1100000,-5.1339025,-15.2244978
1.8919615,1.1419615,1.1200000,-5.0055502,-14.9843897
1.9019615,1.1519615,1.1300000,-4.8819240,-14.8013746
1.9119615,1.1619615,1.1400000,-4.7627951,-14.6211080
1.9219615,1.1719615,1.1500000,-4.6479485,-14.4435597
1.9319615,1.1819615,1.1600000,-4.5371815,-14.2686985
1.9419615,1.1919615,1.1700000,-4.4303032,-14.0964924
1.9519615,1.2019615,1.1800000,-4.3271334,-13.9269084
1.9619615,1.2119615,1.1900000,-4.2275021,-13.7599129
1.9719615,1.2219615,1.2000000,-4.1312484,-13.5954717
1.9819615,1.2319615,1.2100000,-4.0382206,-13.4335503
1.9919615,1.2419615,1.2200000,-3.9482747,-13.2741136
2.0019615,1.2519615,1.2300000,-3.8612747,-13.1171265
2.0119615,1.2619615,1.2400000,-3.7770917,-12.9625535
2.0219615,1.2719615,1.2500000,-3.6956036,-12.8103591
2.0319615,1.2819615,1.2600000,-3.6166947,-12.6605075
2.0419615,1.2919615,1.2700000,-3.5402551,-12.5129634
2.0519615,1.3019615,1.2800000,-3.4661808,-12.3676910
2.0619615,1.3119615,1.2900000,-3.3943728,-12.2246550
2.0719615,1.3219615,1.3000000,-3.3247372,-12.0838201
2.0819615,1.3319615,1.3100000,-3.2571850,-11.9451512
2.0919615,1.3419615,1.3200000,-3.1916314,-11.8086134
2.1019615,1.3519615,1.3300000,-3.1279959,-11.6741721
2.1119615,1.3619615,1.3400000,-3.0662019,-11.5417931
2.1219615,1.3719615,1.3500000,-3.0061766,-11.4114422
2.1319615,1.3819615,1.3600000,-2.9478507,-11.2830858
2.1419615,1.3919615,1.3700000,-2.8911583,-11.1566906
2.1519615,1.4019615,1.3800000,-2.8360366,-11.0322237
2.1619615,1.4119615,1.3900000,-2.7824258,-10.9096525
2.1719615,1.4219615,1.4000000,-2.7302690,-10.7889448
2.1819615,1.4319615,1.4100000,-2.6795117,-10.6700689
2.1919615,1.4419615,1.4200000,-2.6301024,-10.5529935
2.2019615,1.4519615,1.4300000,-2.5819916,-10.4376876
2.2119615,1.4619615,1.4400000,-2.5351323,-10.3241209
2.2219615,1.4719615,1.4500000,-2.4894794,-10.2122632
2.2319615,1.4819615,1.4600000,-2.4449902,-10.1020851
2.2419615,1.4919615,1.4700000,-2.4016236,-9.9935574
2.2519615,1.5019615,1.4800000,-2.3593406,-9.8866514
2.2619615,1.5119615,1.4900000,-2.3181037,-9.7813390
