# r[nm],d[nm],daligned[nm],UC(d)[kJ/mol],UK(d)[kJ/mol],UCl(d)[kJ/mol],UC2A(d)[kJ/mol],UC4A(d)[kJ/mol],UCPlus(d)[kJ/mol],UCMinus(d)[kJ/mol],UCMoreLJ(d)[kJ/mol],UCLessLJ(d)[kJ/mol],UCMin(d)[kJ/mol],UKMin(d)[kJ/mol],UClMin(d)[kJ/mol],UC2AMin(d)[kJ/mol],UC4AMin(d)[kJ/mol],UCPlusMin(d)[kJ/mol],UCMinusMin(d)[kJ/mol],UCMoreLJMin(d)[kJ/mol],UCLessLJMin(d)[kJ/mol]
-0.9218813,-0.9218813,-0.9143947,26319.0266705,15789.0189954,122540.7678966,940.4925950,85512.3863116,26319.0266705,26319.0266705,31025.8898883,19622.4956961,26319.0266705,15789.0189954,122540.7678966,928.5438152,85512.3863116,26319.0266705,26319.0266705,31025.8898883,19622.4956961
-0.9168813,-0.9168813,-0.9093947,25970.2422411,15577.5721711,120943.5445627,926.2184725,84396.9233046,25970.2422411,25970.2422411,30614.7292692,19362.4548880,25970.2422411,15577.5721711,120943.5445627,914.1569333,84396.9233046,25970.2422411,25970.2422411,30614.7292692,19362.4548880
-0.9118813,-0.9118813,-0.9043947,26570.8434946,15941.6800885,123693.9397281,951.0971706,86317.7341855,26570.8434946,26570.8434946,31322.7413317,19810.2410337,26570.8434946,15941.6800885,123693.9397281,938.9307655,86317.7341855,26570.8434946,26570.8434946,31322.7413317,19810.2410337
-0.9068813,-0.9068813,-0.8993947,28126.1966479,16884.6185919,130816.2536646,1015.3814627,91291.7988163,28126.1966479,28126.1966479,33156.2519807,20969.8549867,28126.1966479,16884.6185919,130816.2536646,1003.1079991,91291.7988163,28126.1966479,28126.1966479,33156.2519807,20969.8549867
-0.9018813,-0.9018813,-0.8943947,30649.0362736,18414.1648033,142368.1144779,1119.6567855,99359.3862590,30649.0362736,30649.0362736,36130.2732244,22850.7911747,30649.0362736,18414.1648033,142368.1144779,1107.2675861,99359.3862590,30649.0362736,30649.0362736,36130.2732244,22850.7911747
-0.8968813,-0.8968813,-0.8893947,34156.3125247,20540.6816661,158426.0901374,1264.7064605,110574.0048954,34156.3125247,34156.3125247,40264.7865610,25465.6870067,34156.3125247,20540.6816661,158426.0901374,1252.1908105,110574.0048954,34156.3125247,34156.3125247,40264.7865610,25465.6870067
-0.8918813,-0.8918813,-0.8843947,38034.7141625,22890.1469133,176208.3037285,1423.6796840,122991.9668910,38034.7141625,38034.7141625,44836.7969041,28357.2802407,38034.7141625,22890.1469133,176208.3037285,1410.4968563,122991.9668910,38034.7141625,38034.7141625,44836.7969041,28357.2802407
-0.8868813,-0.8868813,-0.8793947,40314.2276777,24272.5215263,186641.7369098,1518.7209654,130278.6089416,40314.2276777,40314.2276777,47523.9758871,30056.8014540,40314.2276777,24272.5215263,186641.7369098,1504.9422485,130278.6089416,40314.2276777,40314.2276777,47523.9758871,30056.8014540
-0.8818813,-0.8818813,-0.8743947,41451.0895184,24964.8607070,191810.0327109,1570.3575825,133889.2862901,41451.0895184,41451.0895184,48864.1527381,30904.4037174,41451.0895184,24964.8607070,191810.0327109,1554.7861660,133889.2862901,41451.0895184,41451.0895184,48864.1527381,30904.4037174
-0.8768813,-0.8768813,-0.8693947,38436.6249375,23137.4398604,178004.7957337,1441.5820010,124248.0618595,38436.6249375,38436.6249375,45310.5849209,28656.9300929,38436.6249375,23137.4398604,178004.7957337,1430.5058554,124248.0618595,38436.6249375,38436.6249375,45310.5849209,28656.9300929
