# r[nm],d[nm],daligned[nm],Ucline3(d)[kj/mol],UMincline3(d)[kj/mol]
-0.0158969,-0.0158969,0.0000000,19578.5054620,19578.5054620
-0.0058969,-0.0058969,0.0100000,19318.2798583,19318.2798583
0.0041031,0.0041031,0.0200000,18885.2863994,18885.2863994
0.0141031,0.0141031,0.0300000,18479.2867306,18479.2867306
0.0241031,0.0241031,0.0400000,18342.0592483,18342.0592483
0.0341031,0.0341031,0.0500000,17943.2114103,17943.2114103
0.0441031,0.0441031,0.0600000,19077.4387930,19077.4387930
0.0541031,0.0541031,0.0700000,21203.3856684,21203.3856684
0.0641031,0.0641031,0.0800000,22647.4770934,22647.4770934
0.0741031,0.0741031,0.0900000,23336.8991687,23336.8991687
0.0841031,0.0841031,0.1000000,23277.4327779,23277.4327779
0.0941031,0.0941031,0.1100000,21216.5005135,21216.5005135
0.1041031,0.1041031,0.1200000,18568.7514510,18568.7514510
0.1141031,0.1141031,0.1300000,15775.4716258,15775.4716258
0.1241031,0.1241031,0.1400000,12191.9823917,12191.9823917
0.1341031,0.1341031,0.1500000,8775.9806989,8775.9806989
0.1441031,0.1441031,0.1600000,6249.9197998,6249.9197998
0.1541031,0.1541031,0.1700000,4407.4674464,4407.4674464
0.1641031,0.1641031,0.1800000,3078.8643506,3078.8643506
0.1741031,0.1741031,0.1900000,2129.8733818,2129.8733818
0.1841031,0.1841031,0.2000000,1476.3963832,1457.4705275
0.1941031,0.1941031,0.2100000,1003.3031884,984.3773327
0.2041031,0.2041031,0.2200000,672.5708811,653.6450419
0.2141031,0.2141031,0.2300000,442.8018566,423.8796102
0.2241031,0.2241031,0.2400000,284.1264100,265.3124775
0.2341031,0.2341031,0.2500000,174.7838684,156.7115960
0.2441031,0.2441031,0.2600000,99.5575973,83.0296518
0.2541031,0.2541031,0.2700000,48.5788789,33.6547759
0.2641031,0.2641031,0.2800000,14.6818736,1.1316359
0.2741031,0.2741031,0.2900000,-7.4072082,-19.7616284
0.2841031,0.2841031,0.3000000,-21.4398866,-32.6732701
0.2941031,0.2941031,0.3100000,-30.0699224,-40.1463064
0.3041031,0.3041031,0.3200000,-35.1191263,-43.9492417
0.3141031,0.3141031,0.3300000,-37.7325970,-45.3087290
0.3241031,0.3241031,0.3400000,-38.6108704,-45.0728240
0.3341031,0.3341031,0.3500000,-38.2629718,-43.8253402
0.3441031,0.3441031,0.3600000,-37.0905945,-41.9658672
0.3541031,0.3541031,0.3700000,-35.3962257,-39.7657270
0.3641031,0.3641031,0.3800000,-33.4183678,-37.4070909
0.3741031,0.3741031,0.3900000,-31.3852847,-35.4391449
0.3841031,0.3841031,0.4000000,-29.5243197,-35.4179992
0.3941031,0.3941031,0.4100000,-27.9770686,-34.7079277
0.4041031,0.4041031,0.4200000,-26.7311259,-33.5381355
0.4141031,0.4141031,0.4300000,-25.6887338,-32.0767083
0.4241031,0.4241031,0.4400000,-24.7444501,-30.4459589
0.4341031,0.4341031,0.4500000,-23.8100123,-28.7339116
0.4441031,0.4441031,0.4600000,-22.8429170,-27.0029544
0.4541031,0.4541031,0.4700000,-21.8597145,-25.7171911
0.4641031,0.4641031,0.4800000,-20.9188361,-27.0132726
