# r[nm],d[nm],daligned[nm],UC(d)[kJ/mol],UK(d)[kJ/mol],UCl(d)[kJ/mol],UC2A(d)[kJ/mol],UC4A(d)[kJ/mol],UCPlus(d)[kJ/mol],UCMinus(d)[kJ/mol],UCMoreLJ(d)[kJ/mol],UCLessLJ(d)[kJ/mol]
-2.2422004,-2.2422004,-1.5123446,27999.1221769,16790.2853111,130248.0090098,1010.8663483,90882.8060417,27990.3264031,28007.9179507,33006.4516634,20875.1129474
-2.2372004,-2.2372004,-1.5073446,30529.0923972,18324.0898721,141832.6576362,1115.4597338,98973.2511743,30520.2687893,30537.9160052,35988.8787288,22761.3654437
-2.2322004,-2.2322004,-1.5023446,34036.7997670,20450.8019877,157892.7477587,1260.5575094,110189.3059792,34027.9482228,34045.6513111,40123.9002848,25376.5827019
-2.2272004,-2.2272004,-1.4973446,37782.2439809,22720.4020478,175064.7518298,1415.3287903,122181.6158945,37773.7364764,37790.7514854,44539.1752575,28169.0477838
-2.2222004,-2.2222004,-1.4923446,40057.0228819,24099.9503434,185477.6682051,1509.8681325,129453.9947469,40048.5929966,40065.4527673,47220.7728936,29865.0390435
-2.2172004,-2.2172004,-1.4873446,41191.1588556,24788.7383616,190634.5384763,1559.8402477,133055.3456025,41181.7423067,41200.5754045,48557.7363868,30710.6090009
-2.2122004,-2.2122004,-1.4823446,38143.7903684,22941.9775638,176679.5101587,1429.9948855,123309.9714405,38134.7435466,38152.8371901,44965.3801680,28438.6034373
-2.2072004,-2.2072004,-1.4773446,36086.4665114,21694.8795605,167246.0603064,1350.1250525,116721.6441738,36076.9438138,36095.9892089,42540.1269757,26904.7386392
-2.2022004,-2.2022004,-1.4723446,31140.2288426,18710.0510351,144445.9944553,1157.4716225,100804.6289613,31131.4861099,31148.9715753,36709.3100844,23217.0062400
-2.1972004,-2.1972004,-1.4673446,25756.8782952,15448.4035139,119776.3851213,935.3755011,83576.9113573,25748.4260018,25765.3305885,30363.2075706,19203.3785983
-2.1922004,-2.1922004,-1.4623446,20686.5565999,12387.5966583,96406.0542658,734.5810000,67261.0358869,20678.3817101,20694.7314897,24386.1156141,15423.1337250
-2.1872004,-2.1872004,-1.4573446,15890.3307958,9479.3501774,74416.3586550,539.1268607,51902.8348818,15880.6688587,15899.9927329,18732.1385298,11847.2446400
-2.1822004,-2.1822004,-1.4523446,12672.7981548,7530.8266559,59656.2237207,409.7865097,41595.5185842,12663.1024824,12682.4938272,14939.1862036,9448.3709585
-2.1772004,-2.1772004,-1.4473446,10543.1047752,6241.7701772,49878.0124065,324.5170551,34767.4510343,10533.3752064,10552.8343440,12428.6210099,7860.5501132
-2.1722004,-2.1722004,-1.4423446,9141.4693342,5393.8416429,43436.8743306,268.7431584,30269.8164054,9131.7057070,9151.2329614,10776.3187648,6815.5424178
-2.1672004,-2.1672004,-1.4373446,8234.5607535,4845.4767265,39265.6247448,232.9066525,27357.2736275,8224.7629048,8244.3586022,9707.2197394,6139.3848248
