# r[nm],d[nm],daligned[nm],U(d)[kj/mol],V(d)[e/nm]
1.3200000,0.5700000,0.5417333,-2.4904604,-0.0256501
1.3250000,0.5750000,0.5467333,-2.4175775,-0.0254675
1.3300000,0.5800000,0.5517333,-2.3421696,-0.0252810
1.3350000,0.5850000,0.5567333,-2.2653819,-0.0250910
1.3400000,0.5900000,0.5617333,-2.1881589,-0.0248981
1.3450000,0.5950000,0.5667333,-2.1112617,-0.0247032
1.3500000,0.6000000,0.5717333,-2.0352901,-0.0245070
1.3550000,0.6050000,0.5767333,-1.9607063,-0.0243103
1.3600000,0.6100000,0.5817333,-1.8878578,-0.0241138
1.3650000,0.6150000,0.5867333,-1.8169975,-0.0239182
1.3700000,0.6200000,0.5917333,-1.7483018,-0.0237239
1.3750000,0.6250000,0.5967333,-1.6818857,-0.0235313
1.3800000,0.6300000,0.6017333,-1.6178154,-0.0233409
1.3850000,0.6350000,0.6067333,-1.5561190,-0.0231528
1.3900000,0.6400000,0.6117333,-1.4967945,-0.0229673
1.3950000,0.6450000,0.6167333,-1.4398176,-0.0227846
1.4000000,0.6500000,0.6217333,-1.3851465,-0.0226047
1.4050000,0.6550000,0.6267333,-1.3327265,-0.0224278
1.4100000,0.6600000,0.6317333,-1.2824940,-0.0222539
1.4150000,0.6650000,0.6367333,-1.2343790,-0.0220830
1.4200000,0.6700000,0.6417333,-1.1883070,-0.0219151
1.4250000,0.6750000,0.6467333,-1.1442016,-0.0217502
1.4300000,0.6800000,0.6517333,-1.1019850,-0.0215882
1.4350000,0.6850000,0.6567333,-1.0615795,-0.0214290
1.4400000,0.6900000,0.6617333,-1.0229083,-0.0212727
1.4450000,0.6950000,0.6667333,-0.9858957,-0.0211192
1.4500000,0.7000000,0.6717333,-0.9504682,-0.0209683
1.4550000,0.7050000,0.6767333,-0.9165542,-0.0208201
1.4600000,0.7100000,0.6817333,-0.8840847,-0.0206744
1.4650000,0.7150000,0.6867333,-0.8529932,-0.0205311
1.4700000,0.7200000,0.6917333,-0.8232156,-0.0203902
1.4750000,0.7250000,0.6967333,-0.7946906,-0.0202516
1.4800000,0.7300000,0.7017333,-0.7673598,-0.0201153
1.4850000,0.7350000,0.7067333,-0.7411669,-0.0199810
1.4900000,0.7400000,0.7117333,-0.7160587,-0.0198489
1.4950000,0.7450000,0.7167333,-0.6919842,-0.0197187
1.5000000,0.7500000,0.7217333,-0.6688948,-0.0195904
1.5050000,0.7550000,0.7267333,-0.6467446,-0.0194640
1.5100000,0.7600000,0.7317333,-0.6254895,-0.0193394
1.5150000,0.7650000,0.7367333,-0.6050879,-0.0192165
1.5200000,0.7700000,0.7417333,-0.5855001,-0.0190952
1.5250000,0.7750000,0.7467333,-0.5666886,-0.0189755
1.5300000,0.7800000,0.7517333,-0.5486175,-0.0188574
1.5350000,0.7850000,0.7567333,-0.5312529,-0.0187407
1.5400000,0.7900000,0.7617333,-0.5145625,-0.0186255
1.5450000,0.7950000,0.7667333,-0.4985157,-0.0185116
1.5500000,0.8000000,0.7717333,-0.4830835,-0.0183990
1.5550000,0.8050000,0.7767333,-0.4682381,-0.0182877
1.5600000,0.8100000,0.7817333,-0.4539534,-0.0181776
1.5650000,0.8150000,0.7867333,-0.4402045,-0.0180687
1.5700000,0.8200000,0.7917333,-0.4269676,-0.0179610
1.5750000,0.8250000,0.7967333,-0.4142203,-0.0178543
1.5800000,0.8300000,0.8017333,-0.4019412,-0.0177487
1.5850000,0.8350000,0.8067333,-0.3901100,-0.0176441
1.5900000,0.8400000,0.8117333,-0.3787073,-0.0175405
1.5950000,0.8450000,0.8167333,-0.3677149,-0.0174379
1.6000000,0.8500000,0.8217333,-0.3571151,-0.0173361
1.6050000,0.8550000,0.8267333,-0.3468914,-0.0172353
1.6100000,0.8600000,0.8317333,-0.3370280,-0.0171353
1.6150000,0.8650000,0.8367333,-0.3275098,-0.0170362
1.6200000,0.8700000,0.8417333,-0.3183225,-0.0169378
1.6250000,0.8750000,0.8467333,-0.3094523,-0.0168403
1.6300000,0.8800000,0.8517333,-0.3008864,-0.0167435
1.6350000,0.8850000,0.8567333,-0.2926123,-0.0166474
1.6400000,0.8900000,0.8617333,-0.2846182,-0.0165521
1.6450000,0.8950000,0.8667333,-0.2768928,-0.0164574
1.6500000,0.9000000,0.8717333,-0.2694254,-0.0163634
1.6550000,0.9050000,0.8767333,-0.2622057,-0.0162701
1.6600000,0.9100000,0.8817333,-0.2552240,-0.0161774
1.6650000,0.9150000,0.8867333,-0.2484709,-0.0160853
1.6700000,0.9200000,0.8917333,-0.2419376,-0.0159938
1.6750000,0.9250000,0.8967333,-0.2356154,-0.0159029
1.6800000,0.9300000,0.9017333,-0.2294964,-0.0158126
1.6850000,0.9350000,0.9067333,-0.2235727,-0.0157228
1.6900000,0.9400000,0.9117333,-0.2178369,-0.0156336
1.6950000,0.9450000,0.9167333,-0.2122818,-0.0155449
1.7000000,0.9500000,0.9217333,-0.2069008,-0.0154567
1.7050000,0.9550000,0.9267333,-0.2016874,-0.0153690
1.7100000,0.9600000,0.9317333,-0.1966352,-0.0152819
1.7150000,0.9650000,0.9367333,-0.1917384,-0.0151952
1.7200000,0.9700000,0.9417333,-0.1869913,-0.0151090
1.7250000,0.9750000,0.9467333,-0.1823885,-0.0150232
1.7300000,0.9800000,0.9517333,-0.1779247,-0.0149379
1.7350000,0.9850000,0.9567333,-0.1735949,-0.0148531
1.7400000,0.9900000,0.9617333,-0.1693943,-0.0147687
1.7450000,0.9950000,0.9667333,-0.1653183,-0.0146847
1.7500000,1.0000000,0.9717333,-0.1613626,-0.0146012
1.7550000,1.0050000,0.9767333,-0.1575230,-0.0145181
1.7600000,1.0100000,0.9817333,-0.1537952,-0.0144354
1.7650000,1.0150000,0.9867333,-0.1501756,-0.0143531
1.7700000,1.0200000,0.9917333,-0.1466603,-0.0142712
1.7750000,1.0250000,0.9967333,-0.1432458,-0.0141896
1.7800000,1.0300000,1.0017333,-0.1399286,-0.0141085
1.7850000,1.0350000,1.0067333,-0.1367055,-0.0140278
1.7900000,1.0400000,1.0117333,-0.1335732,-0.0139474
1.7950000,1.0450000,1.0167333,-0.1305287,-0.0138675
1.8000000,1.0500000,1.0217333,-0.1275691,-0.0137879
1.8050000,1.0550000,1.0267333,-0.1246916,-0.0137086
1.8100000,1.0600000,1.0317333,-0.1218935,-0.0136297
1.8150000,1.0650000,1.0367333,-0.1191721,-0.0135512
1.8200000,1.0700000,1.0417333,-0.1165250,-0.0134731
1.8250000,1.0750000,1.0467333,-0.1139497,-0.0133952
1.8300000,1.0800000,1.0517333,-0.1114440,-0.0133178
1.8350000,1.0850000,1.0567333,-0.1090055,-0.0132407
1.8400000,1.0900000,1.0617333,-0.1066322,-0.0131639
1.8450000,1.0950000,1.0667333,-0.1043220,-0.0130875
1.8500000,1.1000000,1.0717333,-0.1020729,-0.0130114
1.8550000,1.1050000,1.0767333,-0.0998830,-0.0129356
1.8600000,1.1100000,1.0817333,-0.0977504,-0.0128602
1.8650000,1.1150000,1.0867333,-0.0956733,-0.0127851
1.8700000,1.1200000,1.0917333,-0.0936501,-0.0127103
1.8750000,1.1250000,1.0967333,-0.0916790,-0.0126359
1.8800000,1.1300000,1.1017333,-0.0897585,-0.0125618
1.8850000,1.1350000,1.1067333,-0.0878870,-0.0124880
1.8900000,1.1400000,1.1117333,-0.0860631,-0.0124145
