# r[nm],d[nm],daligned[nm],UC(d)[kJ/mol],UK(d)[kJ/mol],UCl(d)[kJ/mol],UC2A(d)[kJ/mol],UC4A(d)[kJ/mol],UC6A(d)[kJ/mol],UC8A(d)[kJ/mol],UC10A(d)[kJ/mol]
0.3512356,0.3512356,0.3532025,-5.1828801,-4.3461205,-10.0552126,-1.5110353,-7.4518629,-1.2089450,204.3958364,inf
0.3562356,0.3562356,0.3582025,-5.0107587,-4.1860444,-9.8834919,-1.4427382,-7.3124616,-3.3596959,174.3224312,1638.7792874
0.3612356,0.3612356,0.3632025,-4.8395418,-4.0295645,-9.6863775,-1.3780050,-7.1559469,-5.1761128,148.2540646,1437.7006762
0.3662356,0.3662356,0.3682025,-4.6703999,-3.8772238,-9.4695755,-1.3166522,-6.9864989,-6.7082286,125.6386540,1261.8635872
0.3712356,0.3712356,0.3732025,-4.5042385,-3.7294069,-9.2380237,-1.2585009,-6.8076593,-7.9988198,106.0037791,1107.9123558
0.3762356,0.3762356,0.3782025,-4.3417454,-3.5863719,-8.9959354,-1.2033783,-6.6223989,-9.0843602,88.9450267,972.9670959
0.3812356,0.3812356,0.3832025,-4.1834301,-3.4482756,-8.7468623,-1.1511183,-6.4331858,-9.9955786,74.1160594,854.5511790
0.3862356,0.3862356,0.3882025,-4.0296574,-3.3151943,-8.4937663,-1.1015620,-6.2420528,-10.7578015,61.2200563,750.5307441
0.3912356,0.3912356,0.3932025,-3.8806751,-3.1871416,-8.2390917,-1.0545581,-6.0506587,-11.3913473,50.0022883,659.0640773
0.3962356,0.3962356,0.3982025,-3.7366365,-3.0640819,-7.9848358,-1.0099628,-5.8603445,-11.9121753,40.2436975,578.5590941
0.4012356,0.4012356,0.4032025,-3.5976199,-2.9459417,-7.7326130,-0.9676399,-5.6721831,-12.3327994,31.7554063,507.6374915
0.4062356,0.4062356,0.4082025,-3.4636436,-2.8326188,-7.4837129,-0.9274603,-5.4870214,-12.6633041,24.3740899,445.1044036
0.4112356,0.4112356,0.4132025,-3.3346791,-2.7239900,-7.2391511,-0.8893026,-5.3055185,-12.9122566,17.9581267,389.9226127
0.4162356,0.4162356,0.4182025,-3.2106610,-2.6199164,-6.9997140,-0.8530519,-5.1281767,-13.0873752,12.3844223,341.1905569
0.4212356,0.4212356,0.4232025,-3.0914961,-2.5202488,-6.7659968,-0.8186002,-4.9553687,-13.1959269,7.5457929,298.1235312
0.4262356,0.4262356,0.4282025,-2.9770698,-2.4248311,-6.5384361,-0.7858458,-4.7873602,-13.2449014,3.3487945,260.0376141
0.4312356,0.4312356,0.4332025,-2.8672518,-2.3335034,-6.3173379,-0.7546929,-4.6243295,-13.2410410,-0.2880981,226.3359358
0.4362356,0.4362356,0.4382025,-2.7619011,-2.2461044,-6.1029010,-0.7250515,-4.4663831,-13.1907977,-3.4360451,196.4969623
0.4412356,0.4412356,0.4432025,-2.6608688,-2.1624733,-5.8952367,-0.6968372,-4.3135695,-13.1002671,-6.1571869,170.0645028
0.4462356,0.4462356,0.4482025,-2.5640020,-2.0824511,-5.6943850,-0.6699704,-4.1658903,-12.9751287,-8.5058231,146.6391664
0.4512356,0.4512356,0.4532025,-2.4711453,-2.0058819,-5.5003291,-0.6443765,-4.0233096,-12.8206040,-10.5294454,125.8710210
