# r[nm],d[nm],daligned[nm],UC(d)[kJ/mol],UK(d)[kJ/mol],UCl(d)[kJ/mol]
1.3000000,0.5500000,0.5217333,-2.7271677,-2.3651628,-5.0924761
1.3050000,0.5550000,0.5267333,-2.6795314,-2.3010619,-5.0778709
1.3100000,0.5600000,0.5317333,-2.6230524,-2.2321517,-5.0544184
1.3150000,0.5650000,0.5367333,-2.5594664,-2.1599839,-5.0203794
1.3200000,0.5700000,0.5417333,-2.4904604,-2.0858846,-4.9743716
1.3250000,0.5750000,0.5467333,-2.4175775,-2.0109517,-4.9156868
1.3300000,0.5800000,0.5517333,-2.3421696,-1.9360697,-4.8443948
1.3350000,0.5850000,0.5567333,-2.2653819,-1.8619346,-4.7612670
1.3400000,0.5900000,0.5617333,-2.1881589,-1.7890809,-4.6675971
1.3450000,0.5950000,0.5667333,-2.1112617,-1.7179086,-4.5649938
1.3500000,0.6000000,0.5717333,-2.0352901,-1.6487076,-4.4551948
1.3550000,0.6050000,0.5767333,-1.9607063,-1.5816789,-4.3399244
1.3600000,0.6100000,0.5817333,-1.8878578,-1.5169532,-4.2207976
1.3650000,0.6150000,0.5867333,-1.8169975,-1.4546053,-4.0992648
1.3700000,0.6200000,0.5917333,-1.7483018,-1.3946672,-3.9765863
1.3750000,0.6250000,0.5967333,-1.6818857,-1.3371376,-3.8538292
1.3800000,0.6300000,0.6017333,-1.6178154,-1.2819899,-3.7318755
1.3850000,0.6350000,0.6067333,-1.5561190,-1.2291789,-3.6114395
1.3900000,0.6400000,0.6117333,-1.4967945,-1.1786458,-3.4930871
1.3950000,0.6450000,0.6167333,-1.4398176,-1.1303219,-3.3772560
1.4000000,0.6500000,0.6217333,-1.3851465,-1.0841321,-3.2642758
1.4050000,0.6550000,0.6267333,-1.3327265,-1.0399972,-3.1543853
1.4100000,0.6600000,0.6317333,-1.2824940,-0.9978357,-3.0477488
1.4150000,0.6650000,0.6367333,-1.2343790,-0.9575654,-2.9444693
1.4200000,0.6700000,0.6417333,-1.1883070,-0.9191044,-2.8446009
1.4250000,0.6750000,0.6467333,-1.1442016,-0.8823720,-2.7481580
1.4300000,0.6800000,0.6517333,-1.1019850,-0.8472892,-2.6551237
1.4350000,0.6850000,0.6567333,-1.0615795,-0.8137793,-2.5654570
1.4400000,0.6900000,0.6617333,-1.0229083,-0.7817682,-2.4790979
1.4450000,0.6950000,0.6667333,-0.9858957,-0.7511843,-2.3959720
1.4500000,0.7000000,0.6717333,-0.9504682,-0.7219591,-2.3159947
1.4550000,0.7050000,0.6767333,-0.9165542,-0.6940267,-2.2390736
1.4600000,0.7100000,0.6817333,-0.8840847,-0.6673245,-2.1651116
1.4650000,0.7150000,0.6867333,-0.8529932,-0.6417925,-2.0940082
1.4700000,0.7200000,0.6917333,-0.8232156,-0.6173738,-2.0256614
1.4750000,0.7250000,0.6967333,-0.7946906,-0.5940139,-1.9599689
1.4800000,0.7300000,0.7017333,-0.7673598,-0.5716614,-1.8968291
1.4850000,0.7350000,0.7067333,-0.7411669,-0.5502673,-1.8361416
1.4900000,0.7400000,0.7117333,-0.7160587,-0.5297851,-1.7778081
1.4950000,0.7450000,0.7167333,-0.6919842,-0.5101706,-1.7217326
1.5000000,0.7500000,0.7217333,-0.6688948,-0.4913821,-1.6678220
1.5050000,0.7550000,0.7267333,-0.6467446,-0.4733798,-1.6159857
1.5100000,0.7600000,0.7317333,-0.6254895,-0.4561262,-1.5661365
1.5150000,0.7650000,0.7367333,-0.6050879,-0.4395857,-1.5181904
1.5200000,0.7700000,0.7417333,-0.5855001,-0.4237244,-1.4720662
1.5250000,0.7750000,0.7467333,-0.5666886,-0.4085104,-1.4276864
1.5300000,0.7800000,0.7517333,-0.5486175,-0.3939133,-1.3849762
1.5350000,0.7850000,0.7567333,-0.5312529,-0.3799043,-1.3438641
1.5400000,0.7900000,0.7617333,-0.5145625,-0.3664563,-1.3042819
1.5450000,0.7950000,0.7667333,-0.4985157,-0.3535433,-1.2661640
1.5500000,0.8000000,0.7717333,-0.4830835,-0.3411409,-1.2294478
1.5550000,0.8050000,0.7767333,-0.4682381,-0.3292258,-1.1940736
1.5600000,0.8100000,0.7817333,-0.4539534,-0.3177759,-1.1599842
1.5650000,0.8150000,0.7867333,-0.4402045,-0.3067703,-1.1271251
1.5700000,0.8200000,0.7917333,-0.4269676,-0.2961892,-1.0954444
1.5750000,0.8250000,0.7967333,-0.4142203,-0.2860137,-1.0648924
1.5800000,0.8300000,0.8017333,-0.4019412,-0.2762258,-1.0354216
1.5850000,0.8350000,0.8067333,-0.3901100,-0.2668087,-1.0069869
