# r[nm],d[nm],daligned[nm],U(d)[kj/mol],V(d)[e/nm]
-0.1124684,-0.1124684,0.1093729,1758.7847295,0.6745251
-0.1074684,-0.1074684,0.1143729,1382.3143317,0.6526150
-0.1024684,-0.1024684,0.1193729,1090.8015226,0.6316728
-0.0974684,-0.0974684,0.1243729,863.9877082,0.6116397
-0.0924684,-0.0924684,0.1293729,686.7099446,0.5924601
-0.0874684,-0.0874684,0.1343729,547.5562982,0.5740812
-0.0824684,-0.0824684,0.1393729,437.8910419,0.5564535
-0.0774684,-0.0774684,0.1443729,351.1443517,0.5395303
-0.0724684,-0.0724684,0.1493729,282.2920440,0.5232679
-0.0674684,-0.0674684,0.1543729,227.4725097,0.5076253
-0.0624684,-0.0624684,0.1593729,183.7031812,0.4925645
-0.0574684,-0.0574684,0.1643729,148.6695710,0.4780497
-0.0524684,-0.0524684,0.1693729,120.5674877,0.4640478
-0.0474684,-0.0474684,0.1743729,97.9843967,0.4505228
-0.0424684,-0.0424684,0.1793729,79.8093246,0.4373155
-0.0374684,-0.0374684,0.1843729,65.1610800,0.4231661
-0.0324684,-0.0324684,0.1893729,53.3250479,0.4028865
-0.0274684,-0.0274684,0.1943729,43.7056569,0.3663861
-0.0224684,-0.0224684,0.1993729,35.8175176,0.3069173
-0.0174684,-0.0174684,0.2043729,29.2991330,0.2311488
-0.0124684,-0.0124684,0.2093729,23.8973424,0.1543398
-0.0074684,-0.0074684,0.2143729,19.4234914,0.0881324
-0.0024684,-0.0024684,0.2193729,15.7219210,0.0365684
0.0025316,0.0025316,0.2243729,12.6594817,-0.0013801
0.0075316,0.0075316,0.2293729,10.1223601,-0.0288613
0.0125316,0.0125316,0.2343729,8.0129897,-0.0493438
0.0175316,0.0175316,0.2393729,6.2474306,-0.0656412
0.0225316,0.0225316,0.2443729,4.7545757,-0.0795068
0.0275316,0.0275316,0.2493729,3.4770078,-0.0916998
0.0325316,0.0325316,0.2543729,2.3717975,-0.1023760
0.0375316,0.0375316,0.2593729,1.4090320,-0.1115643
0.0425316,0.0425316,0.2643729,0.5678024,-0.1194867
0.0475316,0.0475316,0.2693729,-0.1680571,-0.1266162
0.0525316,0.0525316,0.2743729,-0.8124394,-0.1335214
0.0575316,0.0575316,0.2793729,-1.3776773,-0.1406218
0.0625316,0.0625316,0.2843729,-1.8744539,-0.1480020
0.0675316,0.0675316,0.2893729,-2.3115115,-0.1553938
0.0725316,0.0725316,0.2943729,-2.6954839,-0.1623312
0.0775316,0.0775316,0.2993729,-3.0311166,-0.1683786
0.0825316,0.0825316,0.3043729,-3.3219084,-0.1733016
0.0875316,0.0875316,0.3093729,-3.5709418,-0.1771086
0.0925316,0.0925316,0.3143729,-3.7815865,-0.1799856
0.0975316,0.0975316,0.3193729,-3.9578023,-0.1821919
0.1025316,0.1025316,0.3243729,-4.1039275,-0.1839747
0.1075316,0.1075316,0.3293729,-4.2241039,-0.1855274
0.1125316,0.1125316,0.3343729,-4.3216820,-0.1869887
0.1175316,0.1175316,0.3393729,-4.3989260,-0.1884634
0.1225316,0.1225316,0.3443729,-4.4571278,-0.1900411
0.1275316,0.1275316,0.3493729,-4.4969989,-0.1917970
0.1325316,0.1325316,0.3543729,-4.5191077,-0.1937782
0.1375316,0.1375316,0.3593729,-4.5241955,-0.1959915
0.1425316,0.1425316,0.3643729,-4.5133226,-0.1984035
0.1475316,0.1475316,0.3693729,-4.4878720,-0.2009522
0.1525316,0.1525316,0.3743729,-4.4494631,-0.2035614
0.1575316,0.1575316,0.3793729,-4.3998421,-0.2061499
0.1625316,0.1625316,0.3843729,-4.3408011,-0.2086372
0.1675316,0.1675316,0.3893729,-4.2741325,-0.2109479
0.1725316,0.1725316,0.3943729,-4.2015737,-0.2130169
0.1775316,0.1775316,0.3993729,-4.1247097,-0.2147945
0.1825316,0.1825316,0.4043729,-4.0448676,-0.2162476
0.1875316,0.1875316,0.4093729,-3.9630731,-0.2173608
0.1925316,0.1925316,0.4143729,-3.8801036,-0.2181348
0.1975316,0.1975316,0.4193729,-3.7965983,-0.2185869
0.2025316,0.2025316,0.4243729,-3.7131480,-0.2187486
0.2075316,0.2075316,0.4293729,-3.6303257,-0.2186611
0.2125316,0.2125316,0.4343729,-3.5486752,-0.2183697
0.2175316,0.2175316,0.4393729,-3.4686791,-0.2179169
0.2225316,0.2225316,0.4443729,-3.3907024,-0.2173381
0.2275316,0.2275316,0.4493729,-3.3149152,-0.2166566
0.2325316,0.2325316,0.4543729,-3.2412338,-0.2158818
0.2375316,0.2375316,0.4593729,-3.1693361,-0.2150093
0.2425316,0.2425316,0.4643729,-3.0987722,-0.2140246
0.2475316,0.2475316,0.4693729,-3.0291128,-0.2129097
0.2525316,0.2525316,0.4743729,-2.9600259,-0.2116507
0.2575316,0.2575316,0.4793729,-2.8912442,-0.2102409
0.2625316,0.2625316,0.4843729,-2.8224860,-0.2086807
0.2675316,0.2675316,0.4893729,-2.7534169,-0.2069759
0.2725316,0.2725316,0.4943729,-2.6836867,-0.2051385
0.2775316,0.2775316,0.4993729,-2.6130116,-0.2031863
0.2825316,0.2825316,0.5043729,-2.5412508,-0.2011420
0.2875316,0.2875316,0.5093729,-2.4684428,-0.1990301
0.2925316,0.2925316,0.5143729,-2.3947947,-0.1968744
0.2975316,0.2975316,0.5193729,-2.3206393,-0.1946959
0.3025316,0.3025316,0.5243729,-2.2463809,-0.1925116
0.3075316,0.3075316,0.5293729,-2.1724444,-0.1903346
0.3125316,0.3125316,0.5343729,-2.0992372,-0.1881746
0.3175316,0.3175316,0.5393729,-2.0271240,-0.1860382
0.3225316,0.3225316,0.5443729,-1.9564138,-0.1839299
0.3275316,0.3275316,0.5493729,-1.8873566,-0.1818522
0.3325316,0.3325316,0.5543729,-1.8201445,-0.1798067
0.3375316,0.3375316,0.5593729,-1.7549174,-0.1777939
0.3425316,0.3425316,0.5643729,-1.6917698,-0.1758140
0.3475316,0.3475316,0.5693729,-1.6307579,-0.1738664
0.3525316,0.3525316,0.5743729,-1.5719064,-0.1719506
0.3575316,0.3575316,0.5793729,-1.5152147,-0.1700659
0.3625316,0.3625316,0.5843729,-1.4606625,-0.1682112
0.3675316,0.3675316,0.5893729,-1.4082143,-0.1663858
0.3725316,0.3725316,0.5943729,-1.3578229,-0.1645887
0.3775316,0.3775316,0.5993729,-1.3094330,-0.1628190
