# r[nm],d[nm],daligned[nm],Ucline(d)[kj/mol]
0.8339752,0.8339752,0.8227433,-3.8148646
0.8439752,0.8439752,0.8327433,-3.5217587
0.8539752,0.8539752,0.8427433,-3.2526780
0.8639752,0.8639752,0.8527433,-3.0054115
0.8739752,0.8739752,0.8627433,-2.7786515
0.8839752,0.8839752,0.8727433,-2.5923863
0.8939752,0.8939752,0.8827433,-2.6373665
0.9039752,0.9039752,0.8927433,-3.3599633
0.9139752,0.9139752,0.9027433,-4.6199611
0.9239752,0.9239752,0.9127433,-5.7625123
0.9339752,0.9339752,0.9227433,-6.5141515
0.9439752,0.9439752,0.9327433,-6.8818619
0.9539752,0.9539752,0.9427433,-6.9436075
0.9639752,0.9639752,0.9527433,-6.7854798
0.9739752,0.9739752,0.9627433,-6.4841035
0.9839752,0.9839752,0.9727433,-6.1003066
0.9939752,0.9939752,0.9827433,-5.6785004
1.0039752,1.0039752,0.9927433,-5.2489929
1.0139752,1.0139752,1.0027433,-4.8311678
1.0239752,1.0239752,1.0127433,-4.4364699
1.0339752,1.0339752,1.0227433,-4.0708346
1.0439752,1.0439752,1.0327433,-3.7365312
1.0539752,1.0539752,1.0427433,-3.4335020
1.0639752,1.0639752,1.0527433,-3.1603027
1.0739752,1.0739752,1.0627433,-2.9147430
1.0839752,1.0839752,1.0727433,-2.6943068
1.0939752,1.0939752,1.0827433,-2.4964166
1.1039752,1.1039752,1.0927433,-2.3185898
1.1139752,1.1139752,1.1027433,-2.1585236
1.1239752,1.1239752,1.1127433,-2.0141330
1.1339752,1.1339752,1.1227433,-1.8835602
1.1439752,1.1439752,1.1327433,-1.7651676
1.1539752,1.1539752,1.1427433,-1.6575218
1.1639752,1.1639752,1.1527433,-1.5593730
1.1739752,1.1739752,1.1627433,-1.4696348
1.1839752,1.1839752,1.1727433,-1.3873630
1.1939752,1.1939752,1.1827433,-1.3117372
1.2039752,1.2039752,1.1927433,-1.2420439
1.2139752,1.2139752,1.2027433,-1.1776614
1.2239752,1.2239752,1.2127433,-1.1180469
1.2339752,1.2339752,1.2227433,-1.0627256
1.2439752,1.2439752,1.2327433,-1.0112811
1.2539752,1.2539752,1.2427433,-0.9633468
1.2639752,1.2639752,1.2527433,-0.9185997
1.2739752,1.2739752,1.2627433,-0.8767539
1.2839752,1.2839752,1.2727433,-0.8375559
1.2939752,1.2939752,1.2827433,-0.8007802
1.3039752,1.3039752,1.2927433,-0.7662255
1.3139752,1.3139752,1.3027433,-0.7337118
1.3239752,1.3239752,1.3127433,-0.7030778
1.3339752,1.3339752,1.3227433,-0.6741784
1.3439752,1.3439752,1.3327433,-0.6468826
1.3539752,1.3539752,1.3427433,-0.6210722
1.3639752,1.3639752,1.3527433,-0.5966401
1.3739752,1.3739752,1.3627433,-0.5734890
1.3839752,1.3839752,1.3727433,-0.5515305
1.3939752,1.3939752,1.3827433,-0.5306837
1.4039752,1.4039752,1.3927433,-0.5108751
1.4139752,1.4139752,1.4027433,-0.4920370
1.4239752,1.4239752,1.4127433,-0.4741075
1.4339752,1.4339752,1.4227433,-0.4570297
1.4439752,1.4439752,1.4327433,-0.4407513
1.4539752,1.4539752,1.4427433,-0.4252239
1.4639752,1.4639752,1.4527433,-0.4104029
1.4739752,1.4739752,1.4627433,-0.3962471
1.4839752,1.4839752,1.4727433,-0.3827182
1.4939752,1.4939752,1.4827433,-0.3697808
1.5039752,1.5039752,1.4927433,-0.3574019
1.5139752,1.5139752,1.5027433,-0.3455509
1.5239752,1.5239752,1.5127433,-0.3341993
1.5339752,1.5339752,1.5227433,-0.3233204
1.5439752,1.5439752,1.5327433,-0.3128895
1.5539752,1.5539752,1.5427433,-0.3028833
1.5639752,1.5639752,1.5527433,-0.2932801
1.5739752,1.5739752,1.5627433,-0.2840596
1.5839752,1.5839752,1.5727433,-0.2752027
1.5939752,1.5939752,1.5827433,-0.2666915
