#Molecules in this file are mapped from their long names to UA-compatible three letter codes
ALASCA-AC,ALA
ARGSCA-AC,ARG
LYSSCA-AC,LYS
HIDSCA-AC,HID
HIESCA-AC,HIE
ASPSCA-AC,ASP
GLUSCA-AC,GLU
SERSCA-AC,SER
THRSCA-AC,THR
ASNSCA-AC,ASN
GLNSCA-AC,GLN
CYSSCA-AC,CYS
GLY-AC,GLY
PRO-AC,PRO
VALSCA-AC,VAL
ILESCA-AC,ILE
LEUSCA-AC,LEU
METSCA-AC,MET
PHESCA-AC,PHE
TYRSCA-AC,TYR
TRPSCA-AC,TRP
HIPSCA-AC,HIP
ETA-AC,ETA
PHO-AC,PHO
CHL-AC,CHL
DGL-AC,DGL
EST-AC,EST
CYMSCA-AC,CYM
GANSCA-AC,GAN
