Material,ZeroLevelOffset[nm],FEOffset[nm],AlanineOffset[nm]
CNT15,1.7842272727272728,-0.03744842574424809,-0.028063099435928135
CNT15-COOH-30,1.9016693326735459,-0.028266718330175133,-0.03233098076957408
CNT15-COOH-3,1.7823035439496244,-0.025340783430103153,-0.018092703190528803
CNT15-COO--10,1.7792192365772572,-0.013822551895093821,-0.01256072982969772
CNT15-COO--3,1.8021785449298877,-0.02196152479291888,-0.024197956995460373
CNT15-NH2-14,1.7953921192001328,-0.03131878670406579,-0.02994328152033396
CNT15-NH2-2,1.7729602289461872,-0.02577088513900344,-0.0228404304530955
CNT15-NH3+-4,1.7881817608625186,-0.02222441429241201,-0.025190798306642004
CNT15-NH3+-2,1.7844567183735367,-0.014652618009539708,-0.01642021743276767
CNT15-OH-14,1.7819671581528087,-0.03502713455574527,-0.026606395974617503
CNT15-OH-4,1.7745866041775222,-0.0298670685491646,-0.019745672572932915
graphene,0.0,-0.05355255835921141,-0.015000000000000013
bi-graphene,4.098764423076925,8.551804253950634e-05,-0.03299999999999992
tri-graphene,4.152489583333335,-0.004551688214253391,-0.04299999999999998
grapheneoxide,0.21912121272958057,0.17148024529644962,-0.059
redgrapheneoxide,0.21746836657231955,0.22184128051336752,-0.02300000000000002
C-amorph-2,0.5897124485596711,0.17302287265179553,0.18835699568727254
Fe2O3-001O,1.3834309206456843,-0.015389547423940858,-0.05700000000000002
CdSeWurtzite2-10,1.381801995976696,-0.04166551408196245,0.10097592907753232
SiO2-Quartz,1.0973056665507595,0.11012460869009903,0.194993235693444
SiO2-Amorphous,0.8890249794265056,0.20127983407295155,0.027608182529656744
TiO2-rut-110,1.2815162022137039,0.090078499787031,-0.1770000000000001
TiO2-rut-100,1.2641805505340271,0.08049130387402698,-0.17100000000000012
TiO2-ana-100,1.2537894436430241,0.018898351595233315,-0.17500000000000007
Ag111,0.5891666666666666,-0.018850778776642624,-0.026035018086303957
Ag110,0.7944166666666668,0.06388218476088003,0.04010193452791189
Ag100,0.5111666666666665,0.0077060953232287455,-0.029101044655330227
Al-fixed,1.5180625000000003,0.009088672062492476,-0.036947225179795595
TiO2-ana-101,1.3698462375396312,0.06537442377123498,-0.2604578877005352
AuFCC100,0.9175600000000002,0.006867200253591915,-0.04100955434434128
AuFCC100UCD,0.9175600000000002,0.006867200253591915,0.0006259661016945473
AuFCC100-Ablate0,0.9175600000000002,0.006867200253591915,0
AuFCC100-Ablate5,0.9218813186813188,0.1977031568904582,0
AuFCC100-Ablate25,0.9410871794871797,0.20131689710824605,0
AuFCC100-Ablate50,0.9658526315789475,0.20834824130027305,0
AuFCC100-Ablate75,0.9919567567567569,0.21006967761165737,0
AuFCC100-Ablate100,0.8156111111111112,0.006829780664451002,0
GoldBrush,2.2422004395088613,0.728237916849316,0
