Material,ZeroLevelOffset[nm],FEOffset[nm],SSDRefDist[nm],MethaneOffset[nm]
AuFCC100,0.9175600000000002,0.006914689953621128,0,0.013600010046378869
CdSeWurtzite2-10,1.381801995976696,-0.04016694102339052,0,0
CNT15,1.7842272727272728,-0.0374484257265181,0,0.0020000257265180843
CNT15-COOH-30,1.9016693326735459,-0.028266718309817196,0,-0.0019999816901828116
CNT15-COOH-3,1.7823035439496244,-0.025340783411546663,0,-0.010000016588453314
CNT15-COO--10,1.7792192365772572,-0.013822551891453483,0,-0.016000048108546522
CNT15-COO--3,1.8021785449298877,-0.02196152477455876,0,-0.003999975225441238
CNT15-NH2-14,1.7953921192001328,-0.031318786673958515,0,-1.332604149251182e-08
CNT15-NH2-2,1.7909602289461874,-0.025770885128143683,0,-0.004000014871856333
CNT15-NH3+-4,1.8171817608625185,-0.022224414297615763,0,-0.0039999857023842456
CNT15-NH3+-2,1.7844567183735367,-0.01465261799121298,0,-0.011999982008787019
CNT15-OH-14,1.7819671581528087,-0.035027134549231176,0,-0.0019999654507688314
CNT15-OH-4,1.7745866041775222,-0.029867068524971924,0,-0.008000031475028063
graphene,0.0,-0.05345016825828042,0.0,-0.015000031741719572
bi-graphene,0.20293149038461628,0.002022027674051574,0.031576923076924,0.0029999723259484523
tri-graphene,0.37602483974358986,-0.011231920555085373,0.03534374999999999,0.013000020555085368
grapheneoxide,0.21912121272958057,0.14609859505359718,0.24037914691943132,0.009000004946402823
redgrapheneoxide,0.23646836657231968,0.22106836321253032,0.18979032258064515,-0.01700006321253031
C-amorph-2,0.5897124485596711,0.17342193073257073,-0.021787551440329067,-0.20699993073257072
Fe2O3-001O,1.3834311326917008,-0.014799478058540871,0.18700000000000028,0.01700007805854087
SiO2-Quartz,1.0973056665507595,0.11129767715925326,0.06699999999999973,-0.21300007715925323
SiO2-Amorphous,0.8890249794265057,0.20620363627634536,0.20240000000000002,-0.051000036276345334
TiO2-ana-100,1.5013569127139479,0.2861862060119015,0.27,0.27099999398809854
TiO2-rut-110,1.3991708495131066,0.12591009704074757,0.262,0.13700000295925244
TiO2-rut-100,1.418451494849361,0.12821947973711886,0.27,0.13100002026288113
TiO2-ana-101,1.5433503737602545,0.19056047753339828,0.2669999999999999,0.21500002246660171
Ag111,0.5891666666666666,-0.018421392748990545,-0.0003333333333332966,0.015474992748990557
Ag110,0.7944166666666668,0.06488824410541483,-8.333333333321313e-05,-0.07228904410541481
Ag100,0.5111666666666665,0.00787802745832672,0.0001666666666666483,-0.003995027458326722
AlFCC100UCD,1.5180625000000003,0.009261979381327223,-0.0004374999999996465,-0.03789997938132722
AlFCC110UCD,1.5034999999999998,0.06556573975655702,0.0,0.002199960243442989
AlFCC111UCD,1.6371999999999998,-0.01697730325622962,0.00019999999999975593,-0.037229996743770394
AuFCC100UCD,0.9175600000000002,0.006914689953621128,-3.999999999981796e-05,-0.03198698995362112
AuFCC110UCD,1.5140909090909092,0.06396430990932298,9.09090909093635e-05,-0.07228900990932297
AuFCC111UCD,1.647933333333334,-0.019148822450488323,-6.666666666621524e-05,-0.005777977549511676
AuFCC100-Ablate0,0.9175600000000002,0.006914689953621128,0,0
AuFCC100-Ablate5,0.9218813186813188,0.007486629565325226,0,0
AuFCC100-Ablate25,0.9410871794871797,0.20187285852635423,0,0
AuFCC100-Ablate50,0.9658526315789475,0.20712281115985617,0,0
AuFCC100-Ablate75,0.9919567567567569,0.21049527000075532,0,0
AuFCC100-Ablate100,0.8156111111111112,0.006871366568286491,0,0
GoldBrush,2.2422004395088613,0.7298558255269112,0,0
CaO001,1.5652448534705123,-0.012395525353455783,0,0
Pt001,1.4715000000000003,0.0037516089630703353,0,0
TricalciumSilicate001,2.5201857364591196,0.18456111195099428,0,0
Au-001-PE,1.9352761316630485,0.1354784330300896,0,0
Au-001-PEG,2.2467354468919427,0.15272064434120275,0,0
Al2O3-001,1.9246666666666667,0.06503934571079037,0,0
Cr2O3-001,2.014593566778209,0.071203806379118,0,0
Ce-001,1.4198333333333335,0.015896900995595598,0,0
Hydroxyapatite-001,1.028834818682673,0.4062756982553094,0,0
Fe001,0.8027000000000001,0.005023808909157712,0,0
Fe110,0.6935833333333334,0.04899628505961093,0,0
Fe111,0.8234444444444446,-0.015041207898107006,0,0
Cu001,0.8134999999999997,0.0074042718594106716,0,0
Cu110,0.7030833333333334,0.052845740831468146,0,0
Cu111,0.8351111111111109,-0.013913012922063955,0,0
