"AtomID","AtomName","AtomType","x[nm]","y[nm]","z[nm]","charge[e]","mass[AMU]","sigma[nm]","epsilon[kJ/mol]"
"1","CC31621","CC3162",0.08310000000000001,0.1534,0.004900000000000001,0.34,12.011,0.356359487256,0.13389
"2","HCA12","HCA1",0.12350000000000001,0.23420000000000002,0.0703,0.09,1.008,0.238760856462,0.18828
"3","OC3113","OC311",0.0922,0.1975,-0.1278,-0.65,15.9994,0.314487247504,0.80375
"4","HCP14","HCP1",0.046000000000000006,0.28150000000000003,-0.1335,0.42,1.008,0.040001352445,0.19246
"5","CC31635","CC3163",-0.1135,0.020200000000000003,-0.0282,0.11,12.011,0.356359487256,0.13389
"6","HCA16","HCA1",-0.11830000000000002,0.0472,-0.13640000000000002,0.09,1.008,0.238760856462,0.18828
"7","OC3C617","OC3C61",-0.051500000000000004,0.12760000000000002,0.04580000000000001,-0.4,15.9994,0.293996576986,0.4184
"8","CC31618","CC3161",0.1698,0.0294,0.022500000000000003,0.14,12.011,0.356359487256,0.13389
"9","HCA19","HCA1",0.2706,0.0509,-0.0207,0.09,1.008,0.238760856462,0.18828
"10","OC31110","OC311",0.1892,-0.0043,0.1607,-0.65,15.9994,0.314487247504,0.80375
"11","HCP111","HCP1",0.27690000000000003,0.022400000000000003,0.19010000000000002,0.42,1.008,0.040001352445,0.19246
"12","CC316112","CC3161",0.11060000000000002,-0.0868,-0.054700000000000006,0.14,12.011,0.356359487256,0.13389
"13","HCA113","HCA1",0.11180000000000001,-0.0611,-0.1635,0.09,1.008,0.238760856462,0.18828
"14","OC31114","OC311",0.18810000000000002,-0.2057,-0.038900000000000004,-0.65,15.9994,0.314487247504,0.80375
"15","HCP115","HCP1",0.20590000000000003,-0.2156,0.05550000000000001,0.42,1.008,0.040001352445,0.19246
"16","CC316116","CC3161",-0.0335,-0.1087,-0.013500000000000002,0.14,12.011,0.356359487256,0.13389
"17","HCA117","HCA1",-0.0358,-0.13870000000000002,0.094,0.09,1.008,0.238760856462,0.18828
"18","OC31118","OC311",-0.09300000000000001,-0.21330000000000002,-0.08940000000000001,-0.65,15.9994,0.314487247504,0.80375
"19","HCP119","HCP1",-0.0242,-0.2791,-0.1059,0.42,1.008,0.040001352445,0.19246
"20","CC32120","CC321",-0.2556,0.006200000000000001,0.0227,0.05,12.011,0.358141284692,0.2343
"21","HCA221","HCA2",-0.2544,-0.0218,0.1305,0.09,1.008,0.238760856462,0.14644
"22","HCA222","HCA2",-0.30810000000000004,-0.0747,-0.032900000000000006,0.09,1.008,0.238760856462,0.14644
"23","OC31123","OC311",-0.3294,0.1274,0.006600000000000001,-0.65,15.9994,0.314487247504,0.80375
"24","HCP124","HCP1",-0.2842,0.19690000000000002,0.055700000000000006,0.42,1.008,0.040001352445,0.19246
