AtomID,AtomName,AtomType,x[nm],y[nm],z[nm],charge[e],mass[AMU],sigma[nm],epsilon[kjmol]
1,c31,c3,0.098,0.010,-0.003,0.185700,12.01000,3.39771e-01,4.51035e-01
2,os2,os,0.054,0.143,-0.017,-0.575700,16.00000,3.15610e-01,3.03758e-01
3,p53,p5,0.112,0.242,0.112,1.426802,30.97000,3.69402e-01,9.60228e-01
4,o4,o,0.159,0.347,0.011,-0.829500,16.00000,3.04812e-01,6.12119e-01
5,o5,o,-0.030,0.243,0.171,-0.829500,16.00000,3.04812e-01,6.12119e-01
6,os6,os,0.169,0.341,0.242,-0.575700,16.00000,3.15610e-01,3.03758e-01
7,c37,c3,0.149,0.284,0.370,0.185700,12.01000,3.39771e-01,4.51035e-01
8,h18,h1,0.060,-0.050,-0.086,0.002033,1.00800,2.42200e-01,8.70272e-02
9,h19,h1,0.061,-0.032,0.092,0.002033,1.00800,2.42200e-01,8.70272e-02
10,h110,h1,0.208,0.007,-0.004,0.002033,1.00800,2.42200e-01,8.70272e-02
11,h111,h1,0.043,0.276,0.393,0.002033,1.00800,2.42200e-01,8.70272e-02
12,h112,h1,0.195,0.185,0.374,0.002033,1.00800,2.42200e-01,8.70272e-02
13,h113,h1,0.195,0.349,0.445,0.002033,1.00800,2.42200e-01,8.70272e-02
