"AtomID","AtomName","AtomType","x[nm]","y[nm]","z[nm]","charge[e]","mass[AMU]","sigma[nm]","epsilon[kJ/mol]"
"1","CT21","CT2",0.20470000000000002,0.14550000000000002,0.0002,-0.18,12.011,0.358141284692,0.2343
"2","HA22","HA2",0.16390000000000002,0.1927,-0.0918,0.09,1.008,0.238760856462,0.14226
"3","HA23","HA2",0.1642,0.19890000000000002,0.0888,0.09,1.008,0.238760856462,0.14226
"4","CT24","CT2",0.35800000000000004,0.149,-0.0002,-0.18,12.011,0.358141284692,0.2343
"5","HA25","HA2",0.39460000000000006,0.0952,0.0903,0.09,1.008,0.238760856462,0.14226
"6","HA26","HA2",0.39440000000000003,0.09310000000000002,-0.08940000000000001,0.09,1.008,0.238760856462,0.14226
"7","CT27","CT2",0.41420000000000007,0.2923,-0.0017000000000000001,-0.18,12.011,0.358141284692,0.2343
"8","HA28","HA2",0.3749,0.34340000000000004,-0.09260000000000002,0.09,1.008,0.238760856462,0.14226
"9","HA29","HA2",0.3739,0.34540000000000004,0.08760000000000001,0.09,1.008,0.238760856462,0.14226
"10","CT210","CT2",0.5675,0.2957,-0.0009,0.21,12.011,0.358141284692,0.2343
"11","HA211","HA2",0.6067,0.24460000000000004,0.0898,0.05,1.008,0.238760856462,0.14226
"12","HA212","HA2",0.6077,0.24480000000000002,-0.0913,0.05,1.008,0.238760856462,0.14226
"13","NH313","NH3",0.6166,0.4354,-0.0004,-0.3,14.007,0.329632525712,0.8368
"14","HC14","HC",0.7207,0.43650000000000005,0.,0.33,1.008,0.040001352445,0.19246
"15","HC15","HC",0.5820000000000001,0.48490000000000005,-0.08510000000000001,0.33,1.008,0.040001352445,0.19246
"16","HC16","HC",0.5815,0.4843,0.0844,0.33,1.008,0.040001352445,0.19246
"17","HA317","HA3",0.16990000000000002,0.04000000000000001,0.0039000000000000003,0.,1.008,0.238760856462,0.10042
