"AtomID","AtomName","AtomType","x[nm]","y[nm]","z[nm]","charge[e]","mass[AMU]","sigma[nm]","epsilon[kJ/mol]"
"1","c31","c3",0.1,-0.002,0.0031000000000000003,-0.0984,12.01,0.34,0.458
"2","c32","c3",0.1,0.14870000000000003,-0.0128,-0.0824,12.01,0.34,0.458
"3","c33","c3",0.1,0.1908,0.10149999999999999,0.1255,12.01,0.34,0.458
"4","n34","n3",0.1,0.0824,0.2057,-0.797201,14.01,0.325,0.711
"5","c35","c3",0.1,-0.016700000000000003,0.15410000000000001,0.1478,12.01,0.34,0.458
"6","c6","c",0.1,0.339,0.1434,0.611101,12.01,0.34,0.36
"7","o7","o",0.1,0.41559999999999997,0.0944,-0.555001,16.,0.296,0.879
"8","oh8","oh",0.1,0.38570000000000004,0.24460000000000004,-0.602101,16.,0.307,0.88
"9","hc9","hc",0.1,-0.044800000000000006,-0.0499,0.0527,1.008,0.265,0.0657
"10","hc10","hc",0.1,-0.0517,-0.0358,0.0527,1.008,0.265,0.0657
"11","hc11","hc",0.1,0.18000000000000002,-0.11140000000000001,0.0612,1.008,0.265,0.0657
"12","hc12","hc",0.1,0.1952,-0.0007000000000000001,0.0612,1.008,0.265,0.0657
"13","h113","h1",0.1,0.18330000000000002,0.0661,0.0987,1.008,0.247,0.0657
"14","hn14","hn",0.1,0.10420000000000001,0.3053,0.3808,1.008,0.107,0.0657
"15","h115","h1",0.1,0.0052,0.1925,0.0487,1.008,0.247,0.0657
"16","h116","h1",0.1,-0.118,0.1879,0.0487,1.008,0.247,0.0657
"17","ho17","ho",0.1,0.476,0.26280000000000003,0.446,1.008,0.,0.
