"AtomID","AtomName","AtomType","x[nm]","y[nm]","z[nm]","charge[e]","mass[AMU]","sigma[nm]","epsilon[kJ/mol]"
"1","CT21","CT2",0.21080000000000002,0.14270000000000002,0.0058000000000000005,-0.18,12.011,0.358141284692,0.2343
"2","HA22","HA2",0.1648,0.18730000000000002,-0.085,0.09,1.008,0.238760856462,0.14226
"3","HA23","HA2",0.16990000000000002,0.19410000000000002,0.0952,0.09,1.008,0.238760856462,0.14226
"4","CT14","CT1",0.3637,0.15960000000000002,0.0009,-0.09,12.011,0.356359487256,0.13389
"5","HA15","HA1",0.40090000000000003,0.10940000000000001,-0.0917,0.09,1.008,0.238760856462,0.18828
"6","CT36","CT3",0.40220000000000006,0.30810000000000004,-0.0068000000000000005,-0.27,12.011,0.363486677001,0.32635
"7","HA37","HA3",0.5127,0.31920000000000004,-0.009800000000000001,0.09,1.008,0.238760856462,0.10042
"8","HA38","HA3",0.35950000000000004,0.3546,-0.0983,0.09,1.008,0.238760856462,0.10042
"9","HA39","HA3",0.36360000000000003,0.36240000000000006,0.0819,0.09,1.008,0.238760856462,0.10042
"10","CT310","CT3",0.43200000000000005,0.09260000000000002,0.12130000000000002,-0.27,12.011,0.363486677001,0.32635
"11","HA311","HA3",0.5412,0.1125,0.1194,0.09,1.008,0.238760856462,0.10042
"12","HA312","HA3",0.3905,0.1322,0.2162,0.09,1.008,0.238760856462,0.10042
"13","HA313","HA3",0.41609999999999997,-0.0173,0.11870000000000001,0.09,1.008,0.238760856462,0.10042
"14","HA314","HA3",0.18380000000000002,0.0352,0.0106,0.,1.008,0.238760856462,0.10042
