"AtomID","AtomName","AtomType","x[nm]","y[nm]","z[nm]","charge[e]","mass[AMU]","sigma[nm]","epsilon[kJ/mol]"
"1","CC31621","CC3162",-0.0082,0.15760000000000002,-0.0182,0.34,12.011,0.356359487256,0.13389
"2","HCA12","HCA1",-0.026000000000000002,0.189,-0.12370000000000002,0.09,1.008,0.238760856462,0.18828
"3","OC3113","OC311",0.05430000000000001,0.2637,0.0473,-0.65,15.9994,0.314487247504,0.80375
"4","HCP14","HCP1",0.06330000000000001,0.2396,0.13970000000000002,0.42,1.008,0.040001352445,0.19246
"5","CC31635","CC3163",-0.20600000000000002,0.0287,-0.028399999999999998,0.11,12.011,0.356359487256,0.13389
"6","HCA16","HCA1",-0.21989999999999998,0.0649,-0.1331,0.09,1.008,0.238760856462,0.18828
"7","OC3C617","OC3C61",-0.1318,0.1273,0.04530000000000001,-0.4,15.9994,0.293996576986,0.4184
"8","CC31618","CC3161",0.0818,0.0356,-0.0148,0.07,12.011,0.356359487256,0.13389
"9","HCA19","HCA1",0.0908,0.0055000000000000005,0.09260000000000002,0.09,1.008,0.238760856462,0.18828
"10","NC2D110","NC2D1",0.2141,0.06280000000000001,-0.0704,-0.47,14.007,0.33,0.837
"11","HCP111","HCP1",0.2189,0.12170000000000002,-0.1505,0.31,1.008,0.040001352445,0.19246
"12","CC2O112","CC2O1",0.3335,0.020200000000000003,-0.027100000000000003,0.51,12.011,0.356,0.46
"13","OC2D113","OC2D1",0.4338,0.0475,-0.09090000000000001,-0.51,15.9994,0.303,0.502
"14","CC33114","CC331",0.3428,-0.0604,0.10020000000000001,-0.27,12.011,0.363,0.326
"15","HCA315","HCA3",0.28490000000000004,-0.1545,0.09060000000000001,0.09,1.008,0.239,0.1
"16","HCA316","HCA3",0.30410000000000004,-0.0009,0.1854,0.09,1.008,0.239,0.1
"17","HCA317","HCA3",0.44930000000000003,-0.0852,0.1192,0.09,1.008,0.239,0.1
"18","CC316118","CC3161",0.0118,-0.07690000000000001,-0.08800000000000001,0.14,12.011,0.356359487256,0.13389
"19","HCA119","HCA1",0.0008,-0.0469,-0.1952,0.09,1.008,0.238760856462,0.18828
"20","OC31120","OC311",0.08990000000000001,-0.19610000000000002,-0.0845,-0.65,15.9994,0.314487247504,0.80375
"21","HCP121","HCP1",0.1663,-0.1865,-0.1424,0.42,1.008,0.040001352445,0.19246
"22","CC316122","CC3161",-0.1273,-0.10160000000000001,-0.032900000000000006,0.14,12.011,0.356359487256,0.13389
"23","HCA123","HCA1",-0.11850000000000001,-0.1411,0.0713,0.09,1.008,0.238760856462,0.18828
"24","OC31124","OC311",-0.196,-0.19740000000000002,-0.1121,-0.65,15.9994,0.314487247504,0.80375
"25","HCP125","HCP1",-0.14250000000000002,-0.2782,-0.11200000000000002,0.42,1.008,0.040001352445,0.19246
"26","CC32126","CC321",-0.34380000000000005,0.0166,0.0335,0.05,12.011,0.358141284692,0.2343
"27","HCA227","HCA2",-0.40490000000000004,-0.05580000000000001,-0.025300000000000003,0.09,1.008,0.238760856462,0.14644
"28","HCA228","HCA2",-0.3953,0.11530000000000001,0.0293,0.09,1.008,0.238760856462,0.14644
"29","OC31129","OC311",-0.3386,-0.027400000000000004,0.16920000000000002,-0.65,15.9994,0.314487247504,0.80375
"30","HCP130","HCP1",-0.2992,0.0419,0.22330000000000003,0.42,1.008,0.040001352445,0.19246
