"AtomID","AtomName","AtomType","x[nm]","y[nm]","z[nm]","charge[e]","mass[AMU]","sigma[nm]","epsilon[kJ/mol]"
"1","CT11","CT1",0.2046,0.14780000000000001,-0.003,-0.09,12.011,0.356359487256,0.13389
"2","HA12","HA1",0.17090000000000002,0.1885,-0.1008,0.09,1.008,0.238760856462,0.18828
"3","CT33","CT3",0.1423,0.23090000000000002,0.1105,-0.27,12.011,0.363486677001,0.32635
"4","HA34","HA3",0.1714,0.33780000000000004,0.10149999999999999,0.09,1.008,0.238760856462,0.10042
"5","HA35","HA3",0.0315,0.22480000000000003,0.10640000000000001,0.09,1.008,0.238760856462,0.10042
"6","HA36","HA3",0.1763,0.1932,0.2093,0.09,1.008,0.238760856462,0.10042
"7","CT27","CT2",0.359,0.144,-0.00030000000000000003,-0.18,12.011,0.358141284692,0.2343
"8","HA28","HA2",0.3919,0.09160000000000001,0.0922,0.09,1.008,0.238760856462,0.14226
"9","HA29","HA2",0.3935,0.0835,-0.0872,0.09,1.008,0.238760856462,0.14226
"10","CT310","CT3",0.4244,0.2827,-0.0064,-0.27,12.011,0.363486677001,0.32635
"11","HA311","HA3",0.5347000000000001,0.27320000000000005,-0.0146,0.09,1.008,0.238760856462,0.10042
"12","HA312","HA3",0.3871,0.3395,-0.0941,0.09,1.008,0.238760856462,0.10042
"13","HA313","HA3",0.4016,0.3407,0.08560000000000001,0.09,1.008,0.238760856462,0.10042
"14","HA314","HA3",0.16690000000000002,0.043500000000000004,0.0048000000000000004,0.,1.008,0.238760856462,0.10042
