AtomID,AtomName,AtomType,x[nm],y[nm],z[nm],charge[e],mass[AMU],sigma[nm],epsilon[kjmol]
1,c31,c3,0.098,-0.008,-0.004,-0.106100,12.01000,3.39771e-01,4.51035e-01
2,c32,c3,0.050,-0.015,0.139,-0.075500,12.01000,3.39771e-01,4.51035e-01
3,c3,c,0.102,0.107,0.221,0.937598,12.01000,3.31521e-01,4.13379e-01
4,o4,o,0.005,0.174,0.267,-0.755300,16.00000,3.04812e-01,6.12119e-01
5,o5,o,0.226,0.120,0.230,-0.755300,16.00000,3.04812e-01,6.12119e-01
6,nz6,nz,-0.101,-0.020,0.137,-0.839600,14.01000,2.76678e-01,4.79068e+00
7,hc7,hc,0.063,0.084,-0.053,0.059367,1.00800,2.60018e-01,8.70272e-02
8,hc8,hc,0.061,-0.093,-0.062,0.059367,1.00800,2.60018e-01,8.70272e-02
9,hc9,hc,0.207,-0.008,-0.009,0.059367,1.00800,2.60018e-01,8.70272e-02
10,hx10,hx,0.082,-0.108,0.188,0.088700,1.00800,1.88746e-01,8.70272e-02
11,hn11,hn,-0.142,-0.098,0.086,0.442467,1.00800,1.10650e-01,4.18400e-02
12,hn12,hn,-0.131,-0.016,0.236,0.442467,1.00800,1.10650e-01,4.18400e-02
13,hn13,hn,-0.133,0.072,0.102,0.442467,1.00800,1.10650e-01,4.18400e-02
