AtomID,AtomName,AtomType,x[nm],y[nm],z[nm],charge[e],mass[AMU],sigma[nm],epsilon[kjmol]
1,cl1,cl,0.198,0.007,-0.001,-0.115000,35.45000,3.46595e-01,1.10374e+00
2,ca2,ca,0.027,0.004,-0.002,0.802000,12.01000,3.31521e-01,4.13379e-01
3,nb3,nb,-0.027,-0.117,-0.002,-0.798000,14.01000,3.38417e-01,3.93714e-01
4,ca4,ca,-0.159,-0.116,-0.001,0.918900,12.01000,3.31521e-01,4.13379e-01
5,nb5,nb,-0.231,-0.004,0.001,-0.836000,14.01000,3.38417e-01,3.93714e-01
6,ca6,ca,-0.166,0.112,0.001,0.926900,12.01000,3.31521e-01,4.13379e-01
7,nb7,nb,-0.034,0.121,-0.001,-0.804000,14.01000,3.38417e-01,3.93714e-01
8,nu8,nu,-0.235,0.230,0.003,-0.826900,14.01000,3.27904e-01,6.46428e-01
9,c39,c3,-0.379,0.238,0.009,0.215500,12.01000,3.39771e-01,4.51035e-01
10,c310,c3,-0.422,0.312,0.135,-0.114600,12.01000,3.39771e-01,4.51035e-01
11,c311,c3,-0.432,0.310,-0.115,-0.114600,12.01000,3.39771e-01,4.51035e-01
12,nu12,nu,-0.228,-0.234,0.001,-0.820900,14.01000,3.27904e-01,6.46428e-01
13,c313,c3,-0.163,-0.362,-0.008,0.199800,12.01000,3.39771e-01,4.51035e-01
14,c314,c3,-0.200,-0.447,0.113,-0.129100,12.01000,3.39771e-01,4.51035e-01
15,hn15,hn,-0.178,0.314,0.002,0.437800,1.00800,1.10650e-01,4.18400e-02
16,h116,h1,-0.425,0.138,0.011,0.082700,1.00800,2.42200e-01,8.70272e-02
17,hc17,hc,-0.386,0.415,0.136,0.045700,1.00800,2.60018e-01,8.70272e-02
18,hc18,hc,-0.531,0.314,0.142,0.045700,1.00800,2.60018e-01,8.70272e-02
19,hc19,hc,-0.384,0.262,0.225,0.045700,1.00800,2.60018e-01,8.70272e-02
20,hc20,hc,-0.401,0.260,-0.207,0.045700,1.00800,2.60018e-01,8.70272e-02
21,hc21,hc,-0.542,0.312,-0.113,0.045700,1.00800,2.60018e-01,8.70272e-02
22,hc22,hc,-0.396,0.413,-0.119,0.045700,1.00800,2.60018e-01,8.70272e-02
23,hn23,hn,-0.328,-0.226,-0.002,0.430800,1.00800,1.10650e-01,4.18400e-02
24,h124,h1,-0.195,-0.413,-0.099,0.066700,1.00800,2.42200e-01,8.70272e-02
25,h125,h1,-0.054,-0.355,-0.013,0.066700,1.00800,2.42200e-01,8.70272e-02
26,hc26,hc,-0.307,-0.467,0.116,0.045700,1.00800,2.60018e-01,8.70272e-02
27,hc27,hc,-0.147,-0.543,0.109,0.045700,1.00800,2.60018e-01,8.70272e-02
28,hc28,hc,-0.172,-0.397,0.206,0.045700,1.00800,2.60018e-01,8.70272e-02
