"AtomID","AtomName","AtomType","x[nm]","y[nm]","z[nm]","charge[e]","mass[AMU]","sigma[nm]","epsilon[kJ/mol]"
"1","CT2A1","CT2A",0.20590000000000003,0.1484,-0.0006000000000000001,-0.18,12.011,0.358141284692,0.2343
"2","HA22","HA2",0.16770000000000002,0.1958,-0.09360000000000002,0.09,1.008,0.238760856462,0.14226
"3","HA23","HA2",0.1663,0.2048,0.08660000000000001,0.09,1.008,0.238760856462,0.14226
"4","CT24","CT2",0.36030000000000006,0.14970000000000003,0.0004,-0.28,12.011,0.358141284692,0.2343
"5","HA25","HA2",0.39840000000000003,0.1004,0.09210000000000002,0.09,1.008,0.238760856462,0.14226
"6","HA26","HA2",0.3995,0.0955,-0.08800000000000001,0.09,1.008,0.238760856462,0.14226
"7","CC7","CC",0.41910000000000003,0.2908,-0.0029000000000000002,0.62,12.011,0.356359487256,0.29288
"8","OC8","OC",0.5447000000000001,0.2998,-0.004900000000000001,-0.76,15.999,0.302905564168,0.50208
"9","OC9","OC",0.3411,0.3894,-0.0034000000000000002,-0.76,15.999,0.302905564168,0.50208
"10","HA310","HA3",0.1713,0.043000000000000003,0.0044,0.,1.008,0.238760856462,0.10042
