"AtomID","AtomName","AtomType","x[nm]","y[nm]","z[nm]","charge[e]","mass[AMU]","sigma[nm]","epsilon[kJ/mol]"
"1","CG3311","CG331",0.1,-0.08040000000000001,0.0656,-0.27,12.011,0.365268474438,0.32635
"2","HGA32","HGA3",0.1,-0.1799,0.0989,0.09,1.008,0.238760856462,0.10042
"3","HGA33","HGA3",0.1,-0.0918,-0.0354,0.09,1.008,0.238760856462,0.10042
"4","HGA34","HGA3",0.1,-0.04650000000000001,0.1358,0.09,1.008,0.238760856462,0.10042
"5","CG3215","CG321",0.1,0.021500000000000002,0.0618,-0.22,12.011,0.358141284692,0.2343
"6","HGA26","HGA2",0.1,-0.011300000000000001,-0.009800000000000001,0.09,1.008,0.238760856462,0.14644
"7","HGA27","HGA2",0.1,0.0302,0.1625,0.09,1.008,0.238760856462,0.14644
"8","CG2O28","CG2O2",0.1,0.16090000000000002,0.0213,0.79,12.011,0.302905564168,0.410032
"9","OG2D19","OG2D1",0.1,0.2619,0.08860000000000001,-0.55,15.9994,0.302905564168,0.50208
"10","OG31110","OG311",0.1,0.1653,-0.1047,-0.62,15.9994,0.314487247504,0.8037464
"11","HGP111","HGP1",0.1,0.25470000000000004,-0.1206,0.42,1.008,0.0400013524445,0.192464
