AtomID,AtomName,AtomType,x[nm],y[nm],z[nm],charge[e],mass[AMU],sigma[nm],epsilon[kjmol]
1,c31,c3,0.095,0.012,0.001,-0.106100,12.01000,3.39771e-01,4.51035e-01
2,c32,c3,0.044,-0.054,-0.126,-0.114400,12.01000,3.39771e-01,4.51035e-01
3,c33,c3,0.094,-0.197,-0.140,0.006300,12.01000,3.39771e-01,4.51035e-01
4,nu4,nu,0.040,-0.284,-0.034,-0.384100,14.01000,3.27904e-01,6.46428e-01
5,cz5,cz,-0.038,-0.392,-0.052,0.515299,12.01000,3.31521e-01,4.13379e-01
6,nv6,nv,-0.081,-0.461,0.054,-0.502200,14.01000,3.36813e-01,4.68608e-01
7,nv7,nv,-0.075,-0.434,-0.173,-0.502200,14.01000,3.36813e-01,4.68608e-01
8,hc8,hc,0.059,-0.041,0.090,0.051367,1.00800,2.60018e-01,8.70272e-02
9,hc9,hc,0.059,0.115,0.007,0.051367,1.00800,2.60018e-01,8.70272e-02
10,hc10,hc,0.204,0.013,0.004,0.051367,1.00800,2.60018e-01,8.70272e-02
11,hc11,hc,-0.065,-0.052,-0.128,0.066700,1.00800,2.60018e-01,8.70272e-02
12,hc12,hc,0.079,0.005,-0.213,0.066700,1.00800,2.60018e-01,8.70272e-02
13,h113,h1,0.067,-0.235,-0.239,0.087200,1.00800,2.42200e-01,8.70272e-02
14,h114,h1,0.204,-0.201,-0.133,0.087200,1.00800,2.42200e-01,8.70272e-02
15,hn15,hn,0.065,-0.261,0.061,0.317700,1.00800,1.10650e-01,4.18400e-02
16,hn16,hn,-0.139,-0.543,0.043,0.326950,1.00800,1.10650e-01,4.18400e-02
17,hn17,hn,-0.057,-0.436,0.149,0.326950,1.00800,1.10650e-01,4.18400e-02
18,hn18,hn,-0.047,-0.386,-0.257,0.326950,1.00800,1.10650e-01,4.18400e-02
19,hn19,hn,-0.134,-0.515,-0.186,0.326950,1.00800,1.10650e-01,4.18400e-02
