AtomID,AtomName,AtomType,x[nm],y[nm],z[nm],charge[e],mass[AMU],sigma[nm],epsilon[kjmol]
1,c31,c3,0.090,-0.004,0.000,-0.062900,12.01000,3.39771e-01,4.51035e-01
2,c22,c2,0.040,-0.141,-0.027,-0.175199,12.01000,3.31521e-01,4.13379e-01
3,c23,c2,-0.038,-0.210,0.059,-0.175199,12.01000,3.31521e-01,4.13379e-01
4,c34,c3,-0.089,-0.348,0.032,-0.062900,12.01000,3.39771e-01,4.51035e-01
5,hc5,hc,0.057,0.034,0.098,0.040033,1.00800,2.60018e-01,8.70272e-02
6,hc6,hc,0.055,0.065,-0.077,0.040033,1.00800,2.60018e-01,8.70272e-02
7,hc7,hc,0.200,-0.004,-0.001,0.040033,1.00800,2.60018e-01,8.70272e-02
8,ha8,ha,0.068,-0.186,-0.122,0.118000,1.00800,2.62548e-01,6.73624e-02
9,ha9,ha,-0.067,-0.166,0.153,0.118000,1.00800,2.62548e-01,6.73624e-02
10,hc10,hc,-0.053,-0.417,0.109,0.040033,1.00800,2.60018e-01,8.70272e-02
11,hc11,hc,-0.198,-0.348,0.033,0.040033,1.00800,2.60018e-01,8.70272e-02
12,hc12,hc,-0.056,-0.386,-0.066,0.040033,1.00800,2.60018e-01,8.70272e-02
