AtomID,AtomName,AtomType,x[nm],y[nm],z[nm],charge[e],mass[AMU],sigma[nm],epsilon[kjmol]
1,c21,c2,0.090,0.002,-0.001,-0.218000,12.01000,3.31521e-01,4.13379e-01
2,c22,c2,0.023,-0.049,0.102,-0.218000,12.01000,3.31521e-01,4.13379e-01
3,ha3,ha,0.038,0.044,-0.087,0.109000,1.00800,2.62548e-01,6.73624e-02
4,ha4,ha,0.199,0.003,-0.003,0.109000,1.00800,2.62548e-01,6.73624e-02
5,ha5,ha,-0.085,-0.050,0.104,0.109000,1.00800,2.62548e-01,6.73624e-02
6,ha6,ha,0.076,-0.091,0.188,0.109000,1.00800,2.62548e-01,6.73624e-02
