AtomID,AtomName,AtomType,x[nm],y[nm],z[nm],charge[e],mass[AMU],sigma[nm],epsilon[kJ/mol]
1,CC31621,CC3162,-0.0201,0.1499,-0.0016,0.34,12.011,0.356359487,0.13389
2,HCA12,HCA1,-0.0371,0.196,-0.1016,0.09,1.008,0.238760856,0.18828
3,OC3113,OC311,0.0345,0.2484,0.0807,-0.65,15.9994,0.314487248,0.80375
4,HCP14,HCP1,0.0405,0.2127,0.1695,0.42,1.008,0.040001352,0.19246
5,CC31635,CC3163,-0.2097,0.0123,-0.0358,0.11,12.011,0.356359487,0.13389
6,HCA16,HCA1,-0.2166,0.0591,-0.1369,0.09,1.008,0.238760856,0.18828
7,OC3C617,OC3C61,-0.1438,0.1047,0.0526,-0.4,15.9994,0.293996577,0.4184
8,CC31618,CC3161,0.0773,0.034,-0.0146,0.07,12.011,0.356359487,0.13389
9,HCA19,HCA1,0.09,-0.0083,0.0881,0.09,1.008,0.238760856,0.18828
10,NC2D110,NC2D1,0.2071,0.0772,-0.0659,-0.47,14.007,0.33,0.837
11,HCP111,HCP1,0.2074,0.1444,-0.1392,0.31,1.008,0.040001352,0.19246
12,CC2O112,CC2O1,0.3291,0.0374,-0.0285,0.51,12.011,0.356,0.46
13,OC2D113,OC2D1,0.4276,0.0813,-0.0862,-0.51,15.9994,0.303,0.502
14,CC33114,CC331,0.3446,-0.0595,0.0863,-0.27,12.011,0.363,0.326
15,HCA315,HCA3,0.2928,-0.1546,0.063,0.09,1.008,0.239,0.1
16,HCA316,HCA3,0.3027,-0.015,0.1789,0.09,1.008,0.239,0.1
17,HCA317,HCA3,0.4526,-0.0797,0.1018,0.09,1.008,0.239,0.1
18,CC316118,CC3161,0.013,-0.0734,-0.1011,0.14,12.011,0.356359487,0.13389
19,HCA119,HCA1,0,-0.0305,-0.2034,0.09,1.008,0.238760856,0.18828
20,OC31120,OC311,0.0964,-0.1874,-0.1153,-0.65,15.9994,0.314487248,0.80375
21,HCP121,HCP1,0.0777,-0.2476,-0.0421,0.42,1.008,0.040001352,0.19246
22,CC316122,CC3161,-0.1236,-0.1127,-0.0479,0.14,12.011,0.356359487,0.13389
23,HCA123,HCA1,-0.1713,-0.1824,-0.1211,0.09,1.008,0.238760856,0.18828
24,OC31124,OC311,-0.1136,-0.1813,0.0766,-0.65,15.9994,0.314487248,0.80375
25,HCP125,HCP1,-0.1099,-0.1148,0.147,0.42,1.008,0.040001352,0.19246
26,CC32126,CC321,-0.353,-0.0127,0.0091,0.05,12.011,0.358141285,0.2343
27,HCA227,HCA2,-0.4003,-0.0896,-0.0562,0.09,1.008,0.238760856,0.14644
28,HCA228,HCA2,-0.4111,0.0817,-0.003,0.09,1.008,0.238760856,0.14644
29,OC31129,OC311,-0.3641,-0.0539,0.1452,-0.65,15.9994,0.314487248,0.80375
30,HCP130,HCP1,-0.3284,-0.1431,0.1557,0.42,1.008,0.040001352,0.19246
