"AtomID","AtomName","AtomType","x[nm]","y[nm]","z[nm]","charge[e]","mass[AMU]","sigma[nm]","epsilon[kJ/mol]"
"1","CT21","CT2",0.20600000000000002,0.146,0.0035000000000000005,-0.18,12.011,0.358141284692,0.2343
"2","HA22","HA2",0.16390000000000002,0.19730000000000003,-0.08560000000000001,0.09,1.008,0.238760856462,0.14226
"3","HA23","HA2",0.17090000000000002,0.19820000000000002,0.095,0.09,1.008,0.238760856462,0.14226
"4","CY4","CY",0.3554,0.1474,-0.003,-0.03,12.011,0.35457768982,0.30543
"5","CA5","CA",0.4423,0.1392,0.1028,-0.15,12.011,0.355005321205,0.29288
"6","HP6","HP",0.41150000000000003,0.135,0.20650000000000002,0.22,1.008,0.242003727796,0.12552
"7","NY7","NY",0.5718,0.1351,0.05580000000000001,-0.51,14.007,0.329632525712,0.8368
"8","H8","H",0.6534,0.1228,0.10760000000000002,0.37,1.008,0.040001352445,0.19246
"9","CPT9","CPT",0.5707,0.14070000000000002,-0.08070000000000001,0.24,12.011,0.331414323148,0.41422
"10","CPT10","CPT",0.4359,0.14830000000000002,-0.1222,0.11,12.011,0.331414323148,0.41422
"11","CAI11","CAI",0.4061,0.15480000000000002,-0.2585,-0.25,12.011,0.35457768982,0.30543
"12","HP12","HP",0.30400000000000005,0.16090000000000002,-0.2929,0.17,1.008,0.242003727796,0.12552
"13","CA13","CA",0.5115999999999999,0.1533,-0.3502,-0.2,12.011,0.355005321205,0.29288
"14","HP14","HP",0.49000000000000005,0.1584,-0.45620000000000005,0.14,1.008,0.242003727796,0.12552
"15","CAI15","CAI",0.6754,0.1386,-0.1716,-0.27,12.011,0.35457768982,0.30543
"16","HP16","HP",0.7781,0.132,-0.1396,0.16,1.008,0.242003727796,0.12552
"17","CA17","CA",0.6438,0.1451,-0.30760000000000004,-0.14,12.011,0.355005321205,0.29288
"18","HP18","HP",0.7232000000000001,0.1436,-0.3812,0.14,1.008,0.242003727796,0.12552
"19","HA319","HA3",0.16990000000000002,0.0409,0.005000000000000001,0.,1.008,0.238760856462,0.10042
