AtomID,AtomName,AtomType,x[nm],y[nm],z[nm],charge[e],mass[AMU],sigma[nm],epsilon[kjmol]
1,o1,o,0.393,0.043,-0.223,-0.768300,16.00000,3.04812e-01,6.12119e-01
2,c2,c,0.390,-0.075,-0.182,0.936600,12.01000,3.31521e-01,4.13379e-01
3,c33,c3,0.303,-0.106,-0.057,-0.066500,12.01000,3.39771e-01,4.51035e-01
4,c34,c3,0.217,0.008,-0.006,-0.099700,12.01000,3.39771e-01,4.51035e-01
5,cc5,cc,0.288,0.116,0.068,0.270600,12.01000,3.31521e-01,4.13379e-01
6,cd6,cd,0.339,0.234,0.019,-0.199600,12.01000,3.31521e-01,4.13379e-01
7,na7,na,0.385,0.303,0.127,-0.312900,14.01000,3.20581e-01,8.54373e-01
8,cd8,cd,0.362,0.225,0.237,0.400400,12.01000,3.31521e-01,4.13379e-01
9,nc9,nc,0.307,0.110,0.204,-0.729000,14.01000,3.38417e-01,3.93714e-01
10,nz10,nz,0.385,-0.166,0.056,-0.815600,14.01000,2.76678e-01,4.79068e+00
11,o11,o,0.457,-0.177,-0.217,-0.768300,16.00000,3.04812e-01,6.12119e-01
12,hx12,hx,0.236,-0.187,-0.088,0.083700,1.00800,1.88746e-01,8.70272e-02
13,hc13,hc,0.162,0.053,-0.090,0.078200,1.00800,2.60018e-01,8.70272e-02
14,hc14,hc,0.140,-0.033,0.061,0.078200,1.00800,2.60018e-01,8.70272e-02
15,h415,h4,0.345,0.273,-0.082,0.197000,1.00800,2.53639e-01,6.73624e-02
16,hn16,hn,0.427,0.395,0.126,0.308700,1.00800,1.10650e-01,4.18400e-02
17,h517,h5,0.387,0.259,0.337,0.063100,1.00800,2.44730e-01,6.73624e-02
18,hn18,hn,0.328,-0.195,0.136,0.447800,1.00800,1.10650e-01,4.18400e-02
19,hn19,hn,0.438,-0.244,0.014,0.447800,1.00800,1.10650e-01,4.18400e-02
20,hn20,hn,0.453,-0.095,0.086,0.447800,1.00800,1.10650e-01,4.18400e-02
