"AtomID","AtomName","AtomType","x[nm]","y[nm]","z[nm]","charge[e]","mass[AMU]","sigma[nm]","epsilon[kJ/mol]"
"1","CT21","CT2",0.2048,0.1462,-0.0009,-0.18,12.011,0.358141284692,0.2343
"2","HA22","HA2",0.16210000000000002,0.191,-0.09310000000000002,0.09,1.008,0.238760856462,0.14226
"3","HA23","HA2",0.16210000000000002,0.19870000000000002,0.0873,0.09,1.008,0.238760856462,0.14226
"4","CT24","CT2",0.35800000000000004,0.1587,-0.0014000000000000002,-0.14,12.011,0.358141284692,0.2343
"5","HA25","HA2",0.3975,0.10800000000000001,0.08960000000000001,0.09,1.008,0.238760856462,0.14226
"6","HA26","HA2",0.3975,0.10320000000000001,-0.08950000000000001,0.09,1.008,0.238760856462,0.14226
"7","S7","S",0.4159,0.331,-0.0058000000000000005,-0.09,32.06,0.356359487256,1.8828
"8","CT38","CT3",0.593,0.2913,-0.0015,-0.22,12.011,0.363486677001,0.32635
"9","HA39","HA3",0.6541000000000001,0.38420000000000004,-0.0004,0.09,1.008,0.238760856462,0.10042
"10","HA310","HA3",0.6187,0.23270000000000002,0.08940000000000001,0.09,1.008,0.238760856462,0.10042
"11","HA311","HA3",0.6229,0.2319,-0.09050000000000001,0.09,1.008,0.238760856462,0.10042
"12","HA312","HA3",0.1754,0.039200000000000006,0.0037,0.,1.008,0.238760856462,0.10042
