AtomID,AtomName,AtomType,x[nm],y[nm],z[nm],charge[e],mass[AMU],sigma[nm],epsilon[kjmol]
1,n81,n8,0.101,-0.007,0.006,-0.894800,14.01000,3.65019e-01,1.35143e-01
2,c32,c3,0.053,-0.127,0.077,0.119800,12.01000,3.39771e-01,4.51035e-01
3,c3,c,0.101,-0.129,0.222,0.584100,12.01000,3.31521e-01,4.13379e-01
4,o4,o,0.030,-0.132,0.321,-0.547000,16.00000,3.04812e-01,6.12119e-01
5,oh5,oh,0.236,-0.126,0.233,-0.621100,16.00000,3.24287e-01,3.89112e-01
6,hn6,hn,0.069,0.076,0.056,0.363800,1.00800,1.10650e-01,4.18400e-02
7,hn7,hn,0.203,-0.006,0.012,0.363800,1.00800,1.10650e-01,4.18400e-02
8,h18,h1,-0.056,-0.129,0.077,0.091700,1.00800,2.42200e-01,8.70272e-02
9,h19,h1,0.088,-0.218,0.027,0.091700,1.00800,2.42200e-01,8.70272e-02
10,ho10,ho,0.253,-0.130,0.329,0.448000,1.00800,5.37925e-02,1.96648e-02
