AtomID,AtomName,AtomType,x[nm],y[nm],z[nm],charge[e],mass[AMU],sigma[nm],epsilon[kjmol]
1,c31,c3,0.258,-0.152,0.003,-0.022900,12.01000,3.39771e-01,4.51035e-01
2,cc2,cc,0.163,-0.038,0.000,-0.134400,12.01000,3.31521e-01,4.13379e-01
3,cd3,cd,0.197,0.097,-0.002,-0.109100,12.01000,3.31521e-01,4.13379e-01
4,na4,na,0.081,0.170,-0.001,-0.195400,14.01000,3.20581e-01,8.54373e-01
5,ca5,ca,-0.028,0.086,0.001,-0.044200,12.01000,3.31521e-01,4.13379e-01
6,ca6,ca,-0.165,0.116,0.003,-0.148000,12.01000,3.31521e-01,4.13379e-01
7,ca7,ca,-0.255,0.009,0.001,-0.113000,12.01000,3.31521e-01,4.13379e-01
8,ca8,ca,-0.209,-0.123,-0.002,-0.160000,12.01000,3.31521e-01,4.13379e-01
9,ca9,ca,-0.072,-0.151,-0.002,-0.081000,12.01000,3.31521e-01,4.13379e-01
10,ca10,ca,0.020,-0.045,-0.000,-0.091800,12.01000,3.31521e-01,4.13379e-01
11,hc11,hc,0.243,-0.211,0.094,0.039367,1.00800,2.60018e-01,8.70272e-02
12,hc12,hc,0.241,-0.217,-0.084,0.039367,1.00800,2.60018e-01,8.70272e-02
13,hc13,hc,0.362,-0.118,0.000,0.039367,1.00800,2.60018e-01,8.70272e-02
14,h414,h4,0.293,0.146,-0.004,0.164000,1.00800,2.53639e-01,6.73624e-02
15,hn15,hn,0.076,0.271,-0.002,0.298699,1.00800,1.10650e-01,4.18400e-02
16,ha16,ha,-0.201,0.218,0.005,0.130000,1.00800,2.62548e-01,6.73624e-02
17,ha17,ha,-0.362,0.028,0.001,0.128000,1.00800,2.62548e-01,6.73624e-02
18,ha18,ha,-0.281,-0.205,-0.004,0.128000,1.00800,2.62548e-01,6.73624e-02
19,ha19,ha,-0.038,-0.254,-0.003,0.133000,1.00800,2.62548e-01,6.73624e-02
