AtomID,AtomName,AtomType,x[nm],y[nm],z[nm],charge[e],mass[AMU],sigma[nm],epsilon[kjmol]
1,cc1,cc,-0.227,-0.008,0.000,0.441400,12.01000,3.31521e-01,4.13379e-01
2,nd2,nd,-0.150,-0.115,0.000,-0.645000,14.01000,3.38417e-01,3.93714e-01
3,cd3,cd,-0.023,-0.067,-0.000,0.588300,12.01000,3.31521e-01,4.13379e-01
4,cc4,cc,-0.022,0.069,-0.000,-0.351200,12.01000,3.31521e-01,4.13379e-01
5,na5,na,-0.153,0.107,-0.000,-0.279900,14.01000,3.20581e-01,8.54373e-01
6,c6,c,0.096,0.146,-0.000,0.747100,12.01000,3.31521e-01,4.13379e-01
7,o7,o,0.100,0.269,-0.000,-0.636500,16.00000,3.04812e-01,6.12119e-01
8,ns8,ns,0.209,0.068,0.000,-0.491400,14.01000,3.26995e-01,4.91202e-01
9,cc9,cc,0.205,-0.070,-0.000,0.645800,12.01000,3.31521e-01,4.13379e-01
10,nd10,nd,0.096,-0.142,-0.000,-0.692700,14.01000,3.38417e-01,3.93714e-01
11,nv11,nv,0.326,-0.131,-0.000,-0.880800,14.01000,3.36813e-01,4.68608e-01
12,h512,h5,-0.336,-0.007,0.000,0.068100,1.00800,2.44730e-01,6.73624e-02
13,hn13,hn,-0.188,0.202,-0.000,0.322700,1.00800,1.10650e-01,4.18400e-02
14,hn14,hn,0.296,0.116,0.000,0.338500,1.00800,1.10650e-01,4.18400e-02
15,hn15,hn,0.328,-0.233,-0.001,0.412800,1.00800,1.10650e-01,4.18400e-02
16,hn16,hn,0.415,-0.083,-0.001,0.412800,1.00800,1.10650e-01,4.18400e-02
