"AtomID","AtomName","AtomType","x[nm]","y[nm]","z[nm]","charge[e]","mass[AMU]","sigma[nm]","epsilon[kJ/mol]"
"1","CTL31","CTL3",0.,0.,0.,-0.31,12.011,0.363486677001,0.32635
"2","CL2","CL",0.1522,0.,0.,0.9,12.011,0.356359487256,0.29288
"3","OSL3","OSL",0.1956,0.1261,0.,-0.49,15.9994,0.293996576986,0.4184
"4","CTL34","CTL3",0.3386,0.14070000000000002,0.,-0.01,12.011,0.363486677001,0.32635
"5","OBL5","OBL",0.2222,-0.0999,0.,-0.63,15.9994,0.302905564168,0.50208
"6","HAL36","HAL3",-0.0371,-0.1047,0.,0.09,1.008,0.238760856462,0.10042
"7","HAL37","HAL3",-0.037200000000000004,0.051100000000000007,-0.09000000000000001,0.09,1.008,0.238760856462,0.10042
"8","HAL38","HAL3",-0.037200000000000004,0.051100000000000007,0.09000000000000001,0.09,1.008,0.238760856462,0.10042
"9","HAL39","HAL3",0.3649,0.24860000000000004,0.,0.09,1.008,0.238760856462,0.10042
"10","HAL310","HAL3",0.3808,0.09230000000000001,0.0907,0.09,1.008,0.238760856462,0.10042
"11","HAL311","HAL3",0.3808,0.09230000000000001,-0.0907,0.09,1.008,0.238760856462,0.10042
