"AtomID","AtomName","AtomType","x[nm]","y[nm]","z[nm]","charge[e]","mass[AMU]","sigma[nm]","epsilon[kJ/mol]"
"1","CT21","CT2",0.2062,0.1474,0.0002,-0.18,12.011,0.358141284692,0.2343
"2","HA22","HA2",0.1704,0.1967,-0.0927,0.09,1.008,0.238760856462,0.14226
"3","HA23","HA2",0.17200000000000001,0.2057,0.0884,0.09,1.008,0.238760856462,0.14226
"4","CA4","CA",0.3561,0.141,-0.0005,0.,12.011,0.355005321205,0.29288
"5","CA5","CA",0.427,0.1379,-0.1218,-0.115,12.011,0.355005321205,0.29288
"6","HP6","HP",0.37320000000000003,0.1418,-0.21530000000000002,0.115,1.008,0.242003727796,0.12552
"7","CA7","CA",0.5669,0.1287,-0.1222,-0.115,12.011,0.355005321205,0.29288
"8","HP8","HP",0.6211000000000001,0.1258,-0.2156,0.115,1.008,0.242003727796,0.12552
"9","CA9","CA",0.6369,0.12210000000000001,-0.0014000000000000002,0.11,12.011,0.355005321205,0.29288
"10","OH110","OH1",0.7773,0.1109,-0.0029000000000000002,-0.54,15.999,0.315378146222,0.63639
"11","H11","H",0.8069000000000002,0.10389999999999999,0.08800000000000001,0.43,1.008,0.040001352445,0.19246
"12","CA12","CA",0.4276,0.1351,0.12030000000000002,-0.115,12.011,0.355005321205,0.29288
"13","HP13","HP",0.3739,0.1369,0.21400000000000002,0.115,1.008,0.242003727796,0.12552
"14","CA14","CA",0.5675,0.12560000000000002,0.12010000000000001,-0.115,12.011,0.355005321205,0.29288
"15","HP15","HP",0.6209,0.1206,0.2138,0.115,1.008,0.242003727796,0.12552
"16","HA316","HA3",0.1668,0.0436,0.005600000000000001,0.,1.008,0.238760856462,0.10042
