"AtomID","AtomName","AtomType","x[nm]","y[nm]","z[nm]","charge[e]","mass[AMU]","sigma[nm]","epsilon[kJ/mol]"
"1","CC31621","CC3162",0.0893,-0.13970000000000002,0.04630000000000001,0.34,12.011,0.356359487256,0.13389
"2","HCA12","HCA1",0.1315,-0.20390000000000003,0.1272,0.09,1.008,0.238760856462,0.18828
"3","OC3113","OC311",0.1319,-0.19230000000000003,-0.07700000000000001,-0.65,15.9994,0.314487247504,0.80375
"4","HCP14","HCP1",0.10940000000000001,-0.2857,-0.07640000000000001,0.42,1.008,0.040001352445,0.19246
"5","CC31635","CC3163",-0.11870000000000001,-0.050300000000000004,-0.0296,0.11,12.011,0.356359487256,0.13389
"6","HCA16","HCA1",-0.0944,-0.0796,-0.13440000000000002,0.09,1.008,0.238760856462,0.18828
"7","OC3C617","OC3C61",-0.0529,-0.1414,0.0597,-0.4,15.9994,0.293996576986,0.4184
"8","CC31618","CC3161",0.14470000000000002,0.0014000000000000002,0.0654,0.14,12.011,0.356359487256,0.13389
"9","HCA19","HCA1",0.12050000000000001,0.0315,0.17020000000000002,0.09,1.008,0.238760856462,0.18828
"10","OC31110","OC311",0.28740000000000004,0.006700000000000001,0.05260000000000001,-0.65,15.9994,0.314487247504,0.80375
"11","HCP111","HCP1",0.31190000000000007,-0.0489,-0.022600000000000002,0.42,1.008,0.040001352445,0.19246
"12","CC316112","CC3161",0.0771,0.1004,-0.027800000000000005,0.14,12.011,0.356359487256,0.13389
"13","HCA113","HCA1",0.1003,0.0713,-0.1331,0.09,1.008,0.238760856462,0.18828
"14","OC31114","OC311",0.1271,0.23270000000000002,-0.0079,-0.65,15.9994,0.314487247504,0.80375
"15","HCP115","HCP1",0.2203,0.22360000000000002,0.016200000000000003,0.42,1.008,0.040001352445,0.19246
"16","CC316116","CC3161",-0.0727,0.0939,-0.0088,0.14,12.011,0.356359487256,0.13389
"17","HCA117","HCA1",-0.12170000000000002,0.15780000000000002,-0.0859,0.09,1.008,0.238760856462,0.18828
"18","OC31118","OC311",-0.11100000000000002,0.1442,0.119,-0.65,15.9994,0.314487247504,0.80375
"19","HCP119","HCP1",-0.0666,0.2291,0.1301,0.42,1.008,0.040001352445,0.19246
"20","CC33120","CC331",-0.2707,-0.0685,-0.012,-0.27,12.011,0.363,0.326
"21","HCA321","HCA3",-0.2989,-0.17470000000000002,-0.027600000000000003,0.09,1.008,0.239,0.1
"22","HCA322","HCA3",-0.326,-0.0053,-0.0844,0.09,1.008,0.239,0.1
"23","HCA323","HCA3",-0.3007,-0.038900000000000004,0.0908,0.09,1.008,0.239,0.1
