AtomID,AtomName,AtomType,x[nm],y[nm],z[nm],charge[e],mass[AMU],sigma[nm],epsilon[kjmol]
1,o1,o,0.232,0.086,-0.000,-0.605500,16.00000,3.04812e-01,6.12119e-01
2,c2,c,0.124,0.028,-0.000,0.714700,12.01000,3.31521e-01,4.13379e-01
3,cc3,cc,0.117,-0.120,-0.002,-0.319200,12.01000,3.31521e-01,4.13379e-01
4,cd4,cd,-0.003,-0.179,0.000,0.050600,12.01000,3.31521e-01,4.13379e-01
5,ns5,ns,-0.117,-0.104,0.002,-0.475100,14.01000,3.26995e-01,4.91202e-01
6,c6,c,-0.119,0.033,0.001,0.805500,12.01000,3.31521e-01,4.13379e-01
7,o7,o,-0.223,0.097,0.001,-0.636500,16.00000,3.04812e-01,6.12119e-01
8,ns8,ns,0.004,0.093,0.000,-0.585500,14.01000,3.26995e-01,4.91202e-01
9,ha9,ha,0.210,-0.175,-0.004,0.180000,1.00800,2.62548e-01,6.73624e-02
10,h410,h4,-0.014,-0.287,-0.000,0.163000,1.00800,2.53639e-01,6.73624e-02
11,hn11,hn,-0.208,-0.149,0.003,0.354500,1.00800,1.10650e-01,4.18400e-02
12,hn12,hn,0.006,0.194,0.001,0.353500,1.00800,1.10650e-01,4.18400e-02
