AtomID,AtomName,AtomType,x[nm],y[nm],z[nm],charge[e],mass[AMU],sigma[nm],epsilon[kjmol]
1,c31,c3,0.101,0.008,0.008,-0.066100,12.01000,3.39771e-01,4.51035e-01
2,c32,c3,0.052,-0.050,0.139,-0.197400,12.01000,3.39771e-01,4.51035e-01
3,c3,c,0.104,0.032,0.257,0.906599,12.01000,3.31521e-01,4.13379e-01
4,o4,o,0.015,0.083,0.331,-0.855300,16.00000,3.04812e-01,6.12119e-01
5,o5,o,0.230,0.039,0.267,-0.855300,16.00000,3.04812e-01,6.12119e-01
6,hc6,hc,0.066,0.111,-0.004,0.011367,1.00800,2.60018e-01,8.70272e-02
7,hc7,hc,0.064,-0.051,-0.076,0.011367,1.00800,2.60018e-01,8.70272e-02
8,hc8,hc,0.210,0.009,0.003,0.011367,1.00800,2.60018e-01,8.70272e-02
9,hc9,hc,-0.057,-0.052,0.140,0.016700,1.00800,2.60018e-01,8.70272e-02
10,hc10,hc,0.087,-0.153,0.150,0.016700,1.00800,2.60018e-01,8.70272e-02
