"AtomID","AtomName","AtomType","x[nm]","y[nm]","z[nm]","charge[e]","mass[AMU]","sigma[nm]","epsilon[kJ/mol]"
"1","CT21","CT2",0.20450000000000002,0.1458,-0.0002,-0.08,12.011,0.358141284692,0.2343
"2","HA22","HA2",0.1656,0.1962,-0.0912,0.09,1.008,0.238760856462,0.14226
"3","HA23","HA2",0.1658,0.19830000000000003,0.08950000000000001,0.09,1.008,0.238760856462,0.14226
"4","NR24","NR2",0.4227000000000001,0.1532,-0.11950000000000001,-0.7,14.007,0.329632525712,0.8368
"5","CPH15","CPH1",0.35430000000000006,0.1513,0.00030000000000000003,0.22,12.011,0.320723538531,0.2092
"6","CPH26","CPH2",0.5501,0.1583,-0.08660000000000001,0.25,12.011,0.320723538531,0.2092
"7","HR17","HR1",0.6324000000000001,0.1623,-0.15800000000000003,0.13,1.008,0.160361769265,0.19246
"8","NR18","NR1",0.5673,0.1593,0.0479,-0.36,14.007,0.329632525712,0.8368
"9","H9","H",0.6544,0.16290000000000002,0.0968,0.32,1.008,0.040001352445,0.19246
"10","CPH110","CPH1",0.44160000000000005,0.15460000000000002,0.1044,-0.05,12.011,0.320723538531,0.2092
"11","HR311","HR3",0.4222000000000001,0.1535,0.21070000000000003,0.09,1.008,0.261567863646,0.03264
"12","HA312","HA3",0.16990000000000002,0.0403,0.001,0.,1.008,0.238760856462,0.10042
