"AtomID","AtomName","AtomType","x[nm]","y[nm]","z[nm]","charge[e]","mass[AMU]","sigma[nm]","epsilon[kJ/mol]"
"1","CT2A1","CT2A",0.2062,0.1434,0.0014000000000000002,-0.05,12.011,0.358141284692,0.2343
"2","HA22","HA2",0.1675,0.19920000000000002,-0.08650000000000001,0.09,1.008,0.238760856462,0.14226
"3","HA23","HA2",0.1713,0.1942,0.0939,0.09,1.008,0.238760856462,0.14226
"4","CPH14","CPH1",0.44370000000000004,0.11670000000000001,0.10189999999999999,0.19,12.011,0.320723538531,0.2092
"5","HR15","HR1",0.42350000000000004,0.10820000000000002,0.20830000000000004,0.13,1.008,0.160361769265,0.19246
"6","CPH16","CPH1",0.35650000000000004,0.1359,0.,0.19,12.011,0.320723538531,0.2092
"7","NR37","NR3",0.5686,0.1058,0.045700000000000005,-0.51,14.007,0.329632525712,0.8368
"8","H8","H",0.6539,0.08810000000000001,0.0958,0.44,1.008,0.040001352445,0.19246
"9","NR39","NR3",0.4298,0.13620000000000002,-0.1158,-0.51,14.007,0.329632525712,0.8368
"10","H10","H",0.39230000000000004,0.1453,-0.20830000000000004,0.44,1.008,0.040001352445,0.19246
"11","CPH211","CPH2",0.5578000000000001,0.1182,-0.0857,0.32,12.011,0.320723538531,0.2092
"12","HR212","HR2",0.6392000000000001,0.11399999999999999,-0.15660000000000002,0.18,1.008,0.12472582054,0.19246
"13","HA313","HA3",0.16490000000000002,0.04020000000000001,-0.00030000000000000003,0.,1.008,0.238760856462,0.10042
