AtomID,AtomName,AtomType,x[nm],y[nm],z[nm],charge[e],mass[AMU],sigma[nm],epsilon[kJ/mol]
1,CG3311,CG331,-0.0804,0.0656,-0.0544,-0.27,12.011,0.365268474,0.32635
2,HGA32,HGA3,-0.1799,0.0989,-0.018,0.09,1.008,0.238760856,0.10042
3,HGA33,HGA3,-0.0918,-0.0354,-0.0995,0.09,1.008,0.238760856,0.10042
4,HGA34,HGA3,-0.0465,0.1358,-0.1336,0.09,1.008,0.238760856,0.10042
5,CG3215,CG321,0.0215,0.0618,0.0615,-0.22,12.011,0.358141285,0.2343
6,HGA26,HGA2,-0.0113,-0.0098,0.1397,0.09,1.008,0.238760856,0.14644
7,HGA27,HGA2,0.0302,0.1625,0.1075,0.09,1.008,0.238760856,0.14644
8,CG2O28,CG2O2,0.1609,0.0213,0.0138,0.79,12.011,0.302905564,0.410032
9,OG2D19,OG2D1,0.2619,0.0886,0.0209,-0.55,15.9994,0.302905564,0.50208
10,OG31110,OG311,0.1653,-0.1047,-0.0415,-0.62,15.9994,0.314487248,0.8037464
11,HGP111,HGP1,0.2547,-0.1206,-0.071,0.42,1.008,0.040001352,0.192464
