AtomID,AtomName,AtomType,x[nm],y[nm],z[nm],charge[e],mass[AMU],sigma[nm],epsilon[kjmol]
1,c31,c3,0.222,-0.004,0.001,-0.113400,12.01000,3.39771e-01,4.51035e-01
2,cc2,cc,0.074,-0.007,-0.000,0.304600,12.01000,3.31521e-01,4.13379e-01
3,cd3,cd,-0.010,-0.116,-0.001,-0.261600,12.01000,3.31521e-01,4.13379e-01
4,na4,na,-0.136,-0.064,0.000,-0.322900,14.01000,3.20581e-01,8.54373e-01
5,cd5,cd,-0.125,0.072,0.000,0.386400,12.01000,3.31521e-01,4.13379e-01
6,nc6,nc,0.002,0.110,0.000,-0.664999,14.01000,3.38417e-01,3.93714e-01
7,hc7,hc,0.260,0.048,-0.088,0.046033,1.00800,2.60018e-01,8.70272e-02
8,hc8,hc,0.259,0.047,0.090,0.046033,1.00800,2.60018e-01,8.70272e-02
9,hc9,hc,0.263,-0.105,0.000,0.046033,1.00800,2.60018e-01,8.70272e-02
10,h410,h4,0.009,-0.222,-0.001,0.176000,1.00800,2.53639e-01,6.73624e-02
11,hn11,hn,-0.223,-0.116,0.001,0.298700,1.00800,1.10650e-01,4.18400e-02
12,h512,h5,-0.210,0.138,0.000,0.059100,1.00800,2.44730e-01,6.73624e-02
