AtomID,AtomName,AtomType,x[nm],y[nm],z[nm],charge[e],mass[AMU],sigma[nm],epsilon[kjmol]
1,c31,c3,0.106,0.007,-0.002,-0.095100,12.01000,3.39771e-01,4.51035e-01
2,c32,c3,0.058,-0.130,-0.044,-0.126400,12.01000,3.39771e-01,4.51035e-01
3,c3,c,0.105,-0.237,0.051,0.635099,12.01000,3.31521e-01,4.13379e-01
4,o4,o,0.033,-0.311,0.115,-0.550000,16.00000,3.04812e-01,6.12119e-01
5,oh5,oh,0.239,-0.246,0.058,-0.612100,16.00000,3.24287e-01,3.89112e-01
6,hc6,hc,0.071,0.031,0.099,0.049367,1.00800,2.60018e-01,8.70272e-02
7,hc7,hc,0.069,0.084,-0.071,0.049367,1.00800,2.60018e-01,8.70272e-02
8,hc8,hc,0.215,0.013,-0.001,0.049367,1.00800,2.60018e-01,8.70272e-02
9,hc9,hc,-0.051,-0.132,-0.047,0.078700,1.00800,2.60018e-01,8.70272e-02
10,hc10,hc,0.093,-0.155,-0.145,0.078700,1.00800,2.60018e-01,8.70272e-02
11,ho11,ho,0.256,-0.318,0.122,0.443000,1.00800,5.37925e-02,1.96648e-02
