AtomID,AtomName,AtomType,x[nm],y[nm],z[nm],charge[e],mass[AMU],sigma[nm],epsilon[kjmol]
1,c31,c3,0.105,-0.004,0.006,0.116700,12.01000,3.39771e-01,4.51035e-01
2,os2,os,0.059,0.054,-0.116,-0.416900,16.00000,3.15610e-01,3.03758e-01
3,c3,c,0.090,0.181,-0.152,0.622098,12.01000,3.31521e-01,4.13379e-01
4,c34,c3,0.177,0.263,-0.060,-0.190100,12.01000,3.39771e-01,4.51035e-01
5,o5,o,0.049,0.228,-0.258,-0.488000,16.00000,3.04812e-01,6.12119e-01
6,h16,h1,0.066,-0.106,0.012,0.044367,1.00800,2.42200e-01,8.70272e-02
7,h17,h1,0.066,0.052,0.092,0.044367,1.00800,2.42200e-01,8.70272e-02
8,h18,h1,0.214,-0.010,0.007,0.044367,1.00800,2.42200e-01,8.70272e-02
9,hc9,hc,0.268,0.292,-0.114,0.074367,1.00800,2.60018e-01,8.70272e-02
10,hc10,hc,0.121,0.352,-0.030,0.074367,1.00800,2.60018e-01,8.70272e-02
11,hc11,hc,0.208,0.212,0.031,0.074367,1.00800,2.60018e-01,8.70272e-02
