"AtomID","AtomName","AtomType","x[nm]","y[nm]","z[nm]","charge[e]","mass[AMU]","sigma[nm]","epsilon[kJ/mol]"
"1","n31","n3",0.2049,0.0007000000000000001,-0.0031000000000000003,-0.894801,14.01,0.325,0.711
"2","hn2","hn",0.2943,-0.0442,-0.004,0.3648,1.008,0.107,0.0657
"3","hn3","hn",0.2021,0.1013,-0.005000000000000001,0.3648,1.008,0.107,0.0657
"4","c34","c3",0.0761,-0.07780000000000001,-0.0008,0.1188,12.01,0.34,0.458
"5","h15","h1",0.0743,-0.1375,0.08960000000000001,0.0907,1.008,0.247,0.0657
"6","h16","h1",0.0724,-0.1399,-0.08960000000000001,0.0907,1.008,0.247,0.0657
"7","c7","c",-0.054900000000000004,0.0089,-0.0005,0.583101,12.01,0.34,0.36
"8","o8","o",-0.0625,0.131,-0.0022,-0.559001,16.,0.296,0.879
"9","oh9","oh",-0.17300000000000001,-0.06420000000000001,0.0019,-0.604101,16.,0.307,0.88
"10","ho10","ho",-0.24500000000000002,-0.0011,0.0019,0.445,1.008,0.,0.
