"AtomID","AtomName","AtomType","x[nm]","y[nm]","z[nm]","charge[e]","mass[AMU]","sigma","epsilon"
1,"C1","CC",-0.1176590909090911,0.7740702479338837,-1.4100092975206606,0.,12.011,0.339967,0.45773
2,"C2","CC",0.09934090909090898,0.7760702479338835,-1.7810092975206608,0.,12.011,0.339967,0.45773
3,"C3","CC",-0.32065909090909117,-0.6949297520661164,-0.05900929752066064,0.,12.011,0.339967,0.45773
4,"C4","CC",-0.32165909090909106,0.6970702479338837,-1.7790092975206608,0.,12.011,0.339967,0.45773
5,"C5","CC",0.10334090909090898,-0.7599297520661163,-0.05900929752066064,0.,12.011,0.339967,0.45773
6,"C6","CC",0.3073409090909087,0.7080702479338834,1.5399907024793391,0.,12.011,0.339967,0.45773
7,"C7","CC",-0.1176590909090911,0.7640702479338835,1.5399907024793391,0.,12.011,0.339967,0.45773
8,"C8","CC",-0.11465909090909099,-0.7579297520661163,-0.42800929752066064,0.,12.011,0.339967,0.45773
9,"C9","CC",-0.31765909090909106,0.6920702479338834,-1.0410092975206608,0.,12.011,0.339967,0.45773
10,"C10","CC",0.30834090909090905,-0.6939297520661165,-1.1640092975206606,0.,12.011,0.339967,0.45773
11,"C11","CC",-0.4946590909090911,0.5710702479338834,-1.4090092975206607,0.,12.011,0.339967,0.45773
12,"C12","CC",-0.509659090909091,-0.5849297520661165,-0.42600929752066063,0.,12.011,0.339967,0.45773
13,"C13","CC",0.490340909090909,-0.5779297520661164,-1.5330092975206608,0.,12.011,0.339967,0.45773
14,"C14","CC",0.10334090909090898,0.7800702479338835,-1.0430092975206606,0.,12.011,0.339967,0.45773
15,"C15","CC",0.09934090909090898,0.7690702479338833,1.1709907024793393,0.,12.011,0.339967,0.45773
16,"C16","CC",0.30934090909090894,-0.6949297520661164,-0.42700929752066075,0.,12.011,0.339967,0.45773
17,"C17","CC",0.48834090909090877,-0.5719297520661164,-0.05900929752066064,0.,12.011,0.339967,0.45773
18,"C18","CC",-0.32565909090909106,-0.7029297520661164,-1.2890092975206606,0.,12.011,0.339967,0.45773
19,"C19","CC",0.6303409090909087,-0.4119297520661165,-1.1650092975206607,0.,12.011,0.339967,0.45773
20,"C20","CC",0.10034090909090887,-0.7569297520661165,-1.5340092975206607,0.,12.011,0.339967,0.45773
21,"C21","CC",0.3073409090909087,0.7120702479338834,-1.4120092975206608,0.,12.011,0.339967,0.45773
22,"C22","CC",0.7133409090909089,-0.20692975206611663,-0.05900929752066064,0.,12.011,0.339967,0.45773
23,"C23","CC",0.6283409090909089,-0.40692975206611637,0.31099070247933946,0.,12.011,0.339967,0.45773
24,"C24","CC",-0.5126590909090911,-0.5889297520661165,-0.9190092975206607,0.,12.011,0.339967,0.45773
25,"C25","CC",-0.1136590909090911,-0.7589297520661165,0.30999070247933913,0.,12.011,0.339967,0.45773
26,"C26","CC",0.5003409090909088,-0.5839297520661164,-0.7970092975206607,0.,12.011,0.339967,0.45773
27,"C27","CC",-0.6496590909090911,-0.4179297520661165,-0.05700929752066064,0.,12.011,0.339967,0.45773
28,"C28","CC",0.4953409090909089,-0.5809297520661165,1.6629907024793393,0.,12.011,0.339967,0.45773
29,"C29","CC",-0.11665909090909121,-0.7569297520661165,-0.9180092975206607,0.,12.011,0.339967,0.45773
30,"C30","CC",0.4893409090909091,0.5870702479338834,1.1719907024793392,0.,12.011,0.339967,0.45773
31,"C31","CC",-0.6336590909090911,0.40107024793388346,-1.0410092975206608,0.,12.011,0.339967,0.45773
32,"C32","CC",-0.652659090909091,-0.4219297520661165,-1.2890092975206606,0.,12.011,0.339967,0.45773
33,"C33","CC",0.6363409090909089,-0.4139297520661165,1.2939907024793391,0.,12.011,0.339967,0.45773
