"AtomID","AtomName","AtomType","x[nm]","y[nm]","z[nm]","charge[e]","mass[AMU]","sigma","epsilon"
1,"Ti1","TiA",0.8515256012412724,1.4638390224980604,-2.82,2.24779,47.867,0.199,13.79
2,"Ti2","TiA",1.4205256012412724,-1.1011609775019398,-2.82,2.24779,47.867,0.199,13.79
3,"Ti3","TiA",-1.4214743987587277,-0.5881609775019397,-2.82,2.24779,47.867,0.199,13.79
4,"Ti4","TiA",0.4735256012412723,1.4638390224980604,-2.82,2.2478,47.867,0.199,13.79
5,"Ti5","TiA",1.0415256012412724,-1.1011609775019398,-2.82,2.24779,47.867,0.199,13.79
6,"Ti6","TiA",0.6625256012412724,-1.3461609775019396,-0.26700000000000035,2.24779,47.867,0.199,13.79
7,"Ti7","TiA",0.0945256012412723,-0.8331609775019397,-0.26700000000000035,2.24779,47.867,0.199,13.79
8,"Ti8","TiA",0.6625256012412724,0.9508390224980605,-2.82,2.24779,47.867,0.199,13.79
9,"Ti9","TiA",1.2305256012412724,1.4638390224980604,-2.82,2.24779,47.867,0.199,13.79
10,"Ti10","TiA",0.4735256012412723,-0.8331609775019397,-0.26700000000000035,2.2478,47.867,0.199,13.79
11,"Ti11","TiA",0.6625256012412724,0.7058390224980604,-0.26700000000000035,2.24779,47.867,0.199,13.79
12,"Ti12","TiA",0.28352560124127235,-1.3461609775019396,-0.26700000000000035,2.24779,47.867,0.199,13.79
13,"Ti13","TiA",0.4735256012412723,0.1928390224980603,-0.26700000000000035,2.24779,47.867,0.199,13.79
14,"Ti14","TiA",-1.0424743987587277,-0.5881609775019397,-2.82,2.24779,47.867,0.199,13.79
15,"Ti15","TiA",0.0945256012412723,0.1928390224980603,-0.26700000000000035,2.24779,47.867,0.199,13.79
16,"Ti16","TiA",0.28352560124127235,0.7058390224980604,-0.26700000000000035,2.24779,47.867,0.199,13.79
17,"Ti17","TiA",1.2305256012412724,-0.5881609775019397,-2.82,2.2478,47.867,0.199,13.79
18,"Ti18","TiA",1.0415256012412724,-0.07516097750193973,-2.82,2.24779,47.867,0.199,13.79
19,"Ti19","TiA",-1.0424743987587277,-0.8331609775019397,-0.26700000000000035,2.24779,47.867,0.199,13.79
20,"Ti20","TiA",-1.2314743987587278,-1.3461609775019396,-0.26700000000000035,2.24779,47.867,0.199,13.79
21,"Ti21","TiA",1.0415256012412724,0.9508390224980605,-2.82,2.24779,47.867,0.199,13.79
22,"Ti22","TiA",-1.2314743987587278,-1.1011609775019398,-2.82,2.24779,47.867,0.199,13.79
23,"Ti23","TiA",0.0945256012412723,1.4638390224980604,-2.82,2.24779,47.867,0.199,13.79
24,"Ti24","TiA",0.28352560124127235,-0.3201609775019396,-0.26700000000000035,2.2478,47.867,0.199,13.79
25,"Ti25","TiA",0.4735256012412723,1.2188390224980603,-0.26700000000000035,2.24779,47.867,0.199,13.79
26,"Ti26","TiA",0.8515256012412724,0.4378390224980604,-2.82,2.24779,47.867,0.199,13.79
27,"Ti27","TiA",0.6625256012412724,-1.1011609775019398,-2.82,2.24779,47.867,0.199,13.79
28,"Ti28","TiA",0.28352560124127235,0.9508390224980605,-2.82,2.24779,47.867,0.199,13.79
29,"Ti29","TiA",1.0415256012412724,-1.3461609775019396,-0.26700000000000035,2.24779,47.867,0.199,13.79
30,"Ti30","TiA",-0.2844743987587277,-0.8331609775019397,-0.26700000000000035,2.2478,47.867,0.199,13.79
