# r[nm],d[nm],daligned[nm],UwaterUCD(d)[kj/mol]
-1.5140909,-1.5140909,-1.4501266,23527.2396650
-1.5040909,-1.5040909,-1.4401266,18577.3956077
-1.4940909,-1.4940909,-1.4301266,13541.4847164
-1.4840909,-1.4840909,-1.4201266,9907.3978996
-1.4740909,-1.4740909,-1.4101266,7569.3061302
-1.4640909,-1.4640909,-1.4001266,6162.7025797
-1.4540909,-1.4540909,-1.3901266,5362.3036192
-1.4440909,-1.4440909,-1.3801266,5157.0431125
-1.4340909,-1.4340909,-1.3701266,5230.2557710
-1.4240909,-1.4240909,-1.3601266,5731.6589090
-1.4140909,-1.4140909,-1.3501266,6859.8922285
-1.4040909,-1.4040909,-1.3401266,8740.0724059
-1.3940909,-1.3940909,-1.3301266,11746.4029967
-1.3840909,-1.3840909,-1.3201266,16227.3528898
-1.3740909,-1.3740909,-1.3101266,21152.7894735
-1.3640909,-1.3640909,-1.3001266,20276.0995600
-1.3540909,-1.3540909,-1.2901266,15315.3011045
-1.3440909,-1.3440909,-1.2801266,11136.9619029
-1.3340909,-1.3340909,-1.2701266,8356.9012389
-1.3240909,-1.3240909,-1.2601266,6645.4259497
-1.3140909,-1.3140909,-1.2501266,5662.1894833
-1.3040909,-1.3040909,-1.2401266,5249.7891868
-1.2940909,-1.2940909,-1.2301266,5260.3206977
-1.2840909,-1.2840909,-1.2201266,5532.5826284
-1.2740909,-1.2740909,-1.2101266,6413.7873826
-1.2640909,-1.2640909,-1.2001266,7949.8134363
-1.2540909,-1.2540909,-1.1901266,10501.1140754
-1.2440909,-1.2440909,-1.1801266,14399.8750843
-1.2340909,-1.2340909,-1.1701266,19354.7074977
-1.2240909,-1.2240909,-1.1601266,22423.5632673
-1.2140909,-1.2140909,-1.1501266,17601.7318967
-1.2040909,-1.2040909,-1.1401266,12680.7079709
-1.1940909,-1.1940909,-1.1301266,9331.4316956
-1.1840909,-1.1840909,-1.1201266,7199.1997688
-1.1740909,-1.1740909,-1.1101266,5915.2135970
-1.1640909,-1.1640909,-1.1001266,5221.6640763
-1.1540909,-1.1540909,-1.0901266,5067.0878445
-1.1440909,-1.1440909,-1.0801266,5186.8164942
-1.1340909,-1.1340909,-1.0701266,5769.5937365
-1.1240909,-1.1240909,-1.0601266,6964.3996186
-1.1140909,-1.1140909,-1.0501266,8948.2992987
-1.1040909,-1.1040909,-1.0401266,12090.8695796
-1.0940909,-1.0940909,-1.0301266,16739.0324357
-1.0840909,-1.0840909,-1.0201266,21566.5053544
-1.0740909,-1.0740909,-1.0101266,19242.6866539
-1.0640909,-1.0640909,-1.0001266,14318.7559936
-1.0540909,-1.0540909,-0.9901266,10444.8197699
-1.0440909,-1.0440909,-0.9801266,7900.5270646
-1.0340909,-1.0340909,-0.9701266,6359.7135970
-1.0240909,-1.0240909,-0.9601266,5473.7233809
-1.0140909,-1.0140909,-0.9501266,5165.1739826
-1.0040909,-1.0040909,-0.9401266,5186.6813844
-0.9940909,-0.9940909,-0.9301266,5546.3910054
-0.9840909,-0.9840909,-0.9201266,6496.3598296
-0.9740909,-0.9740909,-0.9101266,8132.7995212
-0.9640909,-0.9640909,-0.9001266,10811.4017097
-0.9540909,-0.9540909,-0.8901266,14868.1180751
-0.9440909,-0.9440909,-0.8801266,19821.3434634
-0.9340909,-0.9340909,-0.8701266,21904.6550465
-0.9240909,-0.9240909,-0.8601266,17033.8776056
-0.9140909,-0.9140909,-0.8501266,12291.2912005
-0.9040909,-0.9040909,-0.8401266,9087.4123041
-0.8940909,-0.8940909,-0.8301266,7067.6276468
-0.8840909,-0.8840909,-0.8201266,5855.8764055
-0.8740909,-0.8740909,-0.8101266,5248.7081668
-0.8640909,-0.8640909,-0.8001266,5143.5230193
-0.8540909,-0.8540909,-0.7901266,5314.3945898
-0.8440909,-0.8440909,-0.7801266,6012.6781832
-0.8340909,-0.8340909,-0.7701266,7325.0867026
-0.8240909,-0.8240909,-0.7601266,9508.1770111
-0.8140909,-0.8140909,-0.7501266,12923.5167551
-0.8040909,-0.8040909,-0.7401266,17915.7867419
-0.7940909,-0.7940909,-0.7301266,22741.4146901
-0.7840909,-0.7840909,-0.7201266,18896.0223066
-0.7740909,-0.7740909,-0.7101266,13893.8818160
-0.7640909,-0.7640909,-0.7001266,10170.7568942
-0.7540909,-0.7540909,-0.6901266,7745.8521770
-0.7440909,-0.7440909,-0.6801266,6297.5952375
-0.7340909,-0.7340909,-0.6701266,5472.1974142
-0.7240909,-0.7240909,-0.6601266,5246.2258044
-0.7140909,-0.7140909,-0.6501266,5279.3536665
-0.7040909,-0.7040909,-0.6401266,5734.8338954
-0.6940909,-0.6940909,-0.6301266,6785.3784535
-0.6840909,-0.6840909,-0.6201266,8594.6706067
-0.6740909,-0.6740909,-0.6101266,11513.6352437
-0.6640909,-0.6640909,-0.6001266,15886.1577813
-0.6540909,-0.6540909,-0.5901266,20817.5787754
-0.6440909,-0.6440909,-0.5801266,20899.9952815
-0.6340909,-0.6340909,-0.5701266,15945.1203947
-0.6240909,-0.6240909,-0.5601266,11538.0704467
-0.6140909,-0.6140909,-0.5501266,8600.5043536
-0.6040909,-0.6040909,-0.5401266,6770.7207772
-0.5940909,-0.5940909,-0.5301266,5681.4168373
-0.5840909,-0.5840909,-0.5201266,5204.2346272
-0.5740909,-0.5740909,-0.5101266,5161.3055346
-0.5640909,-0.5640909,-0.5001266,5401.8823119
-0.5540909,-0.5540909,-0.4901266,6237.3458863
-0.5440909,-0.5440909,-0.4801266,7680.5454236
-0.5340909,-0.5340909,-0.4701266,10081.4225563
-0.5240909,-0.5240909,-0.4601266,13789.9486169
-0.5140909,-0.5140909,-0.4501266,18784.2565817
-0.5040909,-0.5040909,-0.4401266,22881.1170365
-0.4940909,-0.4940909,-0.4301266,18059.0197728
-0.4840909,-0.4840909,-0.4201266,13027.7749938
-0.4740909,-0.4740909,-0.4101266,9593.8594571
-0.4640909,-0.4640909,-0.4001266,7388.4867836
-0.4540909,-0.4540909,-0.3901266,6103.7891433
-0.4440909,-0.4440909,-0.3801266,5379.1702352
-0.4340909,-0.4340909,-0.3701266,5275.3305664
-0.4240909,-0.4240909,-0.3601266,5323.9643055
-0.4140909,-0.4140909,-0.3501266,5904.5559366
-0.4040909,-0.4040909,-0.3401266,7075.2375758
-0.3940909,-0.3940909,-0.3301266,9080.8044986
-0.3840909,-0.3840909,-0.3201266,12260.0720568
