# r[nm],d[nm],daligned[nm],Uwater(d)[kj/mol]
-0.3553504,-0.3553504,-0.2227899,4055.7593984
-0.3453504,-0.3453504,-0.2127899,3951.2561913
-0.3353504,-0.3353504,-0.2027899,4014.8773684
-0.3253504,-0.3253504,-0.1927899,4135.6059331
-0.3153504,-0.3153504,-0.1827899,3962.3245489
-0.3053504,-0.3053504,-0.1727899,3999.2911346
-0.2953504,-0.2953504,-0.1627899,4276.6314427
-0.2853504,-0.2853504,-0.1527899,3914.9525028
-0.2753504,-0.2753504,-0.1427899,3923.8809573
-0.2653504,-0.2653504,-0.1327899,4185.2067032
-0.2553504,-0.2553504,-0.1227899,4117.2600927
-0.2453504,-0.2453504,-0.1127899,4055.5871064
-0.2353504,-0.2353504,-0.1027899,3918.9626437
-0.2253504,-0.2253504,-0.0927899,3846.8109123
-0.2153504,-0.2153504,-0.0827899,3835.2774888
-0.2053504,-0.2053504,-0.0727899,3868.0910075
-0.1953504,-0.1953504,-0.0627899,3930.9401015
-0.1853504,-0.1853504,-0.0527899,4016.1834524
-0.1753504,-0.1753504,-0.0427899,4127.8491472
-0.1653504,-0.1653504,-0.0327899,4262.0321625
-0.1553504,-0.1553504,-0.0227899,4449.0806057
-0.1453504,-0.1453504,-0.0127899,4684.6257323
-0.1353504,-0.1353504,-0.0027899,4954.7255642
-0.1253504,-0.1253504,0.0072101,5236.2482299
-0.1153504,-0.1153504,0.0172101,5477.3901392
-0.1053504,-0.1053504,0.0272101,5656.9105977
-0.0953504,-0.0953504,0.0372101,5787.1655953
-0.0853504,-0.0853504,0.0472101,5539.3893377
-0.0753504,-0.0753504,0.0572101,4932.6035712
-0.0653504,-0.0653504,0.0672101,4466.5875615
-0.0553504,-0.0553504,0.0772101,4057.2397944
-0.0453504,-0.0453504,0.0872101,3775.4335286
-0.0353504,-0.0353504,0.0972101,3583.1285779
-0.0253504,-0.0253504,0.1072101,3439.4754152
-0.0153504,-0.0153504,0.1172101,3307.1871176
-0.0053504,-0.0053504,0.1272101,3157.6068803
0.0046496,0.0046496,0.1372101,2829.8435178
0.0146496,0.0146496,0.1472101,2483.8744742
0.0246496,0.0246496,0.1572101,2151.0378794
0.0346496,0.0346496,0.1672101,1820.6127065
0.0446496,0.0446496,0.1772101,1192.5584113
0.0546496,0.0546496,0.1872101,801.7329094
0.0646496,0.0646496,0.1972101,529.3016847
0.0746496,0.0746496,0.2072101,405.4757124
0.0846496,0.0846496,0.2172101,300.0462287
0.0946496,0.0946496,0.2272101,217.3063840
0.1046496,0.1046496,0.2372101,158.3586432
0.1146496,0.1146496,0.2472101,115.3247867
0.1246496,0.1246496,0.2572101,84.5193986
0.1346496,0.1346496,0.2672101,63.4987523
0.1446496,0.1446496,0.2772101,49.7668803
0.1546496,0.1546496,0.2872101,24.5391392
0.1646496,0.1646496,0.2972101,-0.0752420
0.1746496,0.1746496,0.3072101,-17.6193705
0.1846496,0.1846496,0.3172101,-30.0746903
0.1946496,0.1946496,0.3272101,-40.5265140
0.2046496,0.2046496,0.3372101,-50.1333446
0.2146496,0.2146496,0.3472101,-57.8954188
0.2246496,0.2246496,0.3572101,-71.8497622
0.2346496,0.2346496,0.3672101,-82.1271281
0.2446496,0.2446496,0.3772101,-86.9131319
0.2546496,0.2546496,0.3872101,-88.0273431
0.2646496,0.2646496,0.3972101,-87.1082504
0.2746496,0.2746496,0.4072101,-84.9993116
0.2846496,0.2846496,0.4172101,-82.1494113
0.2946496,0.2946496,0.4272101,-78.9151676
0.3046496,0.3046496,0.4372101,-75.5789646
0.3146496,0.3146496,0.4472101,-72.3259931
0.3246496,0.3246496,0.4572101,-69.2439112
0.3346496,0.3346496,0.4672101,-66.3560548
0.3446496,0.3446496,0.4772101,-63.6621941
0.3546496,0.3546496,0.4872101,-61.1551153
0.3646496,0.3646496,0.4972101,-58.8272110
0.3746496,0.3746496,0.5072101,-56.6534744
0.3846496,0.3846496,0.5172101,-54.5666699
0.3946496,0.3946496,0.5272101,-52.5032433
0.4046496,0.4046496,0.5372101,-50.4444394
0.4146496,0.4146496,0.5472101,-48.4070273
0.4246496,0.4246496,0.5572101,-46.4192313
0.4346496,0.4346496,0.5672101,-44.5058154
0.4446496,0.4446496,0.5772101,-42.6830624
0.4546496,0.4546496,0.5872101,-40.9591971
0.4646496,0.4646496,0.5972101,-39.3368140
0.4746496,0.4746496,0.6072101,-37.8151611
0.4846496,0.4846496,0.6172101,-36.3916681
0.4946496,0.4946496,0.6272101,-35.0628296
0.5046496,0.5046496,0.6372101,-33.8246764
0.5146496,0.5146496,0.6472101,-32.6730093
0.5246496,0.5246496,0.6572101,-31.6035086
0.5346496,0.5346496,0.6672101,-30.6117799
0.5446496,0.5446496,0.6772101,-29.6933744
0.5546496,0.5546496,0.6872101,-28.8438023
0.5646496,0.5646496,0.6972101,-28.0585479
0.5746496,0.5746496,0.7072101,-27.3330918
0.5846496,0.5846496,0.7172101,-26.6629405
0.5946496,0.5946496,0.7272101,-26.0436624
0.6046496,0.6046496,0.7372101,-25.4709270
0.6146496,0.6146496,0.7472101,-24.9405451
0.6246496,0.6246496,0.7572101,-24.4485064
0.6346496,0.6346496,0.7672101,-23.9910121
0.6446496,0.6446496,0.7772101,-23.5645006
0.6546496,0.6546496,0.7872101,-23.1656653
0.6646496,0.6646496,0.7972101,-22.7914645
0.6746496,0.6746496,0.8072101,-22.4391242
0.6846496,0.6846496,0.8172101,-22.1061335
0.6946496,0.6946496,0.8272101,-21.7902361
0.7046496,0.7046496,0.8372101,-21.4894167
0.7146496,0.7146496,0.8472101,-21.2018851
0.7246496,0.7246496,0.8572101,-20.9260589
0.7346496,0.7346496,0.8672101,-20.6605452
0.7446496,0.7446496,0.8772101,-20.4041226
0.7546496,0.7546496,0.8872101,-20.1557234
0.7646496,0.7646496,0.8972101,-19.9144170
0.7746496,0.7746496,0.9072101,-19.6793943
0.7846496,0.7846496,0.9172101,-19.4499535
0.7946496,0.7946496,0.9272101,-19.2254870
0.8046496,0.8046496,0.9372101,-19.0054698
0.8146496,0.8146496,0.9472101,-18.7894491
0.8246496,0.8246496,0.9572101,-18.5770349
0.8346496,0.8346496,0.9672101,-18.3678920
0.8446496,0.8446496,0.9772101,-18.1617325
0.8546496,0.8546496,0.9872101,-17.9583100
0.8646496,0.8646496,0.9972101,-17.7574135
0.8746496,0.8746496,1.0072101,-17.5588630
0.8846496,0.8846496,1.0172101,-17.3625050
0.8946496,0.8946496,1.0272101,-17.1682091
0.9046496,0.9046496,1.0372101,-16.9758647
0.9146496,0.9146496,1.0472101,-16.7853783
0.9246496,0.9246496,1.0572101,-16.5966709
0.9346496,0.9346496,1.0672101,-16.4096763
0.9446496,0.9446496,1.0772101,-16.2243390
0.9546496,0.9546496,1.0872101,-16.0406127
0.9646496,0.9646496,1.0972101,-15.8584591
0.9746496,0.9746496,1.1072101,-15.6778465
0.9846496,0.9846496,1.1172101,-15.4987490
0.9946496,0.9946496,1.1272101,-15.3211456
1.0046496,1.0046496,1.1372101,-15.1450192
1.0146496,1.0146496,1.1472101,-14.9703563
1.0246496,1.0246496,1.1572101,-14.7971463
1.0346496,1.0346496,1.1672101,-14.6253809
1.0446496,1.0446496,1.1772101,-14.4550537
1.0546496,1.0546496,1.1872101,-14.2861602
1.0646496,1.0646496,1.1972101,-14.1186968
1.0746496,1.0746496,1.2072101,-13.9526612
1.0846496,1.0846496,1.2172101,-13.7880519
1.0946496,1.0946496,1.2272101,-13.6248679
1.1046496,1.1046496,1.2372101,-13.4631087
1.1146496,1.1146496,1.2472101,-13.3027741
1.1246496,1.1246496,1.2572101,-13.1438640
1.1346496,1.1346496,1.2672101,-12.9863786
1.1446496,1.1446496,1.2772101,-12.8303178
1.1546496,1.1546496,1.2872101,-12.6756816
1.1646496,1.1646496,1.2972101,-12.5224698
1.1746496,1.1746496,1.3072101,-12.3706819
1.1846496,1.1846496,1.3172101,-12.2203175
1.1946496,1.1946496,1.3272101,-12.0713756
1.2046496,1.2046496,1.3372101,-11.9238550
1.2146496,1.2146496,1.3472101,-11.7777543
1.2246496,1.2246496,1.3572101,-11.6330716
1.2346496,1.2346496,1.3672101,-11.4898049
1.2446496,1.2446496,1.3772101,-11.3479515
1.2546496,1.2546496,1.3872101,-11.2075086
1.2646496,1.2646496,1.3972101,-11.0684732
1.2746496,1.2746496,1.4072101,-10.9308416
1.2846496,1.2846496,1.4172101,-10.7946100
1.2946496,1.2946496,1.4272101,-10.6597742
1.3046496,1.3046496,1.4372101,-10.5263295
1.3146496,1.3146496,1.4472101,-10.3942712
1.3246496,1.3246496,1.4572101,-10.2635941
1.3346496,1.3346496,1.4672101,-10.1342927
1.3446496,1.3446496,1.4772101,-10.0063611
1.3546496,1.3546496,1.4872101,-9.8797934
1.3646496,1.3646496,1.4972101,-9.7545831
1.3746496,1.3746496,1.5072101,-9.6307236
1.3846496,1.3846496,1.5172101,-9.5082081
1.3946496,1.3946496,1.5272101,-9.3870294
1.4046496,1.4046496,1.5372101,-9.2671803
1.4146496,1.4146496,1.5472101,-9.1486530
1.4246496,1.4246496,1.5572101,-9.0314399
1.4346496,1.4346496,1.5672101,-8.9155329
1.4446496,1.4446496,1.5772101,-8.8009239
1.4546496,1.4546496,1.5872101,-8.6876045
1.4646496,1.4646496,1.5972101,-8.5755663
1.4746496,1.4746496,1.6072101,-8.4648004
1.4846496,1.4846496,1.6172101,-8.3552981
1.4946496,1.4946496,1.6272101,-8.2470505
1.5046496,1.5046496,1.6372101,-8.1400484
1.5146496,1.5146496,1.6472101,-8.0342825
1.5246496,1.5246496,1.6572101,-7.9297437
1.5346496,1.5346496,1.6672101,-7.8264224
1.5446496,1.5446496,1.6772101,-7.7243091
1.5546496,1.5546496,1.6872101,-7.6233943
1.5646496,1.5646496,1.6972101,-7.5236681
1.5746496,1.5746496,1.7072101,-7.4251209
1.5846496,1.5846496,1.7172101,-7.3277429
1.5946496,1.5946496,1.7272101,-7.2315241
