# r[nm],d[nm],daligned[nm],U(d)[kj/mol],V(d)[e/nm],USlab(d)[kJ/mol],UC(d)[kJ/mol],UK(d)[kJ/mol],UCl(d)[kJ/mol],UC2A(d)[kJ/mol],UC4A(d)[kJ/mol],UCPlus(d)[kJ/mol],UCMinus(d)[kJ/mol],UCMoreLJ(d)[kJ/mol],UCLessLJ(d)[kJ/mol],UCEps20(d)[kJ/mol],UCMin(d)[kJ/mol],UKMin(d)[kJ/mol],UClMin(d)[kJ/mol],UC2AMin(d)[kJ/mol],UC4AMin(d)[kJ/mol],UCPlusMin(d)[kJ/mol],UCMinusMin(d)[kJ/mol],UCMoreLJMin(d)[kJ/mol],UCLessLJMin(d)[kJ/mol],UCEps20Min(d)[kJ/mol]
0.2175000,0.2175000,0.2175000,259.3724083,0.2979549,115.0198465,259.3724083,203.0723898,1062.5432641,15.8392591,777.8435655,280.0372437,238.7002966,303.1317427,197.0114608,5586.9160852,244.2784219,188.4535095,1047.2859078,4.4159927,762.5865017,264.9585200,223.5983237,287.9648824,182.1249829,5586.9160852
0.2200000,0.2200000,0.2200000,234.4156298,0.2938481,99.3632936,234.4156298,186.8611088,957.7853338,14.5624652,703.8930964,254.7951340,214.0279963,273.7497386,178.3432206,5044.8398320,219.3997250,172.3978565,942.5279958,3.3777083,688.6366837,239.8009481,198.9985019,258.6369091,163.5763440,5044.8398320
0.2225000,0.2225000,0.2225000,211.9091276,0.2897807,85.7683784,211.9091276,172.2064029,863.2469266,13.4111557,637.1313334,232.0063509,191.8035002,247.2600506,161.5019916,4555.4793518,196.9901306,157.9101029,847.9896613,2.4661582,621.8766020,217.1169803,176.8632808,232.2196096,146.8685768,4555.4793518
0.2250000,0.2250000,0.2250000,191.6087584,0.2857521,73.9534582,191.6087584,158.9534328,777.9210843,12.3760026,576.8489747,211.4266966,171.7827006,223.3725972,146.3079337,4113.6414342,176.8039892,144.8339974,762.6640599,1.6676085,561.5980550,196.6608820,156.9470964,208.4234029,131.8185342,4113.6414342
0.2275000,0.2275000,0.2275000,173.2961327,0.2817630,63.6778407,173.2961327,146.9616658,700.9009803,11.4488387,522.4066105,192.8377106,153.7470663,201.8278730,132.5993190,3714.6502599,158.6202537,133.0289773,685.6446353,0.9697600,507.1633936,178.2115234,139.0289840,186.9877100,118.2614116,3714.6502599
0.2300000,0.2300000,0.2300000,156.7755329,0.2778139,54.7352625,156.7755329,136.1030547,631.3697586,10.6220731,473.2276197,176.0434924,137.5006687,182.3937395,120.2303080,3354.2955999,142.2400085,122.3685902,616.1150810,0.3616008,457.9984578,161.5699084,122.9101086,167.6780413,106.0489048,3354.2955999
0.2325000,0.2325000,0.2325000,141.8710793,0.2739034,46.9482590,141.8710793,126.2601328,568.5913567,9.8883144,428.7919661,160.8677785,122.8674665,164.8622423,109.0691549,3028.7861807,127.4842460,112.7390738,553.3403016,-0.1667261,413.5862175,146.5569511,108.4115409,150.2833759,95.0475525,3028.7861807
0.2350000,0.2350000,0.2350000,128.4242904,0.2700279,40.1632290,128.4242904,117.3231717,511.9022606,9.2401413,388.6308494,147.1514452,109.6889465,149.0466320,98.9967617,2734.7077065,114.1918654,104.0380780,496.6582777,-0.6240419,373.4610490,133.0114743,95.3722565,134.6138018,85.1372437,2734.7077065
0.2375000,0.2375000,0.2375000,116.2920783,0.2661806,34.2461672,116.2920783,109.1843903,460.7041580,8.6699189,352.3220902,134.7504707,97.8221448,134.7787494,89.9054698,2468.9850817,102.2178720,96.1735152,445.4727437,-1.0182390,337.2035833,120.7884090,83.6473349,120.4983938,76.2098758,2468.9850817
0.2400000,0.2400000,0.2400000,105.3451253,0.2623521,29.0792084,105.3451253,101.7259988,414.4574579,8.1695748,319.4860486,123.5342622,87.1380066,121.9068471,81.6979860,2228.8484171,91.4317576,89.0625258,399.2466001,-1.3563770,304.4360709,109.7571745,73.1063406,107.7833036,68.1681466,2228.8484171
0.2425000,0.2425000,0.2425000,95.4665351,0.2585302,24.5581939,95.4665351,94.8032258,372.6756162,7.7303057,289.7818485,113.3841661,77.5200093,110.2938153,74.2863730,2011.8024449,81.7160432,82.6305482,357.4959850,-1.6447690,274.8182111,99.8002210,63.6318653,96.3300425,60.9244683,2011.8024449
0.2450000,0.2450000,0.2450000,86.5506527,0.2546992,20.5913718,86.5506527,88.2453055,334.9201664,7.3422857,262.9037224,104.1919175,68.8629733,99.8157169,67.5910764,1830.8563429,72.9649686,76.8104824,319.7849419,-1.8890588,248.0434007,90.8117194,55.1182178,86.0139362,54.3999898,1815.5990055
0.2475000,0.2475000,0.2475000,78.5019746,0.2508376,17.0990743,78.5019746,81.9167522,300.7963190,6.9945480,238.5774035,95.8577301,61.0720036,90.3605243,61.5400018,1653.4696578,65.0833141,71.5419380,285.7206229,-2.0942907,223.8353587,82.6963824,47.4702458,76.7227361,48.5237189,1638.2122977
0.2500000,0.2500000,0.2500000,71.2341081,0.2469143,14.0138546,71.2341081,75.8027506,269.9489726,6.6752679,216.5566198,88.2877998,54.0615286,81.8269697,56.0677071,1493.0739765,57.9853406,66.0629764,254.9489738,-2.2649716,201.9450914,75.3684052,40.6022761,68.3553695,43.2317316,1477.8166196
0.2525000,0.2525000,0.2525000,64.6687854,0.2428839,11.2803411,64.6687854,69.9908359,242.0589956,6.3726118,196.6198235,81.3915265,47.7544185,74.1234582,51.1148014,1348.0236889,51.5938370,59.6933013,227.1508538,-2.4051270,182.1481620,68.7505121,34.4371619,60.8208170,38.4664622,1332.7663477
0.2550000,0.2550000,0.2550000,58.7349877,0.2386828,8.8542301,58.7349877,64.5728782,216.8396921,6.0760993,178.5672825,75.0799762,42.0811819,67.1670357,46.6276144,1216.8352118,45.8392635,53.7960816,202.0385459,-2.5183513,164.2422357,62.7731005,28.9054264,54.0371025,34.1760644,1201.5779325
0.2575000,0.2575000,0.2575000,53.3682680,0.2342316,6.7003540,53.3682680,59.5937116,194.0334301,5.7781115,162.2185958,69.2682837,36.9792383,60.8824567,42.5581037,1098.1707813,40.6589815,48.4811172,179.3526181,-2.6078527,148.0448721,57.3734703,23.9444926,47.9303850,30.3138372,1082.9137072
