# r[nm],d[nm],daligned[nm],U(d)[kj/mol],V(d)[e/nm],USlab(d)[kJ/mol],UC(d)[kJ/mol],UK(d)[kJ/mol],UCl(d)[kJ/mol],UC2A(d)[kJ/mol],UC4A(d)[kJ/mol],UCPlus(d)[kJ/mol],UCMinus(d)[kJ/mol],UCMoreLJ(d)[kJ/mol],UCLessLJ(d)[kJ/mol],UCEps20(d)[kJ/mol],UCMin(d)[kJ/mol],UKMin(d)[kJ/mol],UClMin(d)[kJ/mol],UC2AMin(d)[kJ/mol],UC4AMin(d)[kJ/mol],UCPlusMin(d)[kJ/mol],UCMinusMin(d)[kJ/mol],UCMoreLJMin(d)[kJ/mol],UCLessLJMin(d)[kJ/mol],UCEps20Min(d)[kJ/mol]
0.0375000,0.0375000,0.0375000,inf,nan,1557882.9075561,204069.5071690,131034.7353530,820352.1596505,12599.7139114,577615.7636154,204109.0534938,204029.9608442,240565.0534973,152146.6988983,4236685.0123588,204069.5071690,131034.7353530,820352.1596505,12599.7139114,577615.7636154,204109.0534938,204029.9608442,240565.0534973,152146.6988983,4236685.0123588
0.0400000,0.0400000,0.0400000,inf,nan,1991183.6880713,195377.5377315,125424.8992875,785842.5129589,12039.8977087,553300.2216427,195416.6097109,195338.4657522,230318.6226526,145666.2870270,4058304.8214380,195377.5377315,125424.8992875,785842.5129589,12039.8977087,553300.2216427,195416.6097109,195338.4657522,230318.6226526,145666.2870270,4058304.8214380
0.0425000,0.0425000,0.0425000,inf,nan,2759576.2721451,189780.2561556,121808.6050836,763674.8801208,11677.3637811,537678.2003715,189818.9184578,189741.5938534,223720.3299413,141493.1602997,3943696.6181056,189780.2561556,121808.6050836,763674.8801208,11677.3637811,537678.2003715,189818.9184578,189741.5938534,223720.3299413,141493.1602997,3943696.6181056
0.0450000,0.0450000,0.0450000,inf,nan,4046169.5587031,186926.6235927,119959.8608900,752447.3116208,11489.7990994,529762.2899649,186964.9418746,186888.3053108,220356.3571475,139365.5970967,3885617.3295917,186926.6235927,119959.8608900,752447.3116208,11489.7990994,529762.2899649,186964.9418746,186888.3053108,220356.3571475,139365.5970967,3885617.3295917
0.0475000,0.0475000,0.0475000,inf,nan,6185738.3523920,182556.0695986,117149.9646266,734854.8246914,11233.9686021,517366.5231106,182587.7751985,182524.3639988,215204.1785100,136107.0732154,3794696.2931009,182556.0695986,117149.9646266,734854.8246914,11233.9686021,517366.5231106,182587.7751985,182524.3639988,215204.1785100,136107.0732154,3794696.2931009
0.0500000,0.0500000,0.0500000,inf,nan,9792485.5684373,166512.3460160,106811.0877167,670926.1615322,10211.0410973,472332.6759588,166543.2109812,166481.4810509,196291.2146111,124145.4645704,3464342.4891734,166512.3460160,106811.0877167,670926.1615322,10211.0410973,472332.6759588,166543.2109812,166481.4810509,196291.2146111,124145.4645704,3464342.4891734
0.0525000,0.0525000,0.0525000,inf,nan,16020059.9189408,152517.9233663,97793.2063675,615157.9056640,9319.3776554,433047.4420994,152547.9908480,152487.8558846,179794.0461703,113711.7391272,3176158.9882189,152517.9233663,97793.2063675,615157.9056640,9319.3776554,433047.4420994,152547.9908480,152487.8558846,179794.0461703,113711.7391272,3176158.9882189
0.0550000,0.0550000,0.0550000,inf,nan,27108150.0277888,140293.6726728,89916.5928355,566435.6846785,8541.2078732,398725.9405730,140322.9870994,140264.3582461,165383.6251190,104597.7886143,2924388.3269337,140293.6726728,89916.5928355,566435.6846785,8541.2078732,398725.9405730,140322.9870994,140264.3582461,165383.6251190,104597.7886143,2924388.3269337
0.0575000,0.0575000,0.0575000,inf,nan,47580163.7499855,129591.5282753,83021.5195804,523769.1674206,7860.7395704,368670.6543462,129620.1351871,129562.9213635,152767.5220312,96618.6644237,2703913.8942580,129591.5282753,83021.5195804,523769.1674206,7860.7395704,368670.6543462,129620.1351871,129562.9213635,152767.5220312,96618.6644237,2703913.8942580
0.0600000,0.0600000,0.0600000,inf,nan,86997086.8293701,120192.2762960,76966.8326692,486283.2710943,7264.0160691,342265.2356631,120220.2221782,120164.3304139,141687.3190818,89610.9287723,2510214.4881755,120192.2762960,76966.8326692,486283.2710943,7264.0160691,342265.2356631,120220.2221782,120164.3304139,141687.3190818,89610.9287723,2510214.4881755
