# r[nm],d[nm],daligned[nm],U(d)[kj/mol],V(d)[e/nm],USlab(d)[kJ/mol],UC(d)[kJ/mol],UK(d)[kJ/mol],UCl(d)[kJ/mol],UC2A(d)[kJ/mol],UC4A(d)[kJ/mol],UC6A(d)[kJ/mol],UC8A(d)[kJ/mol],UC10A(d)[kJ/mol]
0.4450000,0.4450000,0.4450000,-0.6032185,-0.0085992,-4.4780335,-0.6032185,-56.6245546,-29.2139822,-0.4926496,-0.0532547,8.3138091,104.8488835,839.9139655
0.4475000,0.4475000,0.4475000,-0.6452494,-0.0070195,-4.4249684,-0.6452494,-55.8667867,-28.7378808,-0.4831162,-0.1198268,7.6894223,98.0679553,785.5903303
0.4500000,0.4500000,0.4500000,-0.6827863,-0.0056531,-4.3722214,-0.6827863,-55.0896429,-28.2239631,-0.4732669,-0.1864986,7.1115668,91.7545135,734.9057419
0.4525000,0.4525000,0.4525000,-0.7158380,-0.0044815,-4.3197976,-0.7158380,-54.2978735,-27.6791856,-0.4631781,-0.2529455,6.5768871,85.8754412,687.6048546
0.4550000,0.4550000,0.4550000,-0.7445180,-0.0034819,-4.2677035,-0.7445180,-53.4955825,-27.1097231,-0.4529379,-0.3186945,6.0821771,80.4001209,643.4511114
0.4575000,0.4575000,0.4575000,-0.7690256,-0.0026297,-4.2159473,-0.7690256,-52.6863105,-26.5210869,-0.4426410,-0.3831823,5.6243924,75.3001317,602.2252969
0.4600000,0.4600000,0.4600000,-0.7896258,-0.0018999,-4.1645331,-0.7896258,-51.8731065,-25.9182287,-0.4323830,-0.4458142,5.2006550,70.5489576,563.7242067
0.4625000,0.4625000,0.4625000,-0.8066272,-0.0012684,-4.1134550,-0.8066272,-51.0585914,-25.3056314,-0.4222557,-0.5060137,4.8082525,66.1217169,527.7594232
0.4650000,0.4650000,0.4650000,-0.8203610,-0.0007135,-4.0626917,-0.8203610,-50.2450132,-24.6873872,-0.4123420,-0.5632595,4.4446347,61.9949183,494.1561892
0.4675000,0.4675000,0.4675000,-0.8311605,-0.0002162,-4.0122060,-0.8311605,-49.4342945,-24.0672611,-0.4027089,-0.6171101,4.1074058,58.1462615,462.7523716
0.4700000,0.4700000,0.4700000,-0.8393457,0.0002390,-3.9619479,-0.8393457,-48.6280747,-23.4487409,-0.3934002,-0.6672177,3.7943177,54.5544930,433.3975059
0.4725000,0.4725000,0.4725000,-0.8452116,0.0006643,-3.9118610,-0.8452116,-47.8277467,-22.8350726,-0.3844310,-0.7133329,3.5032632,51.1993371,405.9519181
0.4750000,0.4750000,0.4750000,-0.8490211,0.0010683,-3.8618897,-0.8490211,-47.0344883,-22.2292816,-0.3757870,-0.7553045,3.2322717,48.0615087,380.2859134
0.4775000,0.4775000,0.4775000,-0.8510028,0.0014570,-3.8119861,-0.8510028,-46.2492903,-21.6341816,-0.3674295,-0.7930741,2.9795073,45.1228120,356.2790309
