# r[nm],d[nm],daligned[nm],U(d)[kj/mol],V(d)[e/nm],USlab(d)[kJ/mol],UC(d)[kJ/mol],UK(d)[kJ/mol],UCl(d)[kJ/mol],UC2A(d)[kJ/mol],UC4A(d)[kJ/mol],UCPlus(d)[kJ/mol],UCMinus(d)[kJ/mol],UCMoreLJ(d)[kJ/mol],UCLessLJ(d)[kJ/mol],UCEps20(d)[kJ/mol]
0.8525000,0.8525000,0.8525000,-0.1041087,-0.0063088,-1.2830731,-0.1041087,-7.7905067,-9.2912241,-0.0247739,-0.1777024,-2.7189358,-2.9701403,-0.1227593,-0.0775909,-1.3352808
0.8550000,0.8550000,0.8550000,-0.1020548,-0.0062743,-1.2707051,-0.1020548,-7.7166153,-9.1939245,-0.0242820,-0.1742258,-2.6901620,-2.9347264,-0.1203365,-0.0760610,-1.3084640
0.8575000,0.8575000,0.8575000,-0.1000484,-0.0062400,-1.2584997,-0.1000484,-7.6436837,-9.0979904,-0.0238016,-0.1708280,-2.6617848,-2.8998398,-0.1179697,-0.0745665,-1.2822914
0.8600000,0.8600000,0.8600000,-0.0980882,-0.0062059,-1.2464541,-0.0980882,-7.5716951,-9.0033956,-0.0233324,-0.1675072,-2.6337972,-2.8654705,-0.1156575,-0.0731064,-1.2567447
0.8625000,0.8625000,0.8625000,-0.0961731,-0.0061722,-1.2345658,-0.0961731,-7.5006331,-8.9101147,-0.0228742,-0.1642613,-2.6061923,-2.8316088,-0.1133985,-0.0716798,-1.2318063
0.8650000,0.8650000,0.8650000,-0.0943018,-0.0061386,-1.2228321,-0.0943018,-7.4304816,-8.8181228,-0.0224267,-0.1610885,-2.5789631,-2.7982452,-0.1111912,-0.0702858,-1.2074594
0.8675000,0.8675000,0.8675000,-0.0924732,-0.0061053,-1.2112503,-0.0924732,-7.3612249,-8.7273956,-0.0219895,-0.1579870,-2.5521033,-2.7653704,-0.1090344,-0.0689236,-1.1836873
0.8700000,0.8700000,0.8700000,-0.0906862,-0.0060723,-1.1998181,-0.0906862,-7.2928476,-8.6379094,-0.0215623,-0.1549550,-2.5256061,-2.7329755,-0.1069267,-0.0675924,-1.1604742
0.8725000,0.8725000,0.8725000,-0.0889398,-0.0060395,-1.1885329,-0.0889398,-7.2253345,-8.5496410,-0.0211450,-0.1519906,-2.4994655,-2.7010516,-0.1048668,-0.0662913,-1.1378046
0.8750000,0.8750000,0.8750000,-0.0872328,-0.0060069,-1.1773923,-0.0872328,-7.1586708,-8.4625679,-0.0207372,-0.1490924,-2.4736750,-2.6695901,-0.1028534,-0.0650196,-1.1156636
0.8775000,0.8775000,0.8775000,-0.0855643,-0.0059746,-1.1663940,-0.0855643,-7.0928423,-8.3766680,-0.0203387,-0.1462584,-2.4482288,-2.6385827,-0.1008855,-0.0637765,-1.0940367
0.8800000,0.8800000,0.8800000,-0.0839332,-0.0059425,-1.1555356,-0.0839332,-7.0278346,-8.2919196,-0.0199493,-0.1434873,-2.4231208,-2.6080210,-0.0989618,-0.0625613,-1.0729098
0.8825000,0.8825000,0.8825000,-0.0823386,-0.0059107,-1.1448148,-0.0823386,-6.9636339,-8.2083018,-0.0195687,-0.1407774,-2.3983454,-2.5778972,-0.0970812,-0.0613732,-1.0522695
0.8850000,0.8850000,0.8850000,-0.0807797,-0.0058791,-1.1342296,-0.0807797,-6.9002266,-8.1257940,-0.0191966,-0.1381271,-2.3738968,-2.5482033,-0.0952425,-0.0602117,-1.0321026
0.8875000,0.8875000,0.8875000,-0.0792553,-0.0058477,-1.1237775,-0.0792553,-6.8375995,-8.0443761,-0.0188330,-0.1355351,-2.3497695,-2.5189317,-0.0934448,-0.0590759,-1.0123963
0.8900000,0.8900000,0.8900000,-0.0777648,-0.0058166,-1.1134566,-0.0777648,-6.7757396,-7.9640285,-0.0184774,-0.1329998,-2.3259582,-2.4900749,-0.0916870,-0.0579653,-0.9931383
0.8925000,0.8925000,0.8925000,-0.0763072,-0.0057857,-1.1032647,-0.0763072,-6.7146340,-7.8847321,-0.0181298,-0.1305199,-2.3024574,-2.4616257,-0.0899680,-0.0568792,-0.9743166
0.8950000,0.8950000,0.8950000,-0.0748817,-0.0057550,-1.0931997,-0.0748817,-6.6542704,-7.8064682,-0.0177899,-0.1280939,-2.2792621,-2.4335768,-0.0882868,-0.0558170,-0.9559196
0.8975000,0.8975000,0.8975000,-0.0734875,-0.0057245,-1.0832597,-0.0734875,-6.5946364,-7.7292184,-0.0174576,-0.1257207,-2.2563672,-2.4059213,-0.0866426,-0.0547781,-0.9379362
0.9000000,0.9000000,0.9000000,-0.0721238,-0.0056943,-1.0734427,-0.0721238,-6.5357202,-7.6529649,-0.0171325,-0.1233988,-2.2337676,-2.3786523,-0.0850344,-0.0537620,-0.9203554
0.9025000,0.9025000,0.9025000,-0.0707898,-0.0056643,-1.0637467,-0.0707898,-6.4775100,-7.5776902,-0.0168147,-0.1211270,-2.2114585,-2.3517632,-0.0834613,-0.0527679,-0.9031667
0.9050000,0.9050000,0.9050000,-0.0694848,-0.0056345,-1.0541697,-0.0694848,-6.4199944,-7.5033773,-0.0165038,-0.1189041,-2.1894353,-2.3252475,-0.0819224,-0.0517955,-0.8863597
0.9075000,0.9075000,0.9075000,-0.0682082,-0.0056050,-1.0447101,-0.0682082,-6.3631620,-7.4300096,-0.0161996,-0.1167290,-2.1676932,-2.2990986,-0.0804168,-0.0508441,-0.8699247
0.9100000,0.9100000,0.9100000,-0.0669590,-0.0055756,-1.0353659,-0.0669590,-6.3070020,-7.3575707,-0.0159021,-0.1146003,-2.1462276,-2.2733104,-0.0789438,-0.0499133,-0.8538520
0.9125000,0.9125000,0.9125000,-0.0657368,-0.0055465,-1.0261353,-0.0657368,-6.2515034,-7.2860447,-0.0156111,-0.1125171,-2.1250341,-2.2478768,-0.0775025,-0.0490024,-0.8381321
0.9150000,0.9150000,0.9150000,-0.0645408,-0.0055175,-1.0170166,-0.0645408,-6.1966558,-7.2154161,-0.0153263,-0.1104782,-2.1041084,-2.2227917,-0.0760922,-0.0481111,-0.8227562
0.9175000,0.9175000,0.9175000,-0.0633704,-0.0054888,-1.0080080,-0.0633704,-6.1424488,-7.1456695,-0.0150477,-0.1084825,-2.0834461,-2.1980493,-0.0747120,-0.0472389,-0.8077153
0.9200000,0.9200000,0.9200000,-0.0622249,-0.0054603,-0.9991079,-0.0622249,-6.0888722,-7.0767903,-0.0147751,-0.1065290,-2.0630430,-2.1736439,-0.0733613,-0.0463853,-0.7930009
0.9225000,0.9225000,0.9225000,-0.0611038,-0.0054320,-0.9903145,-0.0611038,-6.0359162,-7.0087638,-0.0145083,-0.1046167,-2.0428951,-2.1495698,-0.0720393,-0.0455497,-0.7786048
0.9250000,0.9250000,0.9250000,-0.0600064,-0.0054039,-0.9816264,-0.0600064,-5.9835709,-6.9415757,-0.0142472,-0.1027446,-2.0229983,-2.1258215,-0.0707453,-0.0447319,-0.7645189
0.9275000,0.9275000,0.9275000,-0.0589322,-0.0053761,-0.9730417,-0.0589322,-5.9318269,-6.8752123,-0.0139916,-0.1009117,-2.0033487,-2.1023936,-0.0694787,-0.0439314,-0.7507354
0.9300000,0.9300000,0.9300000,-0.0578807,-0.0053484,-0.9645591,-0.0578807,-5.8806748,-6.8096598,-0.0137414,-0.0991171,-1.9839423,-2.0792809,-0.0682387,-0.0431476,-0.7372468
0.9325000,0.9325000,0.9325000,-0.0568512,-0.0053209,-0.9561769,-0.0568512,-5.8301055,-6.7449051,-0.0134965,-0.0973599,-1.9647755,-2.0564782,-0.0670248,-0.0423804,-0.7240456
0.9350000,0.9350000,0.9350000,-0.0558432,-0.0052936,-0.9478936,-0.0558432,-5.7801099,-6.6809349,-0.0132568,-0.0956392,-1.9458444,-2.0339804,-0.0658363,-0.0416291,-0.7111248
0.9375000,0.9375000,0.9375000,-0.0548562,-0.0052665,-0.9397077,-0.0548562,-5.7306794,-6.6177367,-0.0130221,-0.0939541,-1.9271455,-2.0117826,-0.0646725,-0.0408935,-0.6984774
0.9400000,0.9400000,0.9400000,-0.0538898,-0.0052397,-0.9316178,-0.0538898,-5.6818052,-6.5552980,-0.0127923,-0.0923039,-1.9086752,-1.9898799,-0.0635330,-0.0401732,-0.6860966
0.9425000,0.9425000,0.9425000,-0.0529434,-0.0052130,-0.9236225,-0.0529434,-5.6334789,-6.4936066,-0.0125673,-0.0906876,-1.8904299,-1.9682675,-0.0624171,-0.0394679,-0.6739759
0.9450000,0.9450000,0.9450000,-0.0520166,-0.0051865,-0.9157203,-0.0520166,-5.5856923,-6.4326505,-0.0123470,-0.0891045,-1.8724063,-1.9469408,-0.0613242,-0.0387771,-0.6621089
0.9475000,0.9475000,0.9475000,-0.0511088,-0.0051602,-0.9079099,-0.0511088,-5.5384372,-6.3724181,-0.0121312,-0.0875537,-1.8546009,-1.9258951,-0.0602539,-0.0381005,-0.6504895
0.9500000,0.9500000,0.9500000,-0.0502196,-0.0051341,-0.9001899,-0.0502196,-5.4917056,-6.3128980,-0.0119198,-0.0860347,-1.8370105,-1.9051261,-0.0592055,-0.0374378,-0.6391115
0.9525000,0.9525000,0.9525000,-0.0493487,-0.0051081,-0.8925589,-0.0493487,-5.4454898,-6.2540789,-0.0117129,-0.0845465,-1.8196319,-1.8846293,-0.0581786,-0.0367886,-0.6279693
0.9550000,0.9550000,0.9550000,-0.0484955,-0.0050824,-0.8850157,-0.0484955,-5.3997822,-6.1959499,-0.0115101,-0.0830885,-1.8024617,-1.8644004,-0.0571726,-0.0361527,-0.6170571
0.9575000,0.9575000,0.9575000,-0.0476597,-0.0050568,-0.8775590,-0.0476597,-5.3545751,-6.1385003,-0.0113115,-0.0816600,-1.7854971,-1.8444351,-0.0561871,-0.0355297,-0.6063694
0.9600000,0.9600000,0.9600000,-0.0468408,-0.0050315,-0.8701875,-0.0468408,-5.3098613,-6.0817195,-0.0111169,-0.0802603,-1.7687347,-1.8247294,-0.0552216,-0.0349193,-0.5959008
0.9625000,0.9625000,0.9625000,-0.0460385,-0.0050063,-0.8629000,-0.0460385,-5.2656335,-6.0255974,-0.0109263,-0.0788888,-1.7521718,-1.8052791,-0.0542757,-0.0343213,-0.5856460
0.9650000,0.9650000,0.9650000,-0.0452524,-0.0049813,-0.8556953,-0.0452524,-5.2218846,-5.9701238,-0.0107396,-0.0775447,-1.7358053,-1.7860803,-0.0533488,-0.0337353,-0.5756001
0.9675000,0.9675000,0.9675000,-0.0444820,-0.0049564,-0.8485721,-0.0444820,-5.1786078,-5.9152889,-0.0105566,-0.0762276,-1.7196323,-1.7671291,-0.0524405,-0.0331611,-0.5657580
0.9700000,0.9700000,0.9700000,-0.0437271,-0.0049318,-0.8415293,-0.0437271,-5.1357962,-5.8610830,-0.0103772,-0.0749366,-1.7036500,-1.7484216,-0.0515504,-0.0325984,-0.5561150
0.9725000,0.9725000,0.9725000,-0.0429872,-0.0049073,-0.8345658,-0.0429872,-5.0934432,-5.8074966,-0.0102015,-0.0736714,-1.6878556,-1.7299540,-0.0506781,-0.0320469,-0.5466664
0.9750000,0.9750000,0.9750000,-0.0422621,-0.0048830,-0.8276804,-0.0422621,-5.0515421,-5.7545205,-0.0100293,-0.0724311,-1.6722464,-1.7117227,-0.0498231,-0.0315064,-0.5374076
0.9775000,0.9775000,0.9775000,-0.0415513,-0.0048589,-0.8208720,-0.0415513,-5.0100865,-5.7021455,-0.0098605,-0.0712154,-1.6568196,-1.6937240,-0.0489851,-0.0309766,-0.5283343
0.9800000,0.9800000,0.9800000,-0.0408547,-0.0048349,-0.8141394,-0.0408547,-4.9690702,-5.6503628,-0.0096951,-0.0700237,-1.6415727,-1.6759544,-0.0481637,-0.0304573,-0.5194420
0.9825000,0.9825000,0.9825000,-0.0401717,-0.0048111,-0.8074818,-0.0401717,-4.9284870,-5.5991636,-0.0095329,-0.0688553,-1.6265031,-1.6584104,-0.0473585,-0.0299483,-0.5107266
0.9850000,0.9850000,0.9850000,-0.0395022,-0.0047875,-0.8008978,-0.0395022,-4.8883307,-5.5485394,-0.0093739,-0.0677099,-1.6116082,-1.6410885,-0.0465692,-0.0294492,-0.5021840
0.9875000,0.9875000,0.9875000,-0.0388458,-0.0047640,-0.7943867,-0.0388458,-4.8485954,-5.4984817,-0.0092181,-0.0665868,-1.5968855,-1.6239854,-0.0457953,-0.0289599,-0.4938103
0.9900000,0.9900000,0.9900000,-0.0382023,-0.0047407,-0.7879472,-0.0382023,-4.8092753,-5.4489824,-0.0090653,-0.0654855,-1.5823326,-1.6070978,-0.0450366,-0.0284802,-0.4856015
0.9925000,0.9925000,0.9925000,-0.0375713,-0.0047176,-0.7815784,-0.0375713,-4.7703646,-5.4000334,-0.0089155,-0.0644057,-1.5679470,-1.5904225,-0.0442926,-0.0280098,-0.4775539
0.9950000,0.9950000,0.9950000,-0.0369525,-0.0046946,-0.7752794,-0.0369525,-4.7318577,-5.3516267,-0.0087686,-0.0633467,-1.5537264,-1.5739562,-0.0435631,-0.0275486,-0.4696639
0.9975000,0.9975000,0.9975000,-0.0363458,-0.0046718,-0.7690491,-0.0363458,-4.6937491,-5.3037547,-0.0086246,-0.0623082,-1.5396685,-1.5576958,-0.0428478,-0.0270963,-0.4619278
1.0000000,1.0000000,1.0000000,-0.0357507,-0.0046492,-0.7628866,-0.0357507,-4.6560332,-5.2564096,-0.0084833,-0.0612897,-1.5257710,-1.5416383,-0.0421462,-0.0266528,-0.4543422
1.0025000,1.0025000,1.0025000,-0.0351672,-0.0046267,-0.7567910,-0.0351672,-4.6187048,-5.2095841,-0.0083448,-0.0602907,-1.5120316,-1.5257806,-0.0414582,-0.0262177,-0.4469037
1.0050000,1.0050000,1.0050000,-0.0345948,-0.0046044,-0.7507613,-0.0345948,-4.5817587,-5.1632708,-0.0082090,-0.0593109,-1.4984481,-1.5101199,-0.0407834,-0.0257911,-0.4396090
1.0075000,1.0075000,1.0075000,-0.0340334,-0.0045822,-0.7447966,-0.0340334,-4.5451896,-5.1174626,-0.0080757,-0.0583497,-1.4850184,-1.4946531,-0.0401215,-0.0253726,-0.4324548
1.0100000,1.0100000,1.0100000,-0.0334827,-0.0045602,-0.7388961,-0.0334827,-4.5089926,-5.0721523,-0.0079450,-0.0574069,-1.4717403,-1.4793774,-0.0394723,-0.0249620,-0.4254380
1.0125000,1.0125000,1.0125000,-0.0329425,-0.0045383,-0.7330589,-0.0329425,-4.4731626,-5.0273330,-0.0078168,-0.0564819,-1.4586118,-1.4642900,-0.0388354,-0.0245593,-0.4185556
1.0150000,1.0150000,1.0150000,-0.0324125,-0.0045166,-0.7272841,-0.0324125,-4.4376949,-4.9829981,-0.0076910,-0.0555744,-1.4456307,-1.4493882,-0.0382106,-0.0241643,-0.4118046
1.0175000,1.0175000,1.0175000,-0.0318926,-0.0044950,-0.7215709,-0.0318926,-4.4025845,-4.9391407,-0.0075677,-0.0546841,-1.4327951,-1.4346692,-0.0375976,-0.0237767,-0.4051821
1.0200000,1.0200000,1.0200000,-0.0313825,-0.0044736,-0.7159183,-0.0313825,-4.3678268,-4.8957544,-0.0074466,-0.0538105,-1.4201029,-1.4201303,-0.0369962,-0.0233964,-0.3986852
1.0225000,1.0225000,1.0225000,-0.0308820,-0.0044523,-0.7103257,-0.0308820,-4.3334172,-4.8528327,-0.0073278,-0.0529533,-1.4075523,-1.4057691,-0.0364061,-0.0230233,-0.3923113
1.0250000,1.0250000,1.0250000,-0.0303908,-0.0044312,-0.7047922,-0.0303908,-4.2993512,-4.8103694,-0.0072113,-0.0521121,-1.3951412,-1.3915828,-0.0358271,-0.0226572,-0.3860575
1.0275000,1.0275000,1.0275000,-0.0299089,-0.0044103,-0.6993171,-0.0299089,-4.2656242,-4.7683582,-0.0070970,-0.0512866,-1.3828678,-1.3775690,-0.0352589,-0.0222979,-0.3799213
1.0300000,1.0300000,1.0300000,-0.0294359,-0.0043894,-0.6938994,-0.0294359,-4.2322319,-4.7267930,-0.0069847,-0.0504765,-1.3707303,-1.3637251,-0.0347013,-0.0219453,-0.3739002
1.0325000,1.0325000,1.0325000,-0.0289718,-0.0043687,-0.6885385,-0.0289718,-4.1991699,-4.6856679,-0.0068746,-0.0496814,-1.3587267,-1.3500488,-0.0341541,-0.0215993,-0.3679915
1.0350000,1.0350000,1.0350000,-0.0285162,-0.0043482,-0.6832337,-0.0285162,-4.1664341,-4.6449770,-0.0067665,-0.0489010,-1.3468553,-1.3365376,-0.0336171,-0.0212597,-0.3621930
1.0375000,1.0375000,1.0375000,-0.0280691,-0.0043278,-0.6779841,-0.0280691,-4.1340202,-4.6047146,-0.0066604,-0.0481351,-1.3351144,-1.3231892,-0.0330899,-0.0209264,-0.3565022
1.0400000,1.0400000,1.0400000,-0.0276302,-0.0043075,-0.6727890,-0.0276302,-4.1019242,-4.5648750,-0.0065563,-0.0473832,-1.3235022,-1.3100012,-0.0325725,-0.0205992,-0.3509168
1.0425000,1.0425000,1.0425000,-0.0271994,-0.0042874,-0.6676478,-0.0271994,-4.0701421,-4.5254525,-0.0064541,-0.0466451,-1.3120169,-1.2969714,-0.0320646,-0.0202781,-0.3454346
1.0450000,1.0450000,1.0450000,-0.0267765,-0.0042674,-0.6625597,-0.0267765,-4.0386698,-4.4864418,-0.0063538,-0.0459205,-1.3006569,-1.2840976,-0.0315661,-0.0199628,-0.3400533
1.0475000,1.0475000,1.0475000,-0.0263613,-0.0042475,-0.6575240,-0.0263613,-4.0075035,-4.4478375,-0.0062553,-0.0452091,-1.2894205,-1.2713774,-0.0310766,-0.0196533,-0.3347708
1.0500000,1.0500000,1.0500000,-0.0259537,-0.0042278,-0.6525400,-0.0259537,-3.9766394,-4.4096343,-0.0061586,-0.0445107,-1.2783062,-1.2588088,-0.0305961,-0.0193494,-0.3295851
1.0525000,1.0525000,1.0525000,-0.0255535,-0.0042082,-0.6476072,-0.0255535,-3.9460737,-4.3718270,-0.0060636,-0.0438249,-1.2673122,-1.2463897,-0.0301243,-0.0190511,-0.3244940
1.0550000,1.0550000,1.0550000,-0.0251606,-0.0041887,-0.6427247,-0.0251606,-3.9158026,-4.3344105,-0.0059704,-0.0431516,-1.2564371,-1.2341178,-0.0296610,-0.0187582,-0.3194956
1.0575000,1.0575000,1.0575000,-0.0247748,-0.0041694,-0.6378919,-0.0247748,-3.8858227,-4.2973798,-0.0058789,-0.0424904,-1.2456792,-1.2219912,-0.0292062,-0.0184705,-0.3145879
1.0600000,1.0600000,1.0600000,-0.0243959,-0.0041502,-0.6331083,-0.0243959,-3.8561302,-4.2607300,-0.0057890,-0.0418411,-1.2350371,-1.2100079,-0.0287595,-0.0181881,-0.3097690
1.0625000,1.0625000,1.0625000,-0.0240239,-0.0041312,-0.6283731,-0.0240239,-3.8267216,-4.2244561,-0.0057008,-0.0412034,-1.2245091,-1.1981658,-0.0283209,-0.0179107,-0.3050370
1.0650000,1.0650000,1.0650000,-0.0236585,-0.0041122,-0.6236858,-0.0236585,-3.7975935,-4.1885535,-0.0056141,-0.0405772,-1.2140940,-1.1864630,-0.0278901,-0.0176383,-0.3003902
1.0675000,1.0675000,1.0675000,-0.0232996,-0.0040934,-0.6190457,-0.0232996,-3.7687426,-4.1530175,-0.0055290,-0.0399622,-1.2037901,-1.1748975,-0.0274671,-0.0173708,-0.2958268
1.0700000,1.0700000,1.0700000,-0.0229472,-0.0040747,-0.6144523,-0.0229472,-3.7401653,-4.1178434,-0.0054454,-0.0393581,-1.1935960,-1.1634674,-0.0270516,-0.0171080,-0.2913451
1.0725000,1.0725000,1.0725000,-0.0226010,-0.0040561,-0.6099049,-0.0226010,-3.7118584,-4.0830267,-0.0053633,-0.0387647,-1.1835104,-1.1521710,-0.0266435,-0.0168500,-0.2869433
1.0750000,1.0750000,1.0750000,-0.0222609,-0.0040377,-0.6054030,-0.0222609,-3.6838187,-4.0485629,-0.0052826,-0.0381818,-1.1735318,-1.1410062,-0.0262426,-0.0165965,-0.2826199
