# r[nm],d[nm],daligned[nm],Uwater(d)[kj/mol],UMinwater(d)[kj/mol]
0.0000000,0.0000000,0.0000000,1935253.7059506,1935253.7059506
0.0050000,0.0050000,0.0050000,1863090.5270428,1863090.5270428
0.0100000,0.0100000,0.0100000,1755224.3425654,1755224.3425654
0.0150000,0.0150000,0.0150000,1619460.3164187,1619460.3164187
0.0200000,0.0200000,0.0200000,1470878.1028943,1470878.1028943
0.0250000,0.0250000,0.0250000,1315986.8521285,1315986.8521285
0.0300000,0.0300000,0.0300000,1165811.4691917,1165811.4691917
0.0350000,0.0350000,0.0350000,1015862.4829139,1015862.4829139
0.0400000,0.0400000,0.0400000,877623.9460903,877623.9460903
0.0450000,0.0450000,0.0450000,751585.8516739,751585.8516739
0.0500000,0.0500000,0.0500000,637958.5650441,637958.5650441
0.0550000,0.0550000,0.0550000,536705.7818205,536705.7818205
0.0600000,0.0600000,0.0600000,447319.2336434,447319.2336434
0.0650000,0.0650000,0.0650000,369525.0107064,369525.0107064
0.0700000,0.0700000,0.0700000,302946.0094585,302946.0094585
0.0750000,0.0750000,0.0750000,246564.5849634,246564.5849634
0.0800000,0.0800000,0.0800000,199310.8283045,199310.8283045
0.0850000,0.0850000,0.0850000,159958.9635100,159958.9635100
0.0900000,0.0900000,0.0900000,127574.8081482,127574.8081482
0.0950000,0.0950000,0.0950000,101207.5764182,101207.5764182
0.1000000,0.1000000,0.1000000,79918.3826115,79918.3826115
0.1050000,0.1050000,0.1050000,62856.8995826,62856.8995826
0.1100000,0.1100000,0.1100000,49272.7096883,49272.7096883
0.1150000,0.1150000,0.1150000,38518.1091682,38518.1091682
0.1200000,0.1200000,0.1200000,30044.5883452,30044.5883452
0.1250000,0.1250000,0.1250000,23395.1477156,23395.1477156
0.1300000,0.1300000,0.1300000,18194.2929626,18194.2929626
0.1350000,0.1350000,0.1350000,14137.1307633,14137.1307633
0.1400000,0.1400000,0.1400000,10978.5645696,10978.5645696
0.1450000,0.1450000,0.1450000,8523.2227478,8523.2227478
0.1500000,0.1500000,0.1500000,6616.4637316,6616.4637316
0.1550000,0.1550000,0.1550000,5136.5954011,5136.5954011
0.1600000,0.1600000,0.1600000,3988.3083128,3988.3083128
0.1650000,0.1650000,0.1650000,3093.7108719,3093.7108719
0.1700000,0.1700000,0.1700000,2398.9703444,2398.9703444
0.1750000,0.1750000,0.1750000,1860.2009766,1860.2009766
0.1800000,0.1800000,0.1800000,1468.3777158,1442.0652131
0.1850000,0.1850000,0.1850000,1143.5790083,1117.2682948
0.1900000,0.1900000,0.1900000,891.0280871,864.7383408
0.1950000,0.1950000,0.1950000,694.4324231,668.2091483
0.2000000,0.2000000,0.2000000,541.1859530,515.1209952
0.2050000,0.2050000,0.2050000,421.5415340,395.7706935
0.2100000,0.2100000,0.2100000,327.9795897,302.6558650
0.2150000,0.2150000,0.2150000,254.6963418,229.9698664
0.2200000,0.2200000,0.2200000,197.1812674,173.2131535
0.2250000,0.2250000,0.2250000,151.9120158,128.8944018
0.2300000,0.2300000,0.2300000,116.1834271,94.3006843
0.2350000,0.2350000,0.2350000,87.9764582,67.3207091
0.2400000,0.2400000,0.2400000,65.7709976,45.3587826
0.2450000,0.2450000,0.2450000,48.3703323,28.1850167
0.2500000,0.2500000,0.2500000,34.8055536,14.9487908
0.2550000,0.2550000,0.2550000,24.2912422,4.8006362
0.2600000,0.2600000,0.2600000,16.1956711,-2.9248197
0.2650000,0.2650000,0.2650000,10.0140730,-8.7495481
0.2700000,0.2700000,0.2700000,5.3445562,-13.0836161
0.2750000,0.2750000,0.2750000,1.8675847,-16.2496080
0.2800000,0.2800000,0.2800000,-0.6708729,-18.5015943
0.2850000,0.2850000,0.2850000,-2.4734410,-20.0398927
0.2900000,0.2900000,0.2900000,-3.7051441,-21.0225763
0.2950000,0.2950000,0.2950000,-4.5097295,-21.5744625
0.3000000,0.3000000,0.3000000,-5.0245728,-21.7941478
0.3050000,0.3050000,0.3050000,-5.3783450,-21.7595230
0.3100000,0.3100000,0.3100000,-5.6626204,-21.5321058
0.3150000,0.3150000,0.3150000,-5.9065878,-21.1604500
0.3200000,0.3200000,0.3200000,-6.0924337,-20.6828334
0.3250000,0.3250000,0.3250000,-6.1950731,-20.1296055
0.3300000,0.3300000,0.3300000,-6.2067779,-19.5323990
0.3350000,0.3350000,0.3350000,-6.1390493,-18.9008735
0.3400000,0.3400000,0.3400000,-6.0142780,-18.4032983
0.3450000,0.3450000,0.3450000,-5.8562803,-17.9970004
0.3500000,0.3500000,0.3500000,-5.6833266,-17.5147791
0.3550000,0.3550000,0.3550000,-5.5064310,-16.9803016
0.3600000,0.3600000,0.3600000,-5.3342554,-16.4119795
0.3650000,0.3650000,0.3650000,-5.1827008,-15.8240734
0.3700000,0.3700000,0.3700000,-5.0885752,-15.2275653
0.3750000,0.3750000,0.3750000,-5.1382999,-15.8537435
0.3800000,0.3800000,0.3800000,-5.4926913,-16.4854738
0.3850000,0.3850000,0.3850000,-6.2488132,-17.0246084
0.3900000,0.3900000,0.3900000,-7.2782418,-19.0256699
0.3950000,0.3950000,0.3950000,-8.3230481,-20.3057331
0.4000000,0.4000000,0.4000000,-9.1415375,-22.1995685
0.4050000,0.4050000,0.4050000,-9.6239000,-23.2926379
0.4100000,0.4100000,0.4100000,-9.7822279,-23.7313903
0.4150000,0.4150000,0.4150000,-9.6812101,-23.7214403
0.4200000,0.4200000,0.4200000,-9.3931935,-23.4063701
0.4250000,0.4250000,0.4250000,-8.9810066,-22.8871321
0.4300000,0.4300000,0.4300000,-8.4941075,-22.2350619
0.4350000,0.4350000,0.4350000,-7.9695355,-21.5007177
0.4400000,0.4400000,0.4400000,-7.4341590,-20.7199568
0.4450000,0.4450000,0.4450000,-6.9069029,-19.9181568
0.4500000,0.4500000,0.4500000,-6.4005437,-19.1131797
0.4550000,0.4550000,0.4550000,-5.9230977,-18.3174699
0.4600000,0.4600000,0.4600000,-5.4788972,-17.5395533
0.4650000,0.4650000,0.4650000,-5.0694220,-16.7851151
0.4700000,0.4700000,0.4700000,-4.6940306,-16.0577803
0.4750000,0.4750000,0.4750000,-4.3507006,-15.3596823
0.4800000,0.4800000,0.4800000,-4.0367254,-14.6918780
0.4850000,0.4850000,0.4850000,-3.7492459,-14.0546531
0.4900000,0.4900000,0.4900000,-3.4855651,-13.4477469
0.4950000,0.4950000,0.4950000,-3.2432814,-12.8705174
0.5000000,0.5000000,0.5000000,-3.0203073,-12.3220639
0.5050000,0.5050000,0.5050000,-2.8148358,-11.8013165
0.5100000,0.5100000,0.5100000,-2.6252926,-11.3071029
0.5150000,0.5150000,0.5150000,-2.4502909,-10.8381959
0.5200000,0.5200000,0.5200000,-2.2885947,-10.3933491
0.5250000,0.5250000,0.5250000,-2.1390927,-9.9713222
0.5300000,0.5300000,0.5300000,-2.0007785,-9.5708982
0.5350000,0.5350000,0.5350000,-1.8727363,-9.1908962
0.5400000,0.5400000,0.5400000,-1.7541305,-8.8301795
0.5450000,0.5450000,0.5450000,-1.6441970,-8.4876606
0.5500000,0.5500000,0.5500000,-1.5422371,-8.1623038
0.5550000,0.5550000,0.5550000,-1.4476111,-7.8531271
0.5600000,0.5600000,0.5600000,-1.3597333,-7.5592015
0.5650000,0.5650000,0.5650000,-1.2780677,-7.2796505
0.5700000,0.5700000,0.5700000,-1.2021236,-7.0136483
0.5750000,0.5750000,0.5750000,-1.1314518,-6.7604184
0.5800000,0.5800000,0.5800000,-1.0656409,-6.5192311
0.5850000,0.5850000,0.5850000,-1.0043143,-6.2894013
0.5900000,0.5900000,0.5900000,-0.9471270,-6.0702863
0.5950000,0.5950000,0.5950000,-0.8937631,-5.8612831
0.6000000,0.6000000,0.6000000,-0.8439328,-5.6618265
0.6050000,0.6050000,0.6050000,-0.7973707,-5.4713863
0.6100000,0.6100000,0.6100000,-0.7538331,-5.2894656
0.6150000,0.6150000,0.6150000,-0.7130964,-5.1155986
0.6200000,0.6200000,0.6200000,-0.6749554,-4.9493483
0.6250000,0.6250000,0.6250000,-0.6392214,-4.7903048
0.6300000,0.6300000,0.6300000,-0.6057210,-4.6380837
