# r[nm],d[nm],daligned[nm],UwaterUCD(d)[kj/mol],UMinwaterUCD(d)[kj/mol]
0.0000000,0.0000000,0.0000000,1103349438.0615802,1103349438.0615802
0.0050000,0.0050000,0.0050000,432407490.8954929,432407490.8954929
0.0100000,0.0100000,0.0100000,201124735.1924148,201124735.1924148
0.0150000,0.0150000,0.0150000,114436302.1337822,114436302.1337822
0.0200000,0.0200000,0.0200000,74294311.2772768,74294311.2772768
0.0250000,0.0250000,0.0250000,48331681.4364551,48331681.4364551
0.0300000,0.0300000,0.0300000,32518571.5995185,32518571.5995185
0.0350000,0.0350000,0.0350000,22905182.8114499,22905182.8114499
0.0400000,0.0400000,0.0400000,14615828.1140706,14615828.1140706
0.0450000,0.0450000,0.0450000,9671799.1416305,9671799.1416305
0.0500000,0.0500000,0.0500000,6642050.2518171,6642050.2518171
0.0550000,0.0550000,0.0550000,4777272.9743737,4777272.9743737
0.0600000,0.0600000,0.0600000,3480382.3614730,3480382.3614730
0.0650000,0.0650000,0.0650000,2300325.9223075,2300325.9223075
0.0700000,0.0700000,0.0700000,1551985.4470901,1551985.4470901
0.0750000,0.0750000,0.0750000,1066622.3077174,1066622.3077174
0.0800000,0.0800000,0.0800000,745142.8768618,745142.8768618
0.0850000,0.0850000,0.0850000,528069.5689533,528069.5689533
0.0900000,0.0900000,0.0900000,378916.9111581,378916.9111581
0.0950000,0.0950000,0.0950000,274824.1548914,274824.1548914
0.1000000,0.1000000,0.1000000,201172.2597414,201172.2597414
0.1050000,0.1050000,0.1050000,148428.1526671,148428.1526671
0.1100000,0.1100000,0.1100000,110258.8079050,110258.8079050
0.1150000,0.1150000,0.1150000,76141.7629800,76141.7629800
0.1200000,0.1200000,0.1200000,52660.7905148,52660.7905148
0.1250000,0.1250000,0.1250000,36785.3943216,36785.3943216
0.1300000,0.1300000,0.1300000,25890.1444294,25890.1444294
0.1350000,0.1350000,0.1350000,18375.5163586,18375.5163586
0.1400000,0.1400000,0.1400000,13155.3149882,13155.3149882
0.1450000,0.1450000,0.1450000,9495.1560479,9495.1560479
0.1500000,0.1500000,0.1500000,6906.0529196,6906.0529196
0.1550000,0.1550000,0.1550000,5059.1420908,5059.1420908
0.1600000,0.1600000,0.1600000,3731.1159783,3731.1159783
0.1650000,0.1650000,0.1650000,2768.9403475,2768.9403475
0.1700000,0.1700000,0.1700000,2063.4421961,2063.4421961
0.1750000,0.1750000,0.1750000,1568.7580474,1546.6866914
0.1800000,0.1800000,0.1800000,1187.6506157,1165.7084231
0.1850000,0.1850000,0.1850000,904.3950356,882.9554700
0.1900000,0.1900000,0.1900000,692.3082122,671.7924282
0.1950000,0.1950000,0.1950000,532.6955267,513.1744856
0.2000000,0.2000000,0.2000000,412.0748605,392.7308876
0.2050000,0.2050000,0.2050000,320.4643446,301.2198497
0.2100000,0.2100000,0.2100000,250.4802356,231.4978309
0.2150000,0.2150000,0.2150000,196.7214346,177.9705793
0.2200000,0.2200000,0.2200000,155.2450577,136.8408285
0.2250000,0.2250000,0.2250000,123.1274846,105.1364090
0.2300000,0.2300000,0.2300000,98.1674563,80.5694792
0.2350000,0.2350000,0.2350000,78.6880039,61.4696044
0.2400000,0.2400000,0.2400000,63.3894606,46.6970146
0.2450000,0.2450000,0.2450000,51.2452428,35.2490474
0.2500000,0.2500000,0.2500000,41.4494340,26.3653352
0.2550000,0.2550000,0.2550000,33.4163738,19.4663486
0.2600000,0.2600000,0.2600000,26.7808465,13.6336275
0.2650000,0.2650000,0.2650000,21.3233673,8.8571028
0.2700000,0.2700000,0.2700000,16.8653498,4.6695318
0.2750000,0.2750000,0.2750000,13.2228426,1.2802785
0.2800000,0.2800000,0.2800000,10.2147418,-3.0830268
0.2850000,0.2850000,0.2850000,7.6807265,-7.0503354
0.2900000,0.2900000,0.2900000,5.4923028,-9.9457251
0.2950000,0.2950000,0.2950000,3.5697493,-12.0111056
0.3000000,0.3000000,0.3000000,1.8925799,-14.2121433
0.3050000,0.3050000,0.3050000,0.4730279,-16.0232904
0.3100000,0.3100000,0.3100000,-0.6816743,-17.6226179
0.3150000,0.3150000,0.3150000,-1.5870178,-18.6315128
0.3200000,0.3200000,0.3200000,-2.2903349,-19.1886931
0.3250000,0.3250000,0.3250000,-2.8669777,-19.4022153
0.3300000,0.3300000,0.3300000,-3.3837357,-19.3563536
0.3350000,0.3350000,0.3350000,-3.8682592,-19.1243987
0.3400000,0.3400000,0.3400000,-4.3824577,-19.5262763
0.3450000,0.3450000,0.3450000,-5.1305416,-21.0378782
0.3500000,0.3500000,0.3500000,-6.2300294,-23.8103726
0.3550000,0.3550000,0.3550000,-7.5547709,-25.5993448
0.3600000,0.3600000,0.3600000,-9.0249340,-26.6999145
0.3650000,0.3650000,0.3650000,-10.4610180,-28.8447579
0.3700000,0.3700000,0.3700000,-11.5773072,-30.3432642
0.3750000,0.3750000,0.3750000,-12.2447570,-31.0532624
0.3800000,0.3800000,0.3800000,-12.4918115,-31.1824924
0.3850000,0.3850000,0.3850000,-12.4056173,-30.8885548
0.3900000,0.3900000,0.3900000,-12.0817735,-30.2910483
0.3950000,0.3950000,0.3950000,-11.6185271,-29.4806750
0.4000000,0.4000000,0.4000000,-11.1182733,-28.5261060
0.4050000,0.4050000,0.4050000,-10.6581177,-27.4791801
0.4100000,0.4100000,0.4100000,-10.2535285,-26.3788561
0.4150000,0.4150000,0.4150000,-9.8756034,-25.2542275
0.4200000,0.4200000,0.4200000,-9.4954150,-24.1268279
0.4250000,0.4250000,0.4250000,-9.0978055,-23.0123995
0.4300000,0.4300000,0.4300000,-8.6745471,-21.9222517
0.4350000,0.4350000,0.4350000,-8.2219542,-21.2288597
0.4400000,0.4400000,0.4400000,-7.7425917,-20.5427335
0.4450000,0.4450000,0.4450000,-7.2448311,-19.8884355
0.4500000,0.4500000,0.4500000,-6.7401362,-19.4107530
0.4550000,0.4550000,0.4550000,-6.2402524,-18.8257333
0.4600000,0.4600000,0.4600000,-5.7554191,-18.1732491
0.4650000,0.4650000,0.4650000,-5.2936188,-17.4822951
0.4700000,0.4700000,0.4700000,-4.8604664,-16.7738561
0.4750000,0.4750000,0.4750000,-4.4593857,-16.0630021
0.4800000,0.4800000,0.4800000,-4.0918943,-15.3604274
0.4850000,0.4850000,0.4850000,-3.7579304,-14.6735855
0.4900000,0.4900000,0.4900000,-3.4561882,-14.0075315
0.4950000,0.4950000,0.4950000,-3.1844761,-13.3655471
0.5000000,0.5000000,0.5000000,-2.9401327,-12.7496081
0.5050000,0.5050000,0.5050000,-2.7204314,-12.1607327
0.5100000,0.5100000,0.5100000,-2.5227945,-11.5992430
