# r[nm],d[nm],daligned[nm],U(d)[kj/mol],V(d)[e/nm],USlab(d)[kJ/mol],UC(d)[kJ/mol],UK(d)[kJ/mol],UCl(d)[kJ/mol],UC2A(d)[kJ/mol],UC4A(d)[kJ/mol],UC6A(d)[kJ/mol],UC8A(d)[kJ/mol],UC10A(d)[kJ/mol]
0.1575000,0.1575000,0.1575000,inf,nan,709.4471424,7951.9826169,5155.7678649,33480.1977127,436.3695052,23587.5915779,515565.8153342,6006682.2052113,43025646.0780092
0.1600000,0.1600000,0.1600000,inf,nan,598.4162232,6813.9715389,4434.3872989,28710.0213568,371.1404016,20238.8985123,443473.9672668,5134463.2118031,36800463.7671286
0.1625000,0.1625000,0.1625000,inf,nan,506.0659448,5847.1550747,3821.5892903,24651.7388085,315.9742220,17390.0384119,381851.6462802,4396798.1990390,31532952.5383260
0.1650000,0.1650000,0.1650000,inf,nan,428.9853213,5024.5165628,3300.1783376,21194.1060992,269.2537063,14962.8441538,329130.7067453,3771760.2133499,27067354.4244425
0.1675000,0.1675000,0.1675000,inf,nan,364.4365252,4323.4988827,2855.8080208,18244.0365461,229.6325852,12891.9193041,283984.7516497,3241175.6750203,23274541.8934315
0.1700000,0.1700000,0.1700000,inf,nan,310.2121811,3725.2365233,2476.4887328,15723.5088001,207.9569082,11122.4613546,245290.5297943,2789953.2415438,20047258.6958854
0.1725000,0.1725000,0.1725000,inf,nan,264.5249625,3213.9253276,2152.1838775,13567.0245233,179.3472663,9608.4721881,212095.8333569,2405537.3496274,17296244.7669580
0.1750000,0.1750000,0.1750000,inf,nan,225.9217275,2776.3042592,1874.4780365,11719.5135578,154.9889002,8311.2837929,183592.7103041,2077462.4970437,14947075.4019567
0.1775000,0.1775000,0.1775000,inf,nan,205.5623101,2401.2284919,1636.3037921,10134.6042929,134.2229322,7198.3412315,159095.0448531,1796989.0524567,12937578.4621383
0.1800000,0.1800000,0.1800000,inf,nan,177.7005707,2079.3170962,1431.7164421,8773.1927646,116.4960198,6242.1960171,138019.7453680,1556805.1529764,11215720.1240441
