# r[nm],d[nm],daligned[nm],U(d)[kj/mol],V(d)[e/nm],USlab(d)[kJ/mol],UC(d)[kJ/mol],UK(d)[kJ/mol],UCl(d)[kJ/mol],UC2A(d)[kJ/mol],UC4A(d)[kJ/mol],UCPlus(d)[kJ/mol],UCMinus(d)[kJ/mol],UCMoreLJ(d)[kJ/mol],UCLessLJ(d)[kJ/mol],UCEps20(d)[kJ/mol],UCMin(d)[kJ/mol],UKMin(d)[kJ/mol],UClMin(d)[kJ/mol],UC2AMin(d)[kJ/mol],UC4AMin(d)[kJ/mol],UCPlusMin(d)[kJ/mol],UCMinusMin(d)[kJ/mol],UCMoreLJMin(d)[kJ/mol],UCLessLJMin(d)[kJ/mol],UCEps20Min(d)[kJ/mol]
0.4150000,0.4150000,0.4150000,0.4282656,-0.0078084,-5.8421545,0.4282656,-63.1089632,-19.3986974,-0.4192475,1.5062682,-16.9559340,-12.7332343,0.1904380,0.7357021,-12.0832825,-2.0779182,-74.0271158,-27.6695694,-1.3934292,-2.5754259,-25.8119180,-22.5605868,-2.4495306,-1.5492192,-19.1394417
0.4175000,0.4175000,0.4175000,0.3576466,-0.0070683,-5.8074653,0.3576466,-64.1648973,-20.2495321,-0.4371408,1.3919459,-17.4139160,-12.7720866,0.1197510,0.6657854,-12.1183178,-2.0510064,-75.0162322,-28.5135269,-1.3755001,-2.5446622,-26.3804840,-22.2795977,-2.4178059,-1.5291547,-18.9058494
0.4200000,0.4200000,0.4200000,0.2905620,-0.0064317,-5.7720543,0.2905620,-65.0157326,-20.9845569,-0.4535654,1.2804529,-17.8593956,-12.8472557,0.0529015,0.5987907,-12.1408425,-2.0222009,-75.7607615,-29.7157696,-1.3551319,-2.5118016,-26.8485205,-21.9539168,-2.3838489,-1.5076784,-18.6571654
0.4225000,0.4225000,0.4225000,0.2267571,-0.0059007,-5.7358343,0.2267571,-65.6959699,-21.5951471,-0.4685628,1.1717350,-18.3114060,-12.9641664,-0.0103092,0.5344891,-12.1493693,-1.9917945,-76.2917798,-30.6163720,-1.3373643,-2.4771448,-27.2271968,-21.5922948,-2.3480046,-1.4850085,-18.3955840
0.4250000,0.4250000,0.4250000,0.1659597,-0.0054697,-5.6987878,0.1659597,-66.2428516,-22.0846431,-0.4821749,1.0658450,-18.7952354,-13.1209668,-0.0701401,0.4726749,-12.1430766,-1.9625837,-76.6365759,-31.2612016,-1.3170333,-2.4409636,-27.5264871,-21.6878056,-2.3135698,-1.4632300,-18.1230888
0.4275000,0.4275000,0.4275000,0.1079026,-0.0051264,-5.6609555,0.1079026,-66.6955385,-22.4676258,-0.4944483,0.9629220,-19.3314300,-13.3102211,-0.1268804,0.4131719,-12.1218190,-1.9345106,-76.8191211,-31.6892290,-1.2945862,-2.4035040,-27.7553001,-22.0878791,-2.2804761,-1.4422997,-17.8414714
0.4300000,0.4300000,0.4300000,0.0523411,-0.0048544,-5.6224145,0.0523411,-67.0900643,-22.7699300,-0.5054422,0.8631643,-19.9249909,-13.5214466,-0.1808221,0.3558357,-12.0860918,-1.9178087,-76.8604789,-31.9336231,-1.2704142,-2.3649876,-27.9215935,-22.4182483,-2.2607873,-1.4298474,-17.5523486
0.4325000,0.4325000,0.4325000,-0.0009367,-0.0046361,-5.5832514,-0.0009367,-67.4517754,-23.0302058,-0.5152320,0.7667949,-20.5623511,-13.7436174,-0.2322389,0.3005513,-12.0369694,-1.8981516,-76.7791632,-32.0226605,-1.2448597,-2.3256146,-29.1571384,-22.6863423,-2.2376147,-1.4151918,-17.2571776
0.4350000,0.4350000,0.4350000,-0.0521048,-0.0044556,-5.5435373,-0.0521048,-67.7965761,-23.3006792,-0.5239030,0.6740265,-21.2180641,-13.9671114,-0.2813706,0.2472285,-11.9760271,-1.8759470,-76.5914509,-31.9804837,-1.2182215,-2.2855650,-30.2045465,-22.8988294,-2.2114392,-1.3986369,-16.9572705
0.4375000,0.4375000,0.4375000,-0.1012991,-0.0043010,-5.5033090,-0.1012991,-68.1775972,-23.6408707,-0.5315379,0.5850287,-21.8651274,-14.1850089,-0.3284160,0.1957939,-11.9052454,-1.8517464,-77.3586155,-31.8277332,-1.1907601,-2.2657271,-31.0775001,-23.0616959,-2.1829105,-1.3805938,-16.8670383
0.4400000,0.4400000,0.4400000,-0.1486230,-0.0041654,-5.4625573,-0.1486230,-68.8362937,-24.0987702,-0.5382006,0.4999048,-22.4821793,-14.3938518,-0.3735308,0.1461822,-11.8268955,-1.8264459,-78.0229587,-32.9264965,-1.1627021,-2.2556820,-31.7967853,-23.1803170,-2.1530853,-1.3617307,-16.7852877
0.4425000,0.4425000,0.4425000,-0.1941554,-0.0040477,-5.4212240,-0.1941554,-70.2111273,-24.6874773,-0.5439272,0.4186792,-23.0557397,-14.5939084,-0.4168317,0.0983298,-11.7434062,-1.8220796,-78.8351176,-34.2722514,-1.1723105,-2.2419057,-32.3807509,-23.2595197,-2.1479381,-1.3584753,-16.6764700
