# r[nm],d[nm],daligned[nm],U(d)[kj/mol],V(d)[e/nm],Uslab(d)[kJ/mol],UC(d)[kJ/mol],UK(d)[kJ/mol],UCl(d)[kJ/mol]
0.1850000,0.1850000,0.1850000,1641.9731116,-0.5499577,143.6435382,1641.9731116,1040.1051320,inf
0.1875000,0.1875000,0.1875000,1426.9542481,-0.5377137,125.6198247,1426.9542481,903.3319071,inf
0.1900000,0.1900000,0.1900000,1241.7339361,-0.5257991,109.9632587,1241.7339361,785.5791416,inf
0.1925000,0.1925000,0.1925000,1081.9643239,-0.5142036,96.3461837,1081.9643239,684.0664026,inf
0.1950000,0.1950000,0.1950000,943.9635438,-0.5029176,84.4893347,943.9635438,596.4389167,inf
0.1975000,0.1975000,0.1975000,824.6089236,-0.4919314,74.1542182,824.6089236,520.6991508,inf
0.2000000,0.2000000,0.2000000,721.2479374,-0.4812358,65.1367664,721.2479374,455.1499947,inf
0.2025000,0.2025000,0.2025000,631.6238552,-0.4708214,57.2620413,631.6238552,398.3476169,inf
0.2050000,0.2050000,0.2050000,553.8136519,-0.4606791,50.3798042,553.8136519,349.0623047,inf
0.2075000,0.2075000,0.2075000,486.1761930,-0.4507997,44.3608003,486.1761930,306.2457894,inf
0.2100000,0.2100000,0.2100000,427.3090294,-0.4411743,39.0936382,427.3090294,269.0037768,1779.4691434
0.2125000,0.2125000,0.2125000,376.0123414,-0.4317941,34.4821613,376.0123414,236.5726663,1567.2384550
0.2150000,0.2150000,0.2150000,331.2587332,-0.4226512,30.4432305,331.2587332,208.2997101,1381.8254791
0.2175000,0.2175000,0.2175000,292.1677609,-0.4137382,26.9048496,292.1677609,183.6260938,1219.6504236
0.2200000,0.2200000,0.2200000,257.9842868,-0.4050486,23.8045754,257.9842868,162.0725595,1077.6371414
0.2225000,0.2225000,0.2225000,228.0599782,-0.3965764,21.0881617,228.0599782,143.2272560,953.1386408
0.2250000,0.2250000,0.2250000,201.8374673,-0.3883164,18.7083817,201.8374673,126.7355237,843.8740587
0.2275000,0.2275000,0.2275000,178.8368199,-0.3802631,16.6239661,178.8368199,112.2913311,747.8752715
0.2300000,0.2300000,0.2300000,158.6440320,-0.3724111,14.7985899,158.6440320,99.6300988,663.4416508
0.2325000,0.2325000,0.2325000,140.9012934,-0.3647546,13.1998769,140.9012934,88.5226802,589.1017360
0.2350000,0.2350000,0.2350000,125.2987731,-0.3572870,11.7984554,125.2987731,78.7703017,523.5807814
0.2375000,0.2375000,0.2375000,111.5676921,-0.3500008,10.5671906,111.5676921,70.2003025,465.7732651
0.2400000,0.2400000,0.2400000,99.4744759,-0.3428877,9.4807587,99.4744759,62.6625405,414.7195482
0.2425000,0.2425000,0.2425000,88.8158072,-0.3359379,8.5156880,88.8158072,56.0263592,369.5859653
0.2450000,0.2450000,0.2450000,79.4144319,-0.3291403,7.6508452,79.4144319,50.1780210,329.6477412
0.2475000,0.2475000,0.2475000,71.1155986,-0.3224829,6.8681544,71.1155986,45.0185297,294.2742472
0.2500000,0.2500000,0.2500000,63.7840326,-0.3159525,6.1531992,63.7840326,40.4617686,262.9162306
0.2525000,0.2525000,0.2525000,57.3013678,-0.3095357,5.4953857,57.3013678,36.4328934,235.0947496
0.2550000,0.2550000,0.2550000,51.5639658,-0.3032195,4.8875471,51.5639658,32.8669241,210.3916059
0.2575000,0.2575000,0.2575000,46.4810663,-0.2969919,4.3251326,46.4810663,29.7074938,188.4411040
0.2600000,0.2600000,0.2600000,41.9732124,-0.2908433,3.8052653,41.9732124,26.9057200,168.9229789
0.2625000,0.2625000,0.2625000,37.9709023,-0.2847675,3.3259298,37.9709023,24.4191711,151.5563378
0.2650000,0.2650000,0.2650000,34.4134196,-0.2787618,2.8854163,34.4134196,22.2109079,136.0944750
0.2675000,0.2675000,0.2675000,31.2477985,-0.2728279,2.4820106,31.2477985,20.2485900,122.3204244
0.2700000,0.2700000,0.2700000,28.4278885,-0.2669705,2.1138418,28.4278885,18.5036555,110.0431374
0.2725000,0.2725000,0.2725000,25.9134850,-0.2611968,1.7787911,25.9134850,16.9506058,99.0941836
0.2750000,0.2750000,0.2750000,23.6695045,-0.2555138,1.4744045,23.6695045,15.5664402,89.3248957
0.2775000,0.2775000,0.2775000,21.6651946,-0.2499262,1.1978124,21.6651946,14.3302784,80.6038897
0.2800000,0.2800000,0.2800000,19.8733929,-0.2444337,0.9457118,19.8733929,13.2231798,72.8149079
0.2825000,0.2825000,0.2825000,18.2698676,-0.2390294,0.7144891,18.2698676,12.2281260,65.8549418
0.2850000,0.2850000,0.2850000,16.8327872,-0.2337004,0.5005116,16.8327872,11.3300946,59.6326000
0.2875000,0.2875000,0.2875000,15.5423558,-0.2284295,0.3005278,15.5423558,10.5161366,54.0666920
0.2900000,0.2900000,0.2900000,14.3806250,-0.2231982,0.1120294,14.3806250,9.7753793,49.0850063
0.2925000,0.2925000,0.2925000,13.3314534,-0.2179908,-0.0665780,13.3314534,9.0989152,44.6232591
0.2950000,0.2950000,0.2950000,12.3805504,-0.2127966,-0.2360574,12.3805504,8.4795768,40.6241967
0.2975000,0.2975000,0.2975000,11.5155293,-0.2076114,-0.3966121,11.5155293,7.9116357,37.0368319
0.3000000,0.3000000,0.3000000,10.7258993,-0.2024369,-0.5482065,10.7258993,7.3904766,33.8157920
0.3025000,0.3025000,0.3025000,10.0029616,-0.1972786,-0.6908113,10.0029616,6.9122911,30.9207546
0.3050000,0.3050000,0.3050000,9.3396097,-0.1921446,-0.8245242,9.3396097,6.4738211,28.3159423
0.3075000,0.3075000,0.3075000,8.7300644,-0.1870436,-0.9495906,8.7300644,6.0721622,25.9696481
0.3100000,0.3100000,0.3100000,8.1695869,-0.1819851,-1.0663805,8.1695869,5.7046232,23.8537707
0.3125000,0.3125000,0.3125000,7.6542099,-0.1769793,-1.1753682,7.6542099,5.3686305,21.9433533
0.3150000,0.3150000,0.3150000,7.1805087,-0.1720377,-1.2771240,7.1805087,5.0616664,20.2161397
0.3175000,0.3175000,0.3175000,6.7454245,-0.1671733,-1.3723081,6.7454245,4.7812319,18.6521789
0.3200000,0.3200000,0.3200000,6.3461335,-0.1623998,-1.4616497,6.3461335,4.5248304,17.2335092
0.3225000,0.3225000,0.3225000,5.9799544,-0.1577304,-1.5459013,5.9799544,4.2899699,15.9439453
0.3250000,0.3250000,0.3250000,5.6442855,-0.1531767,-1.6257749,5.6442855,4.0741829,14.7689655
0.3275000,0.3275000,0.3275000,5.3365628,-0.1487463,-1.7018758,5.3365628,3.8750609,13.6956699
0.3300000,0.3300000,0.3300000,5.0542384,-0.1444423,-1.7746560,5.0542384,3.6902989,12.7127663
0.3325000,0.3325000,0.3325000,4.7947774,-0.1402615,-1.8443992,4.7947774,3.5177446,11.8105348
0.3350000,0.3350000,0.3350000,4.5556715,-0.1361948,-1.9112353,4.5556715,3.3554470,10.9807405
0.3375000,0.3375000,0.3375000,4.3344695,-0.1322269,-1.9751664,4.3344695,3.2016986,10.2164826
0.3400000,0.3400000,0.3400000,4.1288186,-0.1283375,-2.0360933,4.1288186,3.0550686,9.5119941
0.3425000,0.3425000,0.3425000,3.9365120,-0.1245019,-2.0938346,3.9365120,2.9144249,8.8624195
0.3450000,0.3450000,0.3450000,3.7555360,-0.1206934,-2.1481445,3.7555360,2.7789386,8.2635974
0.3475000,0.3475000,0.3475000,3.5841103,-0.1168840,-2.1987322,3.5841103,2.6480694,7.7118723
0.3500000,0.3500000,0.3500000,3.4207192,-0.1130477,-2.2452901,3.4207192,2.5215244,7.2039427
0.3525000,0.3525000,0.3525000,3.2641303,-0.1091625,-2.2875356,3.2641303,2.3991923,6.7367483
0.3550000,0.3550000,0.3550000,3.1133987,-0.1052135,-2.3252908,3.1133987,2.2810615,6.3073876
0.3575000,0.3575000,0.3575000,2.9678553,-0.1011943,-2.3586171,2.9678553,2.1671392,5.9130588
0.3600000,0.3600000,0.3600000,2.8270724,-0.0971085,-2.3879952,2.8270724,2.0573916,5.5510183
0.3625000,0.3625000,0.3625000,2.6908090,-0.0929683,-2.4144704,2.6908090,1.9517170,5.2185531
0.3650000,0.3650000,0.3650000,2.5589412,-0.0887925,-2.4396562,2.5589412,1.8499542,4.9129687
0.3675000,0.3675000,0.3675000,2.4313923,-0.0846032,-2.4655307,2.4313923,1.7519108,4.6315935
0.3700000,0.3700000,0.3700000,2.3080796,-0.0804234,-2.4940634,2.3080796,1.6573980,4.3718023
0.3725000,0.3725000,0.3725000,2.1888893,-0.0762756,-2.5268044,2.1888893,1.5662603,4.1310557
0.3750000,0.3750000,0.3750000,2.0736794,-0.0721812,-2.5645819,2.0736794,1.4783964,3.9069502
0.3775000,0.3775000,0.3775000,1.9623010,-0.0681603,-2.6073993,1.9623010,1.3937714,3.6972701
0.3800000,0.3800000,0.3800000,1.8546242,-0.0642325,-2.6545299,1.8546242,1.3124218,3.5000318
0.3825000,0.3825000,0.3825000,1.7505615,-0.0604161,-2.7047390,1.7505615,1.2344498,3.3135113
0.3850000,0.3850000,0.3850000,1.6500826,-0.0567288,-2.7565398,1.6500826,1.1600098,3.1362539
0.3875000,0.3875000,0.3875000,1.5532221,-0.0531870,-2.8084124,1.5532221,1.0892847,2.9670651
0.3900000,0.3900000,0.3900000,1.4600777,-0.0498057,-2.8589552,1.4600777,1.0224588,2.8049865
0.3925000,0.3925000,0.3925000,1.3708007,-0.0465977,-2.9069713,1.3708007,0.9596905,2.6492605
0.3950000,0.3950000,0.3950000,1.2855788,-0.0435736,-2.9515079,1.2855788,0.9010874,2.4992874
0.3975000,0.3975000,0.3975000,1.2046122,-0.0407404,-2.9918686,1.2046122,0.8466869,2.3545822
0.4000000,0.4000000,0.4000000,1.1280895,-0.0381017,-3.0276074,1.1280895,0.7964395,2.2147377
0.4025000,0.4025000,0.4025000,1.0561633,-0.0356571,-3.0585101,1.0561633,0.7501915,2.0794013
0.4050000,0.4050000,0.4050000,0.9889306,-0.0334025,-3.0845640,0.9889306,0.7076591,1.9482671
0.4075000,0.4075000,0.4075000,0.9264160,-0.0313302,-3.1059177,0.9264160,0.6683903,1.8210818
0.4100000,0.4100000,0.4100000,0.8685577,-0.0294296,-3.1228350,0.8685577,0.6317248,1.6976579
0.4125000,0.4125000,0.4125000,0.8151898,-0.0276869,-3.1356444,0.8151898,0.5967720,1.5778875
0.4150000,0.4150000,0.4150000,0.7660166,-0.0260846,-3.1446913,0.7660166,0.5624378,1.4617505
0.4175000,0.4175000,0.4175000,0.7205764,-0.0246008,-3.1502994,0.7205764,0.5275140,1.3493158
0.4200000,0.4200000,0.4200000,0.6782038,-0.0232081,-3.1527467,0.6782038,0.4908257,1.2407324
0.4225000,0.4225000,0.4225000,0.6380108,-0.0218731,-3.1522587,0.6380108,0.4514008,1.1362126
0.4250000,0.4250000,0.4250000,0.5989104,-0.0205583,-3.1490149,0.5989104,0.4086176,1.0360088
0.4275000,0.4275000,0.4275000,0.5596986,-0.0192252,-3.1431595,0.5596986,0.3622902,0.9403873
0.4300000,0.4300000,0.4300000,0.5191870,-0.0178400,-3.1348128,0.5191870,0.3126734,0.8496024
0.4325000,0.4325000,0.4325000,0.4763608,-0.0163781,-3.1240782,0.4763608,0.2603930,0.7638740
0.4350000,0.4350000,0.4350000,0.4305210,-0.0148288,-3.1110472,0.4305210,0.2063274,0.6833703
0.4375000,0.4375000,0.4375000,0.3813749,-0.0131965,-3.0958029,0.3813749,0.1514734,0.6081953
0.4400000,0.4400000,0.4400000,0.3290553,-0.0114992,-3.0784247,0.3290553,0.0968219,0.5383799
0.4425000,0.4425000,0.4425000,0.2740704,-0.0097647,-3.0589926,0.2740704,0.0432619,0.4738713
0.4450000,0.4450000,0.4450000,0.2172026,-0.0080256,-3.0375921,0.2172026,-0.0084836,0.4145193
0.4475000,0.4475000,0.4475000,0.1593853,-0.0063148,-3.0143183,0.1593853,-0.0578884,0.3600525
0.4500000,0.4500000,0.4500000,0.1015828,-0.0046612,-2.9892775,0.1015828,-0.1046277,0.3100489
0.4525000,0.4525000,0.4525000,0.0446905,-0.0030876,-2.9625881,0.0446905,-0.1485607,0.2639073
0.4550000,0.4550000,0.4550000,-0.0105353,-0.0016099,-2.9343793,-0.0105353,-0.1896964,0.2208341
0.4575000,0.4575000,0.4575000,-0.0635178,-0.0002368,-2.9047889,-0.0635178,-0.2281489,0.1798600
0.4600000,0.4600000,0.4600000,-0.1138721,0.0010291,-2.8739601,-0.1138721,-0.2640910,0.1398976
0.4625000,0.4625000,0.4625000,-0.1613946,0.0021901,-2.8420388,-0.1613946,-0.2977108,0.0998354
0.4650000,0.4650000,0.4650000,-0.2060341,0.0032517,-2.8091702,-0.2060341,-0.3291791,0.0586547
0.4675000,0.4675000,0.4675000,-0.2478524,0.0042213,-2.7754964,-0.2478524,-0.3586282,0.0155450
0.4700000,0.4700000,0.4700000,-0.2869814,0.0051071,-2.7411543,-0.2869814,-0.3861437,-0.0300067
0.4725000,0.4725000,0.4725000,-0.3235824,0.0059168,-2.7062735,-0.3235824,-0.4117644,-0.0781714
0.4750000,0.4750000,0.4750000,-0.3578139,0.0066573,-2.6709758,-0.3578139,-0.4354899,-0.1287835
0.4775000,0.4775000,0.4775000,-0.3898101,0.0073343,-2.6353738,-0.3898101,-0.4572919,-0.1813909
0.4800000,0.4800000,0.4800000,-0.4196690,0.0079524,-2.5995710,-0.4196690,-0.4771260,-0.2353357
0.4825000,0.4825000,0.4825000,-0.4474506,0.0085152,-2.5636614,-0.4474506,-0.4949445,-0.2898476
0.4850000,0.4850000,0.4850000,-0.4731795,0.0090253,-2.5277301,-0.4731795,-0.5107076,-0.3441338
0.4875000,0.4875000,0.4875000,-0.4968537,0.0094850,-2.4918532,-0.4968537,-0.5243928,-0.3974550
0.4900000,0.4900000,0.4900000,-0.5184535,0.0098961,-2.4560983,-0.5184535,-0.5360038,-0.4491796
0.4925000,0.4925000,0.4925000,-0.5379525,0.0102602,-2.4205254,-0.5379525,-0.5455772,-0.4988152
0.4950000,0.4950000,0.4950000,-0.5553273,0.0105790,-2.3851871,-0.5553273,-0.5531853,-0.5460177
0.4975000,0.4975000,0.4975000,-0.5705671,0.0108543,-2.3501291,-0.5705671,-0.5589351,-0.5905825
0.5000000,0.5000000,0.5000000,-0.5836827,0.0110884,-2.3153914,-0.5836827,-0.5629609,-0.6324228
0.5025000,0.5025000,0.5025000,-0.5947128,0.0112837,-2.2810080,-0.5947128,-0.5654134,-0.6715411
0.5050000,0.5050000,0.5050000,-0.6037273,0.0114433,-2.2470080,-0.6037273,-0.5664478,-0.7079983
0.5075000,0.5075000,0.5075000,-0.6108259,0.0115705,-2.2134162,-0.6108259,-0.5662119,-0.7418869
0.5100000,0.5100000,0.5100000,-0.6161321,0.0116688,-2.1802529,-0.6161321,-0.5648394,-0.7733081
0.5125000,0.5125000,0.5125000,-0.6197841,0.0117416,-2.1475353,-0.6197841,-0.5624458,-0.8023563
0.5150000,0.5150000,0.5150000,-0.6219243,0.0117921,-2.1152768,-0.6219243,-0.5591285,-0.8291099
0.5175000,0.5175000,0.5175000,-0.6226904,0.0118229,-2.0834885,-0.6226904,-0.5549702,-0.8536268
0.5200000,0.5200000,0.5200000,-0.6222089,0.0118361,-2.0521786,-0.6222089,-0.5500416,-0.8759455
0.5225000,0.5225000,0.5225000,-0.6205920,0.0118334,-2.0213531,-0.6205920,-0.5444065,-0.8960879
0.5250000,0.5250000,0.5250000,-0.6179379,0.0118162,-1.9910163,-0.6179379,-0.5381241,-0.9140654
0.5275000,0.5275000,0.5275000,-0.6143320,0.0117852,-1.9611703,-0.6143320,-0.5312517,-0.9298858
0.5300000,0.5300000,0.5300000,-0.6098503,0.0117413,-1.9318162,-0.6098503,-0.5238463,-0.9435609
0.5325000,0.5325000,0.5325000,-0.6045623,0.0116853,-1.9029534,-0.6045623,-0.5159645,-0.9551139
0.5350000,0.5350000,0.5350000,-0.5985332,0.0116177,-1.8745804,-0.5985332,-0.5076631,-0.9645845
0.5375000,0.5375000,0.5375000,-0.5918265,0.0115393,-1.8466945,-0.5918265,-0.4989983,-0.9720313
0.5400000,0.5400000,0.5400000,-0.5845046,0.0114510,-1.8192923,-0.5845046,-0.4900251,-0.9775322
0.5425000,0.5425000,0.5425000,-0.5766294,0.0113535,-1.7923695,-0.5766294,-0.4807968,-0.9811802
0.5450000,0.5450000,0.5450000,-0.5682623,0.0112478,-1.7659214,-0.5682623,-0.4713642,-0.9830792
0.5475000,0.5475000,0.5475000,-0.5594640,0.0111347,-1.7399426,-0.5594640,-0.4617750,-0.9833379
0.5500000,0.5500000,0.5500000,-0.5502937,0.0110153,-1.7144272,-0.5502937,-0.4520739,-0.9820653
