# r[nm],d[nm],daligned[nm],U(d)[kj/mol],V(d)[e/nm],USlab(d)[kJ/mol],UC(d)[kJ/mol],UK(d)[kJ/mol],UCl(d)[kJ/mol],UC2A(d)[kJ/mol],UC4A(d)[kJ/mol],UCPlus(d)[kJ/mol],UCMinus(d)[kJ/mol],UCMoreLJ(d)[kJ/mol],UCLessLJ(d)[kJ/mol],UCEps20(d)[kJ/mol],UCMin(d)[kJ/mol],UKMin(d)[kJ/mol],UClMin(d)[kJ/mol],UC2AMin(d)[kJ/mol],UC4AMin(d)[kJ/mol],UCPlusMin(d)[kJ/mol],UCMinusMin(d)[kJ/mol],UCMoreLJMin(d)[kJ/mol],UCLessLJMin(d)[kJ/mol],UCEps20Min(d)[kJ/mol]
0.8825000,0.8825000,0.8825000,-0.0211134,-0.0000598,-0.3491541,-0.0211134,-5.6926661,-4.4611955,-0.0049913,-0.0362432,-1.7498422,-1.4549657,-0.0248897,-0.0157410,-0.2682079,-0.0301200,-11.4462543,-8.6995708,-0.0071338,-0.0516161,-5.7346299,-4.3455820,-0.0355066,-0.0224564,-0.3815944
0.8850000,0.8850000,0.8850000,-0.0207454,-0.0000604,-0.3461087,-0.0207454,-5.6394129,-4.4239659,-0.0049043,-0.0356126,-1.7309073,-1.4407460,-0.0244559,-0.0154667,-0.2635345,-0.0295517,-11.3759014,-8.6536927,-0.0069989,-0.0506457,-5.6992546,-4.3227163,-0.0348367,-0.0220327,-0.3744195
0.8875000,0.8875000,0.8875000,-0.0203849,-0.0000609,-0.3430988,-0.0203849,-5.5867477,-4.3871015,-0.0048190,-0.0349948,-1.7122198,-1.4266901,-0.0240308,-0.0151979,-0.2589561,-0.0289959,-11.3061944,-8.6081810,-0.0068671,-0.0496965,-5.6642064,-4.3000323,-0.0341815,-0.0216183,-0.3674017
0.8900000,0.8900000,0.8900000,-0.0200316,-0.0000614,-0.3401240,-0.0200316,-5.5346628,-4.3505979,-0.0047354,-0.0343895,-1.6937757,-1.4127959,-0.0236144,-0.0149345,-0.2544704,-0.0284524,-11.2371256,-8.5630318,-0.0067381,-0.0487680,-5.6294811,-4.2775281,-0.0335408,-0.0212131,-0.3605372
0.8925000,0.8925000,0.8925000,-0.0196855,-0.0000619,-0.3371838,-0.0196855,-5.4831508,-4.3144510,-0.0046536,-0.0337964,-1.6755715,-1.3990612,-0.0232064,-0.0146765,-0.2500752,-0.0279207,-11.1686871,-8.5182411,-0.0066121,-0.0478598,-5.5950747,-4.2552018,-0.0329141,-0.0208167,-0.3538221
0.8950000,0.8950000,0.8950000,-0.0193464,-0.0000624,-0.3342775,-0.0193464,-5.4322042,-4.2786566,-0.0045734,-0.0332152,-1.6576036,-1.3854839,-0.0228066,-0.0144237,-0.2457686,-0.0274007,-11.1008712,-8.4738050,-0.0064887,-0.0469713,-5.5609835,-4.2330514,-0.0323010,-0.0204290,-0.3472529
0.8975000,0.8975000,0.8975000,-0.0190141,-0.0000628,-0.3314048,-0.0190141,-5.3818159,-4.2432106,-0.0044948,-0.0326456,-1.6398685,-1.3720621,-0.0224149,-0.0141759,-0.2415485,-0.0268920,-11.0336706,-8.4297197,-0.0063681,-0.0461020,-5.5272035,-4.2110751,-0.0317014,-0.0200497,-0.3408258
0.9000000,0.9000000,0.9000000,-0.0186884,-0.0000633,-0.3285652,-0.0186884,-5.3319787,-4.2081091,-0.0044178,-0.0320874,-1.6223627,-1.3587937,-0.0220310,-0.0139331,-0.2374129,-0.0263944,-10.9670776,-8.3859814,-0.0062501,-0.0452514,-5.4937309,-4.1892710,-0.0311147,-0.0196787,-0.3345374
0.9025000,0.9025000,0.9025000,-0.0183693,-0.0000637,-0.3257581,-0.0183693,-5.2826855,-4.1733479,-0.0043423,-0.0315403,-1.6050827,-1.3456767,-0.0216547,-0.0136952,-0.2333599,-0.0259075,-10.9010851,-8.3425865,-0.0061346,-0.0444192,-5.4605621,-4.1676372,-0.0305408,-0.0193157,-0.3283842
0.9050000,0.9050000,0.9050000,-0.0180565,-0.0000641,-0.3229831,-0.0180565,-5.2339295,-4.1389233,-0.0042684,-0.0310040,-1.5880252,-1.3327091,-0.0212860,-0.0134620,-0.2293875,-0.0254311,-10.8356859,-8.2995311,-0.0060217,-0.0436048,-5.4276933,-4.1461720,-0.0299792,-0.0189605,-0.3223631
0.9075000,0.9075000,0.9075000,-0.0177499,-0.0000645,-0.3202397,-0.0177499,-5.1857038,-4.1048313,-0.0041959,-0.0304784,-1.5711870,-1.3198890,-0.0209246,-0.0132335,-0.2254940,-0.0249650,-10.7708728,-8.2568118,-0.0059112,-0.0428078,-5.3951209,-4.1248736,-0.0294297,-0.0186130,-0.3164707
0.9100000,0.9100000,0.9100000,-0.0174494,-0.0000648,-0.3175276,-0.0174494,-5.1380016,-4.0710682,-0.0041248,-0.0299632,-1.5545648,-1.3072145,-0.0205703,-0.0130094,-0.2216776,-0.0245088,-10.7066388,-8.2144249,-0.0058031,-0.0420278,-5.3628413,-4.1037402,-0.0288920,-0.0182729,-0.3107040
0.9125000,0.9125000,0.9125000,-0.0171549,-0.0000652,-0.3148462,-0.0171549,-5.0908164,-4.0376301,-0.0040552,-0.0294581,-1.5381553,-1.2946837,-0.0202231,-0.0127898,-0.2179365,-0.0240624,-10.6429772,-8.1723669,-0.0056973,-0.0412643,-5.3308511,-4.0827700,-0.0283657,-0.0179401,-0.3050598
0.9150000,0.9150000,0.9150000,-0.0168661,-0.0000655,-0.3121951,-0.0168661,-5.0441417,-4.0045134,-0.0039869,-0.0289629,-1.5219555,-1.2822948,-0.0198827,-0.0125745,-0.2142691,-0.0236256,-10.5798811,-8.1306344,-0.0055937,-0.0405171,-5.2991468,-4.0619615,-0.0278507,-0.0176143,-0.2995352
0.9175000,0.9175000,0.9175000,-0.0165830,-0.0000659,-0.3095738,-0.0165830,-4.9979710,-3.9717145,-0.0039200,-0.0284774,-1.5059622,-1.2700459,-0.0195489,-0.0123635,-0.2106736,-0.0231980,-10.5173438,-8.0892238,-0.0054924,-0.0397856,-5.2677249,-4.0413128,-0.0273466,-0.0172955,-0.2941274
0.9200000,0.9200000,0.9200000,-0.0163055,-0.0000662,-0.3069821,-0.0163055,-4.9522981,-3.9392297,-0.0038544,-0.0280014,-1.4901725,-1.2579353,-0.0192217,-0.0121566,-0.2071485,-0.0227794,-10.4553588,-8.0481320,-0.0053932,-0.0390696,-5.2365822,-4.0208224,-0.0268532,-0.0169835,-0.2888335
0.9225000,0.9225000,0.9225000,-0.0160333,-0.0000665,-0.3044193,-0.0160333,-4.9071166,-3.9070555,-0.0037900,-0.0275347,-1.4745833,-1.2459611,-0.0189009,-0.0119537,-0.2036922,-0.0223697,-10.3939197,-8.0073554,-0.0052961,-0.0383686,-5.2057152,-4.0004885,-0.0263703,-0.0166780,-0.2836508
0.9250000,0.9250000,0.9250000,-0.0157665,-0.0000668,-0.3018852,-0.0157665,-4.8624205,-3.8751884,-0.0037270,-0.0270770,-1.4591917,-1.2341217,-0.0185864,-0.0117547,-0.2003032,-0.0219686,-10.3330199,-7.9668908,-0.0052011,-0.0376823,-5.1751208,-3.9803096,-0.0258974,-0.0163790,-0.2785767
0.9275000,0.9275000,0.9275000,-0.0155049,-0.0000670,-0.2993794,-0.0155049,-4.8182036,-3.8436250,-0.0036651,-0.0266282,-1.4439949,-1.2224152,-0.0182779,-0.0115597,-0.1969799,-0.0215759,-10.2726532,-7.9267350,-0.0051081,-0.0370103,-5.1447958,-3.9602841,-0.0254345,-0.0160862,-0.2736085
0.9300000,0.9300000,0.9300000,-0.0152483,-0.0000673,-0.2969014,-0.0152483,-4.7744601,-3.8123618,-0.0036045,-0.0261881,-1.4289898,-1.2108401,-0.0179754,-0.0113684,-0.1937210,-0.0211914,-10.2128134,-7.8868848,-0.0050170,-0.0363523,-5.1147369,-3.9404103,-0.0249813,-0.0157996,-0.2687437
0.9325000,0.9325000,0.9325000,-0.0149966,-0.0000675,-0.2944508,-0.0149966,-4.7311841,-3.7813955,-0.0035450,-0.0257565,-1.4141739,-1.1993946,-0.0176788,-0.0111808,-0.1905249,-0.0208150,-10.1534945,-7.8473370,-0.0049278,-0.0357079,-5.0849411,-3.9206868,-0.0245375,-0.0155189,-0.2639799
0.9350000,0.9350000,0.9350000,-0.0147499,-0.0000678,-0.2920273,-0.0147499,-4.6883698,-3.7507228,-0.0034866,-0.0253331,-1.3995443,-1.1880770,-0.0173879,-0.0109968,-0.1873903,-0.0204464,-10.0946903,-7.8080885,-0.0048405,-0.0350769,-5.0554053,-3.9011120,-0.0241030,-0.0152441,-0.2593147
