# r[nm],d[nm],daligned[nm],Ucline(d)[kj/mol]
0.0000000,0.0000000,0.0000000,7884881887666007.0000000
0.0050000,0.0050000,0.0050000,543204483336528.1250000
0.0100000,0.0100000,0.0100000,60760636058767.9140625
0.0150000,0.0150000,0.0150000,9517088811559.5996094
0.0200000,0.0200000,0.0200000,1908893552701.4819336
0.0250000,0.0250000,0.0250000,462640917110.5056763
0.0300000,0.0300000,0.0300000,130199870483.6860352
0.0350000,0.0350000,0.0350000,41355150722.0626144
0.0400000,0.0400000,0.0400000,14517012935.2668591
0.0450000,0.0450000,0.0450000,5542945413.5033636
0.0500000,0.0500000,0.0500000,2273988581.8421631
0.0550000,0.0550000,0.0550000,992830110.4668345
0.0600000,0.0600000,0.0600000,457925541.7981300
0.0650000,0.0650000,0.0650000,221887611.0554484
0.0700000,0.0700000,0.0700000,112505932.5270919
0.0750000,0.0750000,0.0750000,59544671.6403292
0.0800000,0.0800000,0.0800000,32855842.0121985
0.0850000,0.0850000,0.0850000,18896932.3654588
0.0900000,0.0900000,0.0900000,11332390.5842408
0.0950000,0.0950000,0.0950000,7088169.3703832
0.1000000,0.1000000,0.1000000,4611205.6490889
0.1050000,0.1050000,0.1050000,3113108.7779632
0.1100000,0.1100000,0.1100000,2156831.0409866
0.1150000,0.1150000,0.1150000,1484543.3982037
0.1200000,0.1200000,0.1200000,1050535.5447960
0.1250000,0.1250000,0.1250000,762179.4137257
0.1300000,0.1300000,0.1300000,565345.9222813
0.1350000,0.1350000,0.1350000,423715.7661429
0.1400000,0.1400000,0.1400000,296639.7125788
0.1450000,0.1450000,0.1450000,209751.8625427
0.1500000,0.1500000,0.1500000,150413.6330339
0.1550000,0.1550000,0.1550000,109236.2560499
0.1600000,0.1600000,0.1600000,80236.4505936
0.1650000,0.1650000,0.1650000,59133.8721841
0.1700000,0.1700000,0.1700000,42823.8300316
0.1750000,0.1750000,0.1750000,31313.6835875
0.1800000,0.1800000,0.1800000,23101.3255093
0.1850000,0.1850000,0.1850000,17181.4710510
0.1900000,0.1900000,0.1900000,12873.0765621
0.1950000,0.1950000,0.1950000,9709.3649008
0.2000000,0.2000000,0.2000000,7366.8529309
0.2050000,0.2050000,0.2050000,5618.9893909
0.2100000,0.2100000,0.2100000,4305.5140733
0.2150000,0.2150000,0.2150000,3311.9792768
0.2200000,0.2200000,0.2200000,2555.9152374
0.2250000,0.2250000,0.2250000,1977.3870886
0.2300000,0.2300000,0.2300000,1542.7290059
0.2350000,0.2350000,0.2350000,1199.0389861
0.2400000,0.2400000,0.2400000,932.4599519
0.2450000,0.2450000,0.2450000,724.9509905
0.2500000,0.2500000,0.2500000,562.9212230
0.2550000,0.2550000,0.2550000,436.0696636
0.2600000,0.2600000,0.2600000,336.5313183
0.2650000,0.2650000,0.2650000,258.2212363
0.2700000,0.2700000,0.2700000,196.3996070
0.2750000,0.2750000,0.2750000,147.4935717
0.2800000,0.2800000,0.2800000,108.8695793
0.2850000,0.2850000,0.2850000,78.4844834
0.2900000,0.2900000,0.2900000,54.6802034
0.2950000,0.2950000,0.2950000,36.1101806
0.3000000,0.3000000,0.3000000,21.6934767
0.3050000,0.3050000,0.3050000,10.5692969
0.3100000,0.3100000,0.3100000,2.0544358
0.3150000,0.3150000,0.3150000,-4.3935831
0.3200000,0.3200000,0.3200000,-9.2076386
0.3250000,0.3250000,0.3250000,-12.7367813
0.3300000,0.3300000,0.3300000,-15.2655749
0.3350000,0.3350000,0.3350000,-17.0258137
0.3400000,0.3400000,0.3400000,-18.2029649
0.3450000,0.3450000,0.3450000,-18.9435158
0.3500000,0.3500000,0.3500000,-19.3667852
0.3550000,0.3550000,0.3550000,-19.5760234
0.3600000,0.3600000,0.3600000,-19.6591298
0.3650000,0.3650000,0.3650000,-19.6775262
0.3700000,0.3700000,0.3700000,-19.6561423
0.3750000,0.3750000,0.3750000,-19.5887489
0.3800000,0.3800000,0.3800000,-19.4561079
0.3850000,0.3850000,0.3850000,-19.2431483
0.3900000,0.3900000,0.3900000,-18.9476929
0.3950000,0.3950000,0.3950000,-18.5815936
0.4000000,0.4000000,0.4000000,-18.1663314
0.4050000,0.4050000,0.4050000,-17.7248674
0.4100000,0.4100000,0.4100000,-17.2734973
0.4150000,0.4150000,0.4150000,-16.8184788
0.4200000,0.4200000,0.4200000,-16.3594583
0.4250000,0.4250000,0.4250000,-15.8970744
0.4300000,0.4300000,0.4300000,-15.4395440
0.4350000,0.4350000,0.4350000,-15.0041655
0.4400000,0.4400000,0.4400000,-14.6125317
0.4450000,0.4450000,0.4450000,-14.2810299
0.4500000,0.4500000,0.4500000,-14.0115563
0.4550000,0.4550000,0.4550000,-13.7890484
0.4600000,0.4600000,0.4600000,-13.5878983
0.4650000,0.4650000,0.4650000,-13.3823131
0.4700000,0.4700000,0.4700000,-13.1544212
0.4750000,0.4750000,0.4750000,-12.8974411
0.4800000,0.4800000,0.4800000,-12.6141444
0.4850000,0.4850000,0.4850000,-12.3122854
0.4900000,0.4900000,0.4900000,-11.9998894
0.4950000,0.4950000,0.4950000,-11.6833543
0.5000000,0.5000000,0.5000000,-11.3684506
0.5050000,0.5050000,0.5050000,-11.0610842
0.5100000,0.5100000,0.5100000,-10.7659167
0.5150000,0.5150000,0.5150000,-10.4850257
0.5200000,0.5200000,0.5200000,-10.2199893
0.5250000,0.5250000,0.5250000,-9.9765727
0.5300000,0.5300000,0.5300000,-9.7651099
0.5350000,0.5350000,0.5350000,-9.5922228
0.5400000,0.5400000,0.5400000,-9.4516224
0.5450000,0.5450000,0.5450000,-9.3251000
0.5500000,0.5500000,0.5500000,-9.1925595
0.5550000,0.5550000,0.5550000,-9.0410062
0.5600000,0.5600000,0.5600000,-8.8667080
0.5650000,0.5650000,0.5650000,-8.6719870
0.5700000,0.5700000,0.5700000,-8.4609282
0.5750000,0.5750000,0.5750000,-8.2369090
0.5800000,0.5800000,0.5800000,-8.0020977
0.5850000,0.5850000,0.5850000,-7.7578388
0.5900000,0.5900000,0.5900000,-7.5049692
0.5950000,0.5950000,0.5950000,-7.2438051
0.6000000,0.6000000,0.6000000,-6.9742767
0.6050000,0.6050000,0.6050000,-6.6965070
0.6100000,0.6100000,0.6100000,-6.4114643
0.6150000,0.6150000,0.6150000,-6.1212195
0.6200000,0.6200000,0.6200000,-5.8287295
0.6250000,0.6250000,0.6250000,-5.5373661
0.6300000,0.6300000,0.6300000,-5.2504413
0.6350000,0.6350000,0.6350000,-4.9708628
0.6400000,0.6400000,0.6400000,-4.7009520
0.6450000,0.6450000,0.6450000,-4.4423943
0.6500000,0.6500000,0.6500000,-4.1962778
0.6550000,0.6550000,0.6550000,-3.9631779
0.6600000,0.6600000,0.6600000,-3.7432591
0.6650000,0.6650000,0.6650000,-3.5363745
0.6700000,0.6700000,0.6700000,-3.3421546
0.6750000,0.6750000,0.6750000,-3.1600800
0.6800000,0.6800000,0.6800000,-2.9895390
0.6850000,0.6850000,0.6850000,-2.8298715
0.6900000,0.6900000,0.6900000,-2.6803999
