# r[nm],d[nm],daligned[nm],U(d)[kj/mol],V(d)[e/nm],USlab(d)[kJ/mol],UC(d)[kJ/mol],UK(d)[kJ/mol],UCl(d)[kJ/mol],UC2A(d)[kJ/mol],UC4A(d)[kJ/mol],UCPlus(d)[kJ/mol],UCMinus(d)[kJ/mol],UCMoreLJ(d)[kJ/mol],UCLessLJ(d)[kJ/mol],UCEps20(d)[kJ/mol]
1.2075000,1.2075000,1.2075000,-0.0048768,-0.0011300,-0.2071079,-0.0048768,-1.3009144,-0.8787184,-0.0011604,-0.0083417,-0.3420028,-0.2306900,-0.0057490,-0.0036359,-0.0616869
1.2100000,1.2100000,1.2100000,-0.0048147,-0.0011256,-0.2057978,-0.0048147,-1.2895932,-0.8718148,-0.0011456,-0.0082356,-0.3390621,-0.2286685,-0.0056758,-0.0035897,-0.0609015
1.2125000,1.2125000,1.2125000,-0.0047536,-0.0011213,-0.2044989,-0.0047536,-1.2783962,-0.8649758,-0.0011311,-0.0081310,-0.3361545,-0.2266680,-0.0056037,-0.0035441,-0.0601279
1.2150000,1.2150000,1.2150000,-0.0046934,-0.0011169,-0.2032109,-0.0046934,-1.2673219,-0.8582007,-0.0011167,-0.0080280,-0.3332795,-0.2246883,-0.0055327,-0.0034992,-0.0593657
1.2175000,1.2175000,1.2175000,-0.0046340,-0.0011126,-0.2019337,-0.0046340,-1.2563686,-0.8514888,-0.0011026,-0.0079265,-0.3304366,-0.2227289,-0.0054628,-0.0034549,-0.0586149
1.2200000,1.2200000,1.2200000,-0.0045756,-0.0011083,-0.2006674,-0.0045756,-1.2455348,-0.8448394,-0.0010887,-0.0078265,-0.3276254,-0.2207898,-0.0053939,-0.0034113,-0.0578751
1.2225000,1.2225000,1.2225000,-0.0045179,-0.0011040,-0.1994116,-0.0045179,-1.2348191,-0.8382518,-0.0010750,-0.0077279,-0.3248456,-0.2188706,-0.0053260,-0.0033684,-0.0571463
1.2250000,1.2250000,1.2250000,-0.0044612,-0.0010998,-0.1981664,-0.0044612,-1.2242197,-0.8317254,-0.0010615,-0.0076309,-0.3220965,-0.2169712,-0.0052590,-0.0033261,-0.0564282
1.2275000,1.2275000,1.2275000,-0.0044053,-0.0010955,-0.1969315,-0.0044053,-1.2137354,-0.8252594,-0.0010482,-0.0075352,-0.3193779,-0.2150913,-0.0051931,-0.0032844,-0.0557206
1.2300000,1.2300000,1.2300000,-0.0043502,-0.0010913,-0.1957070,-0.0043502,-1.2033645,-0.8188532,-0.0010351,-0.0074410,-0.3166893,-0.2132306,-0.0051282,-0.0032433,-0.0550234
1.2325000,1.2325000,1.2325000,-0.0042959,-0.0010872,-0.1944927,-0.0042959,-1.1931057,-0.8125062,-0.0010222,-0.0073481,-0.3140303,-0.2113889,-0.0050642,-0.0032028,-0.0543365
1.2350000,1.2350000,1.2350000,-0.0042424,-0.0010830,-0.1932884,-0.0042424,-1.1829575,-0.8062177,-0.0010095,-0.0072566,-0.3114006,-0.2095660,-0.0050011,-0.0031629,-0.0536595
1.2375000,1.2375000,1.2375000,-0.0041897,-0.0010789,-0.1920942,-0.0041897,-1.1729184,-0.7999871,-0.0009970,-0.0071664,-0.3087996,-0.2077617,-0.0049389,-0.0031236,-0.0529924
1.2400000,1.2400000,1.2400000,-0.0041377,-0.0010748,-0.1909098,-0.0041377,-1.1629872,-0.7938138,-0.0009846,-0.0070775,-0.3062271,-0.2059757,-0.0048777,-0.0030849,-0.0523350
1.2425000,1.2425000,1.2425000,-0.0040865,-0.0010707,-0.1897352,-0.0040865,-1.1531625,-0.7876971,-0.0009724,-0.0069899,-0.3036827,-0.2042079,-0.0048173,-0.0030467,-0.0516872
1.2450000,1.2450000,1.2450000,-0.0040360,-0.0010666,-0.1885702,-0.0040360,-1.1434428,-0.7816365,-0.0009604,-0.0069036,-0.3011659,-0.2024580,-0.0047578,-0.0030091,-0.0510487
1.2475000,1.2475000,1.2475000,-0.0039863,-0.0010626,-0.1874148,-0.0039863,-1.1338269,-0.7756313,-0.0009486,-0.0068185,-0.2986764,-0.2007258,-0.0046992,-0.0029720,-0.0504194
1.2500000,1.2500000,1.2500000,-0.0039373,-0.0010585,-0.1862689,-0.0039373,-1.1243134,-0.7696809,-0.0009370,-0.0067347,-0.2962139,-0.1990111,-0.0046414,-0.0029355,-0.0497993
1.2525000,1.2525000,1.2525000,-0.0038890,-0.0010546,-0.1851324,-0.0038890,-1.1149011,-0.7637849,-0.0009255,-0.0066520,-0.2937780,-0.1973136,-0.0045845,-0.0028995,-0.0491880
1.2550000,1.2550000,1.2550000,-0.0038413,-0.0010506,-0.1840052,-0.0038413,-1.1055886,-0.7579424,-0.0009141,-0.0065706,-0.2913683,-0.1956333,-0.0045283,-0.0028640,-0.0485855
1.2575000,1.2575000,1.2575000,-0.0037944,-0.0010466,-0.1828871,-0.0037944,-1.0963748,-0.7521531,-0.0009030,-0.0064903,-0.2889845,-0.1939698,-0.0044730,-0.0028290,-0.0479916
1.2600000,1.2600000,1.2600000,-0.0037481,-0.0010427,-0.1817782,-0.0037481,-1.0872584,-0.7464164,-0.0008920,-0.0064111,-0.2866262,-0.1923231,-0.0044185,-0.0027945,-0.0474063
1.2625000,1.2625000,1.2625000,-0.0037025,-0.0010388,-0.1806782,-0.0037025,-1.0782381,-0.7407316,-0.0008811,-0.0063331,-0.2842932,-0.1906928,-0.0043647,-0.0027605,-0.0468292
1.2650000,1.2650000,1.2650000,-0.0036576,-0.0010349,-0.1795871,-0.0036576,-1.0693128,-0.7350983,-0.0008704,-0.0062562,-0.2819851,-0.1890788,-0.0043117,-0.0027269,-0.0462604
1.2675000,1.2675000,1.2675000,-0.0036132,-0.0010310,-0.1785049,-0.0036132,-1.0604813,-0.7295159,-0.0008599,-0.0061804,-0.2797015,-0.1874809,-0.0042594,-0.0026939,-0.0456997
1.2700000,1.2700000,1.2700000,-0.0035696,-0.0010272,-0.1774314,-0.0035696,-1.0517423,-0.7239838,-0.0008495,-0.0061057,-0.2774421,-0.1858990,-0.0042079,-0.0026613,-0.0451469
1.2725000,1.2725000,1.2725000,-0.0035265,-0.0010234,-0.1763665,-0.0035265,-1.0430948,-0.7185015,-0.0008393,-0.0060320,-0.2752067,-0.1843328,-0.0041572,-0.0026292,-0.0446019
